domain,bias
hill.cm,center
thehill.com,center
TheHill.com,center
wapo.st,left leaning
www.washingtonpost.com,left leaning
beta.washingtonpost.com,left leaning
washingtonpost.com,left leaning
context-cdn.washingtonpost.com,left leaning
s2.washingtonpost.com,left leaning
subscribe.washingtonpost.com,left leaning
apps.washingtonpost.com,left leaning
nyti.ms,left leaning
www.nytimes.com,left leaning
nytimes.com,left leaning
timesevents.nytimes.com,left leaning
mobile.nytimes.com,left leaning
dealbook.nytimes.com,left leaning
archive.nytimes.com,left leaning
ww.nytimes.com,left leaning
movies2.nytimes.com,left leaning
krugman.blogs.nytimes.com,left leaning
messaging-custom-newsletters.nytimes.com,left leaning
NYTimes.com,left leaning
NYTIMES.COM,left leaning
www.cnn.com,left leaning
cnn.it,left leaning
edition.cnn.com,left leaning
amp.cnn.com,left leaning
www-m.cnn.com,left leaning
cnn.com,left leaning
cdn.cnn.com,left leaning
money.cnn.com,left leaning
transcripts.cnn.com,left leaning
edition-m.cnn.com,left leaning
arabic.cnn.com,left leaning
www.cnn.ph,left leaning
cnnespanol.cnn.com,left leaning
us.cnn.com,left leaning
cnn.ph,left leaning
rss.cnn.com,left leaning
politicalticker.blogs.cnn.com,left leaning
www.cnn.co.jp,left leaning
cnn.id,left leaning
cms.cnn.com,left leaning
view.newsletters.cnn.com,left leaning
CNN.it,left leaning
CNN.com,left leaning
CNN.Com,left leaning
CNN.co.jp,left leaning
CNN.COM,left leaning
cnnpressroom.blogs.cnn.com,left leaning
cnnespanol.cnn.com,left leaning
therecount.com,center
www.axios.com,left leaning
amp.axios.com,left leaning
axios.com,left leaning
Axios.com,left leaning
abcn.ws,left leaning
www.abc.net.au,left leaning
www.abc.com.py,left leaning
abc.com,left leaning
abc.com.py,left leaning
dwtsvote.abc.com,left leaning
mobile.abc.net.au,left leaning
ABC.COM,left leaning
abcnews.com,left leaning
abcnews.go.com,left leaning
ABCNews.com,left leaning
abc13.com,left leaning
abc30.com,left leaning
abc30.tv,left leaning
www.nbcnews.com,left leaning
nbcnews.to,left leaning
nbcnews.com,left leaning
press.nbcnews.com,left leaning
link.nbcnews.com,left leaning
links.nbcnews.com,left leaning
NBCNews.com,left leaning
www.today.com,left leaning
on.today.com,left leaning
www.nbcphiladelphia.com,left leaning
nbc.com,left leaning
dailycaller.com,right
amp.dailycaller.com,right
www.dailycaller.com,right
cdn01.dailycaller.com,right
breaking911.com,fake news
apne.ws,left leaning
apnews.com,left leaning
www.apnews.com,left leaning
www.apimages.com,left leaning
cbsn.ws,left leaning
www.cbsnews.com,left leaning
cbsnews.com,left leaning
CBSNews.com,left leaning
cbs.com,left leaning
www.cbs.com,left leaning
CBS.com,left leaning
cbsloc.al,left leaning
minnesota.cbslocal.com,left leaning
boston.cbslocal.com,left leaning
losangeles.cbslocal.com,left leaning
sacramento.cbslocal.com,left leaning
sanfrancisco.cbslocal.com,left leaning
baltimore.cbslocal.com,left leaning
denver.cbslocal.com,left leaning
pittsburgh.cbslocal.com,left leaning
newyork.cbslocal.com,left leaning
chicago.cbslocal.com,left leaning
philadelphia.cbslocal.com,left leaning
dfw.cbslocal.com,left leaning
miami.cbslocal.com,left leaning
gooddaysacramento.cbslocal.com,left leaning
detroit.cbslocal.com,left leaning
politi.co,left leaning
www.politico.com,left leaning
politico.com,left leaning
politico.mx,left leaning
www.politico.eu,left leaning
static.politico.com,left leaning
www.msnbc.com,left
on.msnbc.com,left
msnbc.com,left
MSNBC.com,left
washex.am,right
www.washingtonexaminer.com,right
washingtonexaminer.com,right
nypost.com,right leaning
NYPost.com,right leaning
www.npr.org,left leaning
apps.npr.org,left leaning
one.npr.org,left leaning
npr.org,left leaning
stateimpact.npr.org,left leaning
ww.npr.org,left leaning
fxn.ws,right
www.foxnews.com,right
video.foxnews.com,right
radio.foxnews.com,right
static.foxnews.com,right
insider.foxnews.com,right
nation.foxnews.com,right
foxnews.com,right
FOXNews.com,right
FoxNews.com,right
www-foxnews-com.cdn.ampproject.org,right
press.foxnews.com,right
www.foxbusiness.com,right
video.foxbusiness.com,right
foxbusiness.com,right
nowthisnews.com,extreme bias left
judicialwatch.org,fake news
www.judicialwatch.org,fake news
myjw.pr.judicialwatch.org,fake news
JudicialWatch.org,fake news
cnb.cx,right leaning
www.cnbc.com,right leaning
cnbc.com,right leaning
video.cnbc.com,right leaning
CNBC.com,right leaning
reut.rs,center
www.reuters.com,center
mobile.reuters.com,center
in.reuters.com,center
uk.reuters.com,center
graphics.reuters.com,center
feeds.reuters.com,center
polling.reuters.com,center
reuters.com,center
jp.reuters.com,center
af.reuters.com,center
in.mobile.reuters.com,center
fr.reuters.com,center
lta.reuters.com,center
blogs.reuters.com,center
br.reuters.com,center
uk.mobile.reuters.com,center
pictures.reuters.com,center
www.c-span.org,center
c-span.org,center
static.c-span.org,center
C-Span.org,center
C-SPAN.org,center
www.disclose.tv,right
www.breitbart.com,extreme bias right
breitbart.com,extreme bias right
Breitbart.com,extreme bias right
www.Breitbart.com,extreme bias right
store.breitbart.com,extreme bias right
www-breitbart-com.cdn.ampproject.org,extreme bias right
nws.mx,extreme bias right
Nws.mx,extreme bias right
nws.mx.tv,extreme bias right
Nws.mx.tv,extreme bias right
www.newsmax.com,extreme bias right
Newsmax.com,extreme bias right
www.Newsmax.com,extreme bias right
www.thedailybeast.com,left
thedailybeast.com,left
www.thegatewaypundit.com,extreme bias right
thegatewaypundit.com,extreme bias right
www.bloomberg.com,left leaning
www.bloomberg.org,left leaning
bloom.bg,left leaning
bloomberg.com,left leaning
gbf.bloomberg.org,left leaning
www.bloomberg.co.jp,left leaning
www.asphaltart.bloomberg.org,left leaning
Bloomberg.com,left leaning
www.Bloomberg.com,left leaning
news.bloomberglaw.com,left leaning
www.rasmussenreports.com,right leaning
m.washingtontimes.com,right leaning
www.washingtontimes.com,right leaning
amp.washingtontimes.com,right leaning
washingtontimes.com,right leaning
washingtontimes-dc.newsmemory.com,right leaning
www.newsweek.com,right leaning
newsweek.com,right leaning
www-newsweek-com.cdn.ampproject.org,right leaning
www.dailywire.com,right
dailywire.com,right
news.dailywire.com,right
ti.me,left leaning
time.com,left leaning
mag.time.com,left leaning
content.time.com,left leaning
TIME.com,left leaning
time-com.cdn.ampproject.org,left leaning
www.mediaite.com,left
mediaite.com,left
www.rawstory.com,left
rawstory.com,left
click1.e.rawstory.com,left
www.vox.com,left
vox.com,left
Vox.com,left
www.espn.com,left leaning
www.wsj.com,right leaning
on.wsj.com,right leaning
wsj.com,right leaning
graphics.wsj.com,right leaning
blogs.wsj.com,right leaning
accounts.wsj.com,right leaning
s.wsj.net,right leaning
online.wsj.com,right leaning
WSJ.com,right leaning
www.latimes.com,left leaning
latimes.com,left leaning
articles.latimes.com,left leaning
Latimes.com,left leaning
www.oann.com,right
oann.com,right
OANN.com,right
www.theblaze.com,right
theblaze.com,right
TheBlaze.com,right
www.theepochtimes.com,right
