Media,Type,Username,bias,displayname,id_str
The Hill,username,thehill,Center,The Hill,1917731
The Washington Post,username,washingtonpost,Left Leaning,The Washington Post,2467791
The Washington Post,username,PostOpinions,Left Leaning,Washington Post Opinions,14345812
The Washington Post,username,postopinions,Left Leaning,Washington Post Opinions,14345812
The Washington Post,username,postpolitics,Left Leaning,Post Politics,14345062
The New York Times,username,nytimes,Left Leaning,The New York Times,807095
The New York Times,username,nytopinion,Left Leaning,New York Times Opinion,16686144
The New York Times,username,NYTPolitics,Left Leaning,NYT Politics,14434063
The New York Times,username,nytclimate,Left Leaning,NYT Climate,14603515
The New York Times,username,NYTNational,Left Leaning,NYT National News,1767741
The New York Times,username,nytnational,Left Leaning,NYT National News,1767741
The New York Times,username,NYTHealth,Left Leaning,NYT Health,1769551
Cable News Network,username,CNN,Left Leaning,CNN,759251
Cable News Network,username,cnn,Left Leaning,CNN,759251
Cable News Network,username,CNNPolitics,Left Leaning,CNN Politics,13850422
Cable News Network,username,cnnpolitics,Left Leaning,CNN Politics,13850422
Cable News Network,username,CNNBRK,Left Leaning,CNN Breaking News,428333
Cable News Network,username,CNNSOTU,Left Leaning,State of the Union,17112878
Cable News Network,username,CNNSotu,Left Leaning,State of the Union,17112878
Cable News Network,username,cnnsotu,Left Leaning,State of the Union,17112878
Cable News Network,username,TheLeadCNN,Left Leaning,The Lead CNN,1176994477
Cable News Network,username,theleadcnn,Left Leaning,The Lead CNN,1176994477
Cable News Network,username,CNNPR,Left Leaning,CNN Communications,71349174
Cable News Network,username,cnnpr,Left Leaning,CNN Communications,71349174
Cable News Network,username,CNNThisMorning,Left Leaning,CNN This Morning with Kasie Hunt,1375289149
Cable News Network,username,AC360,Left Leaning,Anderson Cooper 360°,227837742
Cable News Network,username,ac360,Left Leaning,Anderson Cooper 360°,227837742
Cable News Network,username,NewsCentralCNN,Left Leaning,CNN News Central,9567972
Cable News Network,username,CNNEE,Left Leaning,CNN en Español,33884545
Cable News Network,username,cnnee,Left Leaning,CNN en Español,33884545
Cable News Network,username,CNNBusiness,Left Leaning,CNN Business,16184358
Cable News Network,username,cnnbusiness,Left Leaning,CNN Business,16184358
Cable News Network,username,cnni,Left Leaning,CNN International,2097571
Cable News Network,username,OutFrontCNN,Left Leaning,Erin Burnett OutFront,361342191
Cable News Network,username,outfrontcnn,Left Leaning,Erin Burnett OutFront,361342191
Cable News Network,username,CNNOpinion,Left Leaning,CNN Opinion,259074538
Cable News Network,username,cnnopinion,Left Leaning,CNN Opinion,259074538
Cable News Network,username,ReliableSources,Left Leaning,Reliable Sources,547860279
Cable News Network,username,CNNSitRoom,Left Leaning,The Situation Room,34310801
Cable News Network,username,cnnsitroom,Left Leaning,The Situation Room,34310801
The Recount,username,therecount,Center,The Recount,1087380412089987077
Axios,username,axios,Left Leaning,Axios,800707492346925056
American Broadcasting Company,username,ABC,Left Leaning,ABC News,28785486
American Broadcasting Company,username,abc,Left Leaning,ABC News,28785486
American Broadcasting Company,username,ABCPolitics,Left Leaning,ABC News Politics,16815644
American Broadcasting Company,username,abcpolitics,Left Leaning,ABC News Politics,16815644
American Broadcasting Company,username,TheView,Left Leaning,The View,21258337
American Broadcasting Company,username,theview,Left Leaning,The View,21258337
American Broadcasting Company,username,ThisWeekABC,Left Leaning,This Week,450941680
American Broadcasting Company,username,thisweekabc,Left Leaning,This Week,450941680
American Broadcasting Company,username,ABC13News,Left Leaning,ABC 13 News - WSET,15145138
American Broadcasting Company,username,abc13news,Left Leaning,ABC 13 News - WSET,15145138
American Broadcasting Company,username,ABC30,Left Leaning,ABC30 Fresno,16688247
American Broadcasting Company,username,GMA,Left Leaning,Good Morning America,22650211
American Broadcasting Company,username,gma,Left Leaning,Good Morning America,22650211
National Broadcasting Company News,username,NBCNews,Left Leaning,NBC News,14173315
National Broadcasting Company News,username,NBCPolitics,Left Leaning,NBC Politics,11856032
National Broadcasting Company News,username,nbcpolitics,Left Leaning,NBC Politics,11856032
National Broadcasting Company News,username,MeetThePress,Left Leaning,Meet the Press,11856892
National Broadcasting Company News,username,meetthepress,Left Leaning,Meet the Press,11856892
National Broadcasting Company News,username,NBCNightlyNews,Left Leaning,NBC Nightly News with Lester Holt,8839632
National Broadcasting Company News,username,nbcnightlynews,Left Leaning,NBC Nightly News with Lester Holt,8839632
National Broadcasting Company News,username,TODAYshow,Left Leaning,TODAY,7744592
National Broadcasting Company News,username,todayshow,Left Leaning,TODAY,7744592
National Broadcasting Company News,username,NBCPhiladelphia,Left Leaning,NBC10 Philadelphia,15755669
National Broadcasting Company News,username,nbcphiladelphia,Left Leaning,NBC10 Philadelphia,15755669
National Broadcasting Company News,username,Morning_Joe,Left Leaning,Morning Joe,254117355
National Broadcasting Company News,username,morning_joe,Left Leaning,Morning Joe,254117355
National Broadcasting Company News,username,nbcsnl,Left Leaning,Saturday Night Live - SNL,28221296
National Broadcasting Company News,username,NBCNewsPR,Left Leaning,NBC News PR,102480261
National Broadcasting Company News,username,NBCLatino,Left Leaning,NBC Latino,377949581
National Broadcasting Company News,username,nbclatino,Left Leaning,NBC Latino,377949581
National Broadcasting Company News,username,NBCOUT,Left Leaning,NBC Out,3331875599
National Broadcasting Company News,username,FallonTonight,Left Leaning,The Tonight Show,19777398
National Broadcasting Company News,username,fallontonight,Left Leaning,The Tonight Show,19777398
National Broadcasting Company News,username,NBCAsianAmerica,Left Leaning,NBC Asian America,2535377622
National Broadcasting Company News,username,nbcasianamerica,Left Leaning,NBC Asian America,2535377622
The Daily Caller,username,DailyCaller,Right,Daily Caller,39308549
The Daily Caller,username,dailycaller,Right,Daily Caller,39308549
Breaking911,username,Breaking911,Extreme Bias Right,Breaking911,375721095
The Associated Press,username,AP,Left Leaning,The Associated Press,51241574
The Associated Press,username,ap,Left Leaning,The Associated Press,51241574
The Associated Press_Politics,username,AP_Politics,Center,AP Politics,426802833
The Associated Press_Politics,username,ap_politics,Center,AP Politics,426802833
Columbia Broadcasting System News,username,CBSNews,Left Leaning,CBS News,15012486
Columbia Broadcasting System News,username,cbsnews,Left Leaning,CBS News,15012486
Columbia Broadcasting System News,username,60Minutes,Left Leaning,60 Minutes,18812572
Columbia Broadcasting System News,username,60minutes,Left Leaning,60 Minutes,18812572
Columbia Broadcasting System News,username,FaceTheNation,Left Leaning,Face The Nation,205392468
Columbia Broadcasting System News,username,facethenation,Left Leaning,Face The Nation,205392468
Columbia Broadcasting System News,username,CBSEveningNews,Left Leaning,CBS Evening News,42958829
Columbia Broadcasting System News,username,cbseveningnews,Left Leaning,CBS Evening News,42958829
Columbia Broadcasting System News,username,latelateshow,Left Leaning,The Late Late Show with James Corden,2835962353
Columbia Broadcasting System News,username,CBSMornings,Left Leaning,CBS Mornings,17134268
Columbia Broadcasting System News,username,colbertlateshow,Left Leaning,The Late Show,2835886194
Columbia Broadcasting System News,username,60Mins,Left Leaning,60 Minutes Australia,38576013
Columbia Broadcasting System News,username,60mins,Left Leaning,60 Minutes Australia,38576013
Columbia Broadcasting System News,username,kcalnews,Left Leaning,KCAL News,24928809
Columbia Broadcasting System News,username,WCCO,Left Leaning,WCCO | CBS News Minnesota,13000872
Columbia Broadcasting System News,username,cbschicago,Left Leaning,CBS Chicago,15032862
Columbia Broadcasting System News,username,CBSSunday,Left Leaning,CBS Sunday Morning 🌞,119829799
Columbia Broadcasting System News,username,cbssunday,Left Leaning,CBS Sunday Morning 🌞,119829799
Columbia Broadcasting System News,username,CBSMiami,Left Leaning,CBS News Miami,16334281
Columbia Broadcasting System News,username,CBS,Left Leaning,CBS,97739866
Columbia Broadcasting System News,username,cbslocal,Left Leaning,CBS Local,14836690
Politico,username,politico,Left Leaning,POLITICO,9300262
Microsoft and National Broadcasting Company,username,MSNBC,Left,MSNBC,2836421
Microsoft and National Broadcasting Company,username,msnbc,Left,MSNBC,2836421
