retweeted_time,retweeted_id,retweeted_user_id,retweeted_username,retweeted_user_location,retweeted_hashtags,retweet_time,retweet_id,retweet_expanded_urls_array,retweet_origin_user_id,retweet_origin_username,retweet_origin_user_location,retweet_origin_user_intro_expanded_url,retweet_origin_user_des_expanded_url,retweet_origin_retweet_count,retweet_origin_hashtags,quoted_time,quoted_id,quoted_expanded_urls_array,quoted_origin_user_id,quoted_origin_username,quoted_origin_user_location,quoted_origin_user_intro_expanded_url,quoted_origin_user_des_expanded_url,quoted_origin_retweet_count,quoted_origin_hashtags,retweeted_full_text,retweeted_origin_full_text,quoted_origin_full_text
Fri Mar 13 22:36:22 +0000 2020,1238594780159934465,994372265155481600,metoo@ itssbouttime🌊,"Massachusetts, USA",,Fri Mar 13 17:19:14 +0000 2020,1238514973485207552,https://elizabethwarren.com/plans/updated-plan-address-coronavirus?source=soc-WB-ew-tw,357606935,Elizabeth Warren,Massachusetts,https://elizabethwarren.com/,,3578.0,,,,,,,,,,,,RT @ewarren: We can help people stay home if they're sick and support our economy by: -Creating an emergency paid leave program -Increasing…,We can help people stay home if they're sick and support our economy by: -Creating an emergency paid leave program -Increasing Social Security checks by $200 per month -Expanding unemployment benefits -Canceling student loan debt https://t.co/Sy9NuUUVHe,
Fri Mar 13 22:36:17 +0000 2020,1238594760098697216,2718214236,DEFEAT @GOP LIES,,,Fri Mar 13 18:05:00 +0000 2020,1238526488774938625,http://JoeBiden.com/Join,939091,Joe Biden,"Washington, DC",http://joebiden.com,,1234.0,,,,,,,,,,,,RT @JoeBiden: We’re building a campaign powered by the backbone and the base of the Democratic party. A campaign that will defeat Donald Tr…,We’re building a campaign powered by the backbone and the base of the Democratic party. A campaign that will defeat Donald Trump and restore the soul of this nation. Join us: https://t.co/gnaFCACYrW,
Fri Mar 13 22:36:15 +0000 2020,1238594753324896257,1234268828043022336,Joy Lucille,,,Fri Mar 13 22:31:24 +0000 2020,1238593529359798279,http://b2020.me/BP4BHBCU,55080227,phillip agnew,Miami,http://blackmen.build,,27.0,"[{'text': 'bernie2020', 'indices': [99, 110]}, {'text': 'OurPeopleOurPower', 'indices': [111, 129]}]",,,,,,,,,,,RT @iPhilSomething: little under 900 RSVP'S for tonight's call.   you coming?  https://t.co/gkSJYio72E  @BernieSanders #bernie2020 #OurPeop…,little under 900 RSVP'S for tonight's call.   you coming?  https://t.co/gkSJYio72E  @BernieSanders #bernie2020 #OurPeopleOurPower https://t.co/YzaRa51lnD,
Fri Mar 13 22:36:14 +0000 2020,1238594748887126021,166420823,TerryHasAnOpinon,"Bay Area, California",,Fri Mar 13 22:26:55 +0000 2020,1238592401691770880,https://www.usatoday.com/story/travel/cruises/2020/03/12/coronavirus-viking-cruises-suspends-cruise-operations-until-may-1/5030006002/,1009577803304656896,Jeff Tiedrich,,,,1267.0,,,,,,,,,,,,"RT @itsJeffTiedrich: @realDonaldTrump fact check: these cruise operators had already suspended operations, on their own, without waiting fo…","@realDonaldTrump fact check: these cruise operators had already suspended operations, on their own, without waiting for your too-little-too-late half measures. but taking credit for other peoples' work is kind of your thing, so ... carry on sir! (source: https://t.co/IoacApDy2D ) https://t.co/Xs6BVADOuQ",
Fri Mar 13 22:36:23 +0000 2020,1238594785981739009,1236321368913911810,LoneStarOG,Haynesville Shale ,,Fri Mar 13 22:26:55 +0000 2020,1238592401691770880,https://www.usatoday.com/story/travel/cruises/2020/03/12/coronavirus-viking-cruises-suspends-cruise-operations-until-may-1/5030006002/,1009577803304656896,Jeff Tiedrich,,,,1267.0,,,,,,,,,,,,"RT @itsJeffTiedrich: @realDonaldTrump fact check: these cruise operators had already suspended operations, on their own, without waiting fo…","@realDonaldTrump fact check: these cruise operators had already suspended operations, on their own, without waiting for your too-little-too-late half measures. but taking credit for other peoples' work is kind of your thing, so ... carry on sir! (source: https://t.co/IoacApDy2D ) https://t.co/Xs6BVADOuQ",
Fri Mar 13 22:36:24 +0000 2020,1238594788586213376,261946402,Robert 🧢💡,,,Fri Mar 13 05:44:56 +0000 2020,1238340245625532417,https://www.cnbc.com/2020/03/12/coronavirus-elizabeth-warren-calls-for-grassroots-stimulus-package.html,1031592851191156737,Will Weyting,Free range latchkey kid,,,328.0,"[{'text': 'UBIStimulus', 'indices': [164, 176]}]",,,,,,,,,,,RT @WWeyting: I can’t believe what I’m reading. Elizabeth Warren wants to put money directly in people’s hands to counter the coronavirus e…,I can’t believe what I’m reading. Elizabeth Warren wants to put money directly in people’s hands to counter the coronavirus economic impact https://t.co/f6GR7QYliu #UBIStimulus @AndrewYang @scottsantens,
Fri Mar 13 22:36:24 +0000 2020,1238594788682690561,14998584,Keir F-E,,,Fri Mar 13 17:19:14 +0000 2020,1238514973485207552,https://elizabethwarren.com/plans/updated-plan-address-coronavirus?source=soc-WB-ew-tw,357606935,Elizabeth Warren,Massachusetts,https://elizabethwarren.com/,,3578.0,,,,,,,,,,,,RT @ewarren: We can help people stay home if they're sick and support our economy by: -Creating an emergency paid leave program -Increasing…,We can help people stay home if they're sick and support our economy by: -Creating an emergency paid leave program -Increasing Social Security checks by $200 per month -Expanding unemployment benefits -Canceling student loan debt https://t.co/Sy9NuUUVHe,
Fri Mar 13 22:36:23 +0000 2020,1238594786132713475,1006679195920019456,Elizabeth Ellis,,,Thu Mar 12 23:10:28 +0000 2020,1238240973207019523,http://b2020.me/BP4BHBC,55080227,phillip agnew,Miami,http://blackmen.build,,472.0,"[{'text': 'BernieforHBCU', 'indices': [44, 58]}]",,,,,,,,,,,RT @iPhilSomething: tomorrow night!   Black People for Bernie + #BernieforHBCU's National Call.   8PM EST   get updates on next steps and p…,tomorrow night!   Black People for Bernie + #BernieforHBCU's National Call.   8PM EST   get updates on next steps and plug in.  let's move!  RSVP HERE: https://t.co/fTWWesDX0L https://t.co/f0sblmuyrB,
Fri Mar 13 22:36:27 +0000 2020,1238594802234437632,401090263,Trump owes $$$$$$$$$,America not AmeriKKKa ,,Fri Mar 13 22:26:55 +0000 2020,1238592401691770880,https://www.usatoday.com/story/travel/cruises/2020/03/12/coronavirus-viking-cruises-suspends-cruise-operations-until-may-1/5030006002/,1009577803304656896,Jeff Tiedrich,,,,1267.0,,,,,,,,,,,,"RT @itsJeffTiedrich: @realDonaldTrump fact check: these cruise operators had already suspended operations, on their own, without waiting fo…","@realDonaldTrump fact check: these cruise operators had already suspended operations, on their own, without waiting for your too-little-too-late half measures. but taking credit for other peoples' work is kind of your thing, so ... carry on sir! (source: https://t.co/IoacApDy2D ) https://t.co/Xs6BVADOuQ",
Fri Mar 13 22:36:26 +0000 2020,1238594797675274240,888309176,Steven Cook,"Portland, OR",,Fri Mar 13 15:51:08 +0000 2020,1238492802528374784,https://pjmedia.com/trending/fact-check-obama-waited-until-millions-infected-and-1000-dead-in-u-s-before-declaring-h1n1-emergency/,16585184,Wayne Dunlap,"Cardiff-by-the-Sea, California, USA",http://www.UnhookNow.com,,210.0,,,,,,,,,,,,"RT @wdunlap: @SexCounseling @truthpiks @realDonaldTrump @CDCgov Obama Waited Until 'Millions' Infected with 20,000 hospitalized and 1,000 D…","@SexCounseling @truthpiks @realDonaldTrump @CDCgov Obama Waited Until 'Millions' Infected with 20,000 hospitalized and 1,000 Dead in the U.S. Before Declaring Swine Flu H1N1 Virus Emergency. Where was the media hysteria then? https://t.co/n0S1RSceiK",
