retweeted_time,retweeted_id,retweeted_user_id,retweeted_username,retweeted_user_location,retweeted_hashtags,retweet_time,retweet_id,retweet_expanded_urls_array,retweet_origin_user_id,retweet_origin_username,retweet_origin_user_location,retweet_origin_user_intro_expanded_url,retweet_origin_user_des_expanded_url,retweet_origin_retweet_count,retweet_origin_hashtags,quoted_time,quoted_id,quoted_expanded_urls_array,quoted_origin_user_id,quoted_origin_username,quoted_origin_user_location,quoted_origin_user_intro_expanded_url,quoted_origin_user_des_expanded_url,quoted_origin_retweet_count,quoted_origin_hashtags,retweeted_full_text,retweeted_origin_full_text,quoted_origin_full_text
Fri Dec 06 23:57:55 +0000 2019,1203101292542877696,4721684036,Mary In the Pacific Northwest,"Pacific Northwest, USA",,Fri Dec 06 22:23:37 +0000 2019,1203077563041472512,,195271137,Larry Elder,,https://youtube.com/@LarryElderShow,,549.0,"[{'text': 'Democrats2020', 'indices': [235, 249]}]",,,,,,,,,,,RT @larryelder: Sen. @CoryBooker says he’s sorry that Sen. @KamalaHarris dropped out “because she was bringing up issues nobody else was.”…,"Sen. @CoryBooker says he’s sorry that Sen. @KamalaHarris dropped out “because she was bringing up issues nobody else was.” Like what? What’s stopping him from bring them up? And if she was so terrific, why was he running against her?  #Democrats2020",
Fri Dec 06 23:57:55 +0000 2019,1203101292635336704,793194936267145216,diane Borkowski,"Michigan, USA",,Fri Dec 06 20:29:43 +0000 2019,1203048899210035202,,468646961,Tomi Lahren,"Nashville, TN",https://www.outkick.com/tomilahrenisfearless/,,3624.0,,,,,,,,,,,,"RT @TomiLahren: Happy to report @realDonaldTrump your policies are working on the border. Now, we just need more wall. https://t.co/suhKWOQ…","Happy to report @realDonaldTrump your policies are working on the border. Now, we just need more wall. https://t.co/suhKWOQVyb",
Fri Dec 06 23:57:54 +0000 2019,1203101288214466560,850508854618189825,Mac McKinniss,United States,,Fri Dec 06 23:12:19 +0000 2019,1203089819632467968,,2643570679,Stephanie Myers,,https://stephaniemyers.substack.com/,,469.0,"[{'text': 'BREAKING', 'indices': [0, 9]}]",,,,,,,,,,,RT @_StephanieMyers: #BREAKING Supreme Court Justice Ruth Bader Ginsburg places temporary hold on ruling requiring Deutsche Bank &amp; Capital…,#BREAKING Supreme Court Justice Ruth Bader Ginsburg places temporary hold on ruling requiring Deutsche Bank &amp; Capital One to hand over @realDonaldTrump's financial records to congressional committees,
Fri Dec 06 23:57:54 +0000 2019,1203101289640538112,1150913591790493696,LOVE MY PIGGIES HATE TRUMP🌊🌊🌊🌊,"Richmond, IN",,Fri Dec 06 12:51:08 +0000 2019,1202933493598167040,,1106771843929788419,Hoodlum 🇺🇸,"New York, USA",,,98.0,,,,,,,,,,,,RT @HoodlumRIP: @GOPChairwoman @realDonaldTrump We the hundreds of millions that don’t support him are “We The People” too. Save this crap…,@GOPChairwoman @realDonaldTrump We the hundreds of millions that don’t support him are “We The People” too. Save this crap for Russia. https://t.co/mqauQhfb1I,
Fri Dec 06 23:57:54 +0000 2019,1203101290374606859,436378799,GuernicaMan,Puerto Rico,,,,,,,,,,,,Thu Dec 05 19:00:51 +0000 2019,1202664144585023495,,1880725393,Sunrise Movement 🌅,United States,https://smvmt.link/Bio-Link,,1629.0,,"@JoeBiden was very clear: If you want to get off fossil fuels &amp; ban fracking, you ""ought to vote for somebody else"". Thanks for the heads up, Joe! https://t.co/sgFUKQzO1H",,"Here's a thought, @JoeBiden. Maybe your climate policy advisor shouldn't be somebody who has taken a million dollars from the fossil fuel industry 🤔  Otherwise your commitment to averting the climate crisis sounds like a bunch of...well, malarkey. https://t.co/JnfRvOer45"
Fri Dec 06 23:57:56 +0000 2019,1203101297773121536,275893884,JS,,,Fri Dec 06 23:42:45 +0000 2019,1203097476842053635,,25073877,Donald J. Trump,,http://DonaldJTrump.com,,5342.0,"[{'text': 'MAGA', 'indices': [95, 100]}, {'text': '2A', 'indices': [153, 156]}]",,,,,,,,,,,RT @realDonaldTrump: Congressman @LanceGooden has done a wonderful job for the people of Texas while supporting our #MAGA Agenda. He contin…,"Congressman @LanceGooden has done a wonderful job for the people of Texas while supporting our #MAGA Agenda. He continues to protect your very important #2A. Lance is Strong on Crime and the Border, he Loves our Great Vets and Military. Lance has my Complete &amp; Total Endorsement!",
Fri Dec 06 23:57:56 +0000 2019,1203101298767339520,762343150044217349,Joey,"The Woodlands, TX",,,,,,,,,,,,Fri Dec 06 17:05:40 +0000 2019,1202997546328698880,,45676731,Tim Murtaugh,"Leesburg, VA",https://a.co/d/86xI15D,,546.0,,Isn’t THAT statement in your tweet PITIFUL?   Democrats are literally SICK W ENVY over Pres Trump and republicans knowing what to do to turn our country around from an eight year slump under democrats w Obama    And HELLOOO BIDEN is noooo winner to EVER do a thing 4 our country👎🏼 https://t.co/tTSIa1RvL4,,"If you bump into a Democrat running for president cut them some slack, would ya?  They all got bad news today.  The @realDonaldTrump economy created 266,000 new jobs last month &amp; wages are up again.  They don’t know what to do, because good news for America is bad news for Dems."
Fri Dec 06 23:57:56 +0000 2019,1203101295978131456,1022748493876617218,Big Tuna,,,Thu Dec 05 21:00:28 +0000 2019,1202694249260691456,,1179128857380691970,wi will win,Wisconsin,https://www.wisconsinforbernie.com/,,79.0,"[{'text': 'MedicareForAll', 'indices': [274, 289]}]",,,,,,,,,,,RT @wiforbernie2020: @BernieSanders Laura’s mom stopped doing chemo because her employer-backed insurance ended when she revealed her cance…,@BernieSanders Laura’s mom stopped doing chemo because her employer-backed insurance ended when she revealed her cancer diagnosis &amp; was fired. She couldn’t afford to pay out of pocket. No one should have to look at her/his bank account before seeking medical treatment. #MedicareForAll now. https://t.co/guZSnxjyt2,
Fri Dec 06 23:57:55 +0000 2019,1203101294887624704,2670343884,🇺🇸Tony Justice🇺🇸,"Graniteville, SC",,Fri Dec 06 13:39:31 +0000 2019,1202945667913703425,,246500501,Geraldo Rivera,New York City,http://geraldo.com,,4131.0,"[{'text': 'impeachment', 'indices': [234, 246]}]",,,,,,,,,,,"RT @GeraldoRivera: 266,000 new non-farm jobs added to the economy last month.  More minorities working than ever before.  @realDonaldTrump…","266,000 new non-farm jobs added to the economy last month.  More minorities working than ever before.  @realDonaldTrump delivering on his promise that a rising economic tide will lift all boats.  Tell me again how the Democrat-driven #impeachment helps the  nation?",
Fri Dec 06 23:57:56 +0000 2019,1203101297135632384,1001935425580265472,GM Noticias,Piedras Negras,,,,,,,,,,,,,,,,,,,,,,"🔴ÚLTIMA HORA🔴 #EEUU  @realDonaldTrump aplaza la designación de los carteles de la droga como terroristas a petición de México  ""Por pedido de @lopezobrador_ temporalmente no incluimos a los cárteles mexicanos en la lista de organizaciones terroristas"" https://t.co/fi3wlfFTEV",,
