source,target,weight
25073877,874970256,69.0
25073877,875106966,48.0
2228878592,973698792519282688,32.0
25073877,1722907592,30.0
25073877,1083157067463098370,27.0
2228878592,1142078330054828032,22.0
2228878592,832170559,19.0
357606935,25506240,19.0
25073877,865225293841158145,18.0
25073877,1204230348609064961,18.0
2228878592,1109400043881226240,18.0
234210005,1157388784301793280,18.0
2228878592,1162757233987522562,17.0
2228878592,2500055300,17.0
25073877,784744998734532608,16.0
934049237628841984,964658316021587970,14.0
2228878592,36840498,13.0
1426302834,18247062,13.0
1141928177046106114,805837455697977344,12.0
2228878592,2863334490,12.0
432895323,874970256,11.0
2228878592,374871742,11.0
2228878592,408875175,11.0
2228878592,944378643232448512,10.0
2228878592,1172589774235938816,10.0
875106966,822215673812119553,10.0
2228878592,1131542859902083072,10.0
2228878592,1145899973139034112,9.0
2228878592,294822641,9.0
2228878592,1157065455623954432,9.0
25073877,1426302834,9.0
1157388784301793280,865225293841158145,9.0
3152337114,226222147,9.0
2228878592,21978222,8.0
2721049359,53091029,8.0
2228878592,1189782859688660995,8.0
2228878592,1064280595755237377,8.0
25073877,331825712,8.0
2228878592,1173808918398722048,8.0
2810692520,226222147,8.0
1108472017144201216,874970256,8.0
2228878592,76751473,8.0
25073877,709161467401019392,8.0
2228878592,1184362499518402560,7.0
489057924,226222147,7.0
1159058331320901633,226222147,7.0
886696144683794432,939091,7.0
216776631,15975316,6.0
25073877,4872993094,6.0
3353061012,492833134,6.0
3644915056,45645232,6.0
2228878592,22740127,6.0
25073877,964658316021587970,6.0
2228878592,1722834998,6.0
790627627,20640982,6.0
928755127,18247062,6.0
25073877,4228788018,6.0
598973191,17877451,6.0
1073047860260814848,893331068,6.0
3530404094,709161467401019392,6.0
18266688,1426302834,6.0
2228878592,19894290,5.0
800570658929262592,25811031,5.0
790627627,939091,5.0
2228878592,2324935292,5.0
321774180,834657630,5.0
729676086632656900,1083157067463098370,5.0
2864856363,18247062,5.0
1109400043881226240,26637348,5.0
922882763136688128,21522338,5.0
25073877,956989774010732544,5.0
2228878592,4461247456,5.0
216776631,598973191,5.0
4864402683,216776631,5.0
19682187,323440720,5.0
2228878592,1496936984,5.0
2559436158,216776631,5.0
76763663,216776631,5.0
928755127,11134252,5.0
216776631,183673918,5.0
2228878592,1110675502073733120,5.0
2228878592,1140707287348207616,5.0
2353605901,875106966,5.0
2228878592,1193342580978847744,5.0
357606935,886696144683794432,5.0
43014978,1041318026451152896,5.0
216776631,1048370469622054914,5.0
25073877,2864856363,4.0
944378643232448512,2964839109,4.0
4165642155,735633664696946689,4.0
2353605901,1083157067463098370,4.0
757272075484565504,715620316228292611,4.0
931286316,1083157067463098370,4.0
432895323,1083157067463098370,4.0
1117874908179124225,68611923,4.0
492833134,792660210,4.0
432895323,865225293841158145,4.0
875106966,39308549,4.0
362028861,973698792519282688,4.0
171954269,939091,4.0
492833134,2468708726,4.0
357606935,2178932921,4.0
3141672447,598973191,4.0
1000075108491382784,30726383,4.0
788131075318910976,835729260,4.0
3152337114,1143571304404148224,4.0
216776631,16263803,4.0
2810692520,1143571304404148224,4.0
1003945095371030531,800570658929262592,4.0
18266688,18247062,4.0
25073877,520421064,4.0
2228878592,975930416233369600,4.0
1133555455874207747,1077790895783653377,4.0
2228878592,768234121873264642,4.0
1426302834,818948638890217473,4.0
800570658929262592,547155318,4.0
959538422812676096,18247062,4.0
2228878592,1107497791155105793,4.0
216776631,1345940180,4.0
2228878592,870078626066202624,4.0
216776631,920122212,4.0
2228878592,21563711,4.0
25073877,847111508890976257,4.0
236487888,4180736069,4.0
1117874908179124225,226222147,4.0
489057924,1143571304404148224,4.0
2228878592,1037989633,4.0
1168567780549058561,1037989633,4.0
1127347059676385280,216776631,4.0
832170559,2500055300,4.0
300642262,11435642,4.0
727137760574857216,492833134,4.0
4128148629,226222147,4.0
21522338,346896433,4.0
2500055300,1184727405308633088,4.0
1127683471592296448,11134252,4.0
758042170968375296,216776631,4.0
18266688,959538422812676096,4.0
729676086632656900,1722907592,4.0
52338305,1426302834,4.0
432895323,1722907592,4.0
43014978,3224321133,3.0
274891222,11134252,3.0
25073877,1155339846371741696,3.0
7027112,1027727549550526464,3.0
2228878592,1166458687302451200,3.0
1493248418,860530914,3.0
18266688,234210005,3.0
216776631,1150860862426628101,3.0
2228878592,1174909398445019138,3.0
18266688,1070785811396919297,3.0
2863996955,2178932921,3.0
2228878592,1168567780549058561,3.0
4165642155,3168663944,3.0
236487888,60354031,3.0
2353605901,1155339846371741696,3.0
3530404094,3266619146,3.0
22596164,1037989633,3.0
1172589774235938816,2964839109,3.0
27943005,1000075108491382784,3.0
2918212191,216776631,3.0
3141672447,920122212,3.0
803774148338188289,793658020743876608,3.0
2228878592,1194787827168563200,3.0
21001599,1020134989172748294,3.0
2228878592,2155027064,3.0
983766825610694656,875106966,3.0
2863996955,999392118115356673,3.0
16582131,547155318,3.0
25073877,1130661180610007042,3.0
492833134,816736590412337158,3.0
30354991,999392118115356673,3.0
2863996955,803774148338188289,3.0
762390432437399556,11134252,3.0
25073877,1127683471592296448,3.0
847111508890976257,11134252,3.0
25073877,928755127,3.0
4165642155,1094282233949622272,3.0
1493248418,226222147,3.0
548384458,3224321133,3.0
43014978,885722677,3.0
18266688,3950712869,3.0
18266688,928755127,3.0
2228878592,219915177,3.0
1086976130819809280,601537492,3.0
606907410,16581604,3.0
123281100,811215353183424513,3.0
2863996955,811215353183424513,3.0
1131542859902083072,1037989633,3.0
715617989656051712,1000075108491382784,3.0
1070785811396919297,11134252,3.0
2228878592,16691174,3.0
711287276479754241,3141672447,3.0
1155339846371741696,11134252,3.0
2228878592,1174583791744147456,3.0
547155318,33913156,3.0
471677441,4180736069,3.0
1130661180610007042,84219973,3.0
25073877,21545041,3.0
2228878592,837421871654031360,3.0
216776631,168406203,3.0
3224321133,226222147,3.0
3644915056,27493883,3.0
978167070633291776,226222147,3.0
25073877,179341792,3.0
43014978,612557998,3.0
25073877,992870137240764417,3.0
26512972,1162757233987522562,3.0
18266688,847111508890976257,3.0
11134252,1722907592,3.0
1070785811396919297,18247062,3.0
43014978,890306613785088000,3.0
2559436158,16930125,3.0
860530914,1109138224411222016,3.0
847111508890976257,45676731,3.0
1070785811396919297,45676731,3.0
7027112,1036803577207877632,3.0
471677441,1011658090268188672,3.0
234210005,18247062,3.0
19211550,709161467401019392,3.0
1121492192235806721,1123329338,3.0
800570658929262592,2547790158,3.0
2228878592,1170523367616720896,3.0
20104539,1170523367616720896,3.0
1148461061999194112,757272075484565504,3.0
188793260,757272075484565504,3.0
1131542859902083072,1166042641064243200,3.0
25073877,733063923620945920,3.0
216776631,1091145234279481347,3.0
1917731,1142078330054828032,3.0
123281100,893331068,3.0
18266688,1083157067463098370,3.0
68611923,860530914,3.0
246871490,1083157067463098370,3.0
1127683471592296448,18247062,3.0
45676731,1083157067463098370,3.0
729676086632656900,1204230348609064961,3.0
432895323,1204230348609064961,3.0
1143571304404148224,937729411947876357,3.0
978864793477054465,553991829,3.0
20104539,973698792519282688,3.0
27493883,812361923304034304,3.0
834657630,30726383,3.0
25073877,3192962633,3.0
1094282233949622272,11134252,2.0
2863996955,1909127594,2.0
25073877,19211550,2.0
928755127,19211550,2.0
43014978,36706851,2.0
547155318,365683145,2.0
829715365223682048,1150143856618430464,2.0
113364160,1150143856618430464,2.0
818910970567344128,1155339846371741696,2.0
27995424,18089606,2.0
1173388464,454513795,2.0
21522828,43753976,2.0
829715365223682048,920122212,2.0
729676086632656900,1155339846371741696,2.0
234210005,11134252,2.0
3241154353,920122212,2.0
1148461061999194112,758042170968375296,2.0
357606935,755057897583804416,2.0
1131542859902083072,34315154,2.0
170641465,920122212,2.0
756903193901162496,25811031,2.0
727137760574857216,1130661180610007042,2.0
800570658929262592,1456953931,2.0
260759782,1456953931,2.0
2547790158,1456953931,2.0
26417015,1456953931,2.0
2228878592,1120055625742819328,2.0
52338305,959538422812676096,2.0
2353605901,959538422812676096,2.0
838033969954320385,43753976,2.0
84894878,11134252,2.0
1901404746,219915177,2.0
1496936984,219915177,2.0
2353605901,771791833,2.0
2559436158,3141672447,2.0
1150143856618430464,3141672447,2.0
1150143856618430464,22204234,2.0
2864856363,778763106289758208,2.0
60354031,1009577803304656896,2.0
3152337114,4128148629,2.0
2228878592,226871416,2.0
1159058331320901633,1493248418,2.0
33537967,2761230314,2.0
2353605901,274891222,2.0
15808765,183673918,2.0
471677441,171954269,2.0
1148461061999194112,183673918,2.0
838033969954320385,816736590412337158,2.0
3266619146,317385247,2.0
492833134,274891222,2.0
1140659626444070912,4461247456,2.0
94132483,11134252,2.0
43753976,816736590412337158,2.0
4128148629,1143571304404148224,2.0
956989774010732544,3530404094,2.0
3530404094,1094282233949622272,2.0
1174583791744147456,1110675502073733120,2.0
471677441,1088096065558102017,2.0
25073877,2249861570,2.0
408875175,1917731,2.0
236487888,1088096065558102017,2.0
2863996955,1088096065558102017,2.0
2353605901,2249861570,2.0
478855762,2249861570,2.0
1127347059676385280,33537967,2.0
1131542859902083072,1917731,2.0
899149856,179341792,2.0
850062189272674304,1157388784301793280,2.0
76751473,1110675502073733120,2.0
1135270672735903746,2500055300,2.0
7027112,1000075108491382784,2.0
2500055300,1110675502073733120,2.0
1003945095371030531,1072386122548830209,2.0
25073877,221121595,2.0
818910970567344128,875106966,2.0
769870028204220417,221121595,2.0
454513795,2256965582,2.0
26637348,2500055300,2.0
18266688,1125399808670351361,2.0
729676086632656900,875106966,2.0
2500055300,546111899,2.0
1140659626444070912,2500055300,2.0
1145899973139034112,97114302,2.0
3530404094,802529272623726593,2.0
2228878592,162104004,2.0
829715365223682048,4864402683,2.0
471677441,3224321133,2.0
802584787,22204234,2.0
357606935,3224321133,2.0
43014978,1000075108491382784,2.0
4864402683,1067293117,2.0
76763663,21146733,2.0
3836008983,732980827,2.0
216776631,3224321133,2.0
1190136594352590849,2500055300,2.0
793658020743876608,1000075108491382784,2.0
123281100,60354031,2.0
43078558,1193342580978847744,2.0
1493248418,68611923,2.0
920122212,22204234,2.0
43014978,60354031,2.0
22596164,1103939416362348544,2.0
2500055300,3231033384,2.0
823367015830323201,3088857280,2.0
76763663,16113072,2.0
2918212191,16263803,2.0
790627627,139596582,2.0
598973191,16113072,2.0
216776631,1068285150641995776,2.0
802584787,24616657,2.0
1493248418,989899992432369664,2.0
26417015,377350150,2.0
838033969954320385,63996778,2.0
123281100,2397840366,2.0
882724194148110336,216776631,2.0
1157065455623954432,43078558,2.0
4004609957,216776631,2.0
3141672447,216776631,2.0
802584787,216776631,2.0
234210005,492833134,2.0
978864793477054465,492833134,2.0
460233029,1109400043881226240,2.0
3224321133,115129636,2.0
22596164,43078558,2.0
2228878592,1171909867021492226,2.0
1020134989172748294,939091,2.0
4165642155,762390432437399556,2.0
33537967,999392118115356673,2.0
2228878592,1190136594352590849,2.0
236487888,999392118115356673,2.0
548384458,26417015,2.0
25073877,418867782,2.0
886696144683794432,226222147,2.0
43014978,601537492,2.0
598973191,188793260,2.0
26417015,896536097655853059,2.0
1125399808670351361,18247062,2.0
3345579826,226222147,2.0
25073877,4165642155,2.0
357606935,999392118115356673,2.0
860530914,226222147,2.0
727137760574857216,84219973,2.0
2256965582,4165642155,2.0
1145899973139034112,1037989633,2.0
22596164,14297863,2.0
26637348,851335608702189568,2.0
4228788018,84219973,2.0
68611923,489057924,2.0
470468291,84219973,2.0
84894878,84219973,2.0
4214321,16721452,2.0
2810692520,1120819174476062722,2.0
33537967,16721452,2.0
847111508890976257,18247062,2.0
113364160,168406203,2.0
3141672447,168406203,2.0
758042170968375296,394101339,2.0
18266688,1127683471592296448,2.0
802584787,394101339,2.0
521996289,22204234,2.0
732980827,21545041,2.0
931286316,964658316021587970,2.0
803774148338188289,3074932775,2.0
978864793477054465,84219973,2.0
16691174,1116173691270811649,2.0
25073877,84894878,2.0
823367015830323201,4048852873,2.0
1120819174476062722,226222147,2.0
2228878592,1490442355,2.0
321774180,3074932775,2.0
2918212191,598973191,2.0
793658020743876608,11856892,2.0
770781940341288960,84894878,2.0
2353605901,3266619146,2.0
548384458,999392118115356673,2.0
860530914,1143571304404148224,2.0
162104004,46764631,2.0
2324935292,46764631,2.0
2810692520,27753686,2.0
3345579826,27753686,2.0
860530914,27753686,2.0
851335608702189568,885661050,2.0
1159058331320901633,746813582386438144,2.0
860530914,746813582386438144,2.0
837421871654031360,1116173691270811649,2.0
1140659626444070912,1189782859688660995,2.0
321774180,1209994700,2.0
762390432437399556,15757578,2.0
216776631,36423281,2.0
216776631,859315448,2.0
902548250057728001,859315448,2.0
811298843337850880,859315448,2.0
2449913803,999084321184141312,2.0
818910970567344128,847111508890976257,2.0
920122212,16625082,2.0
1685873604,27493883,2.0
406483952,4872993094,2.0
11134252,4872993094,2.0
802529272623726593,741955390653534208,2.0
1168567780549058561,1184727405308633088,2.0
2228878592,14823835,2.0
25073877,1070785811396919297,2.0
19211550,38917331,2.0
2353605901,1070785811396919297,2.0
818910970567344128,1722907592,2.0
2353605901,1722907592,2.0
816736590412337158,1573472503,2.0
822215673812119553,1722907592,2.0
43753976,179341792,2.0
816683274076614656,1722907592,2.0
21522828,818948638890217473,2.0
939091,27493883,2.0
3141672447,947964830358622209,2.0
4165642155,790629748024029184,2.0
2228878592,319525018,2.0
727137760574857216,978864793477054465,2.0
321774180,890306613785088000,2.0
27943005,890306613785088000,2.0
406483952,964658316021587970,2.0
18266688,964658316021587970,2.0
3074932775,1041318026451152896,2.0
13524182,121631678,2.0
21978222,15099295,2.0
2324935292,15099295,2.0
22740127,15099295,2.0
823367015830323201,731608385645318144,2.0
1131542859902083072,48142004,2.0
1127683471592296448,26487169,2.0
76763663,35516339,2.0
758042170968375296,35516339,2.0
598973191,35516339,2.0
357606935,1127347059676385280,2.0
847111508890976257,17685258,2.0
3088857280,17685258,2.0
727137760574857216,3000620722,2.0
216776631,833839440,2.0
347627434,45676731,2.0
1155339846371741696,60403024,2.0
25073877,814979549503115264,2.0
2353605901,814979549503115264,2.0
931286316,814979549503115264,2.0
39076082,2351909388,2.0
471677441,1036803577207877632,2.0
1004178700466876416,43014978,2.0
1172589774235938816,20104539,2.0
1157065455623954432,20104539,2.0
832170559,20104539,2.0
944378643232448512,20104539,2.0
928755127,23359769,2.0
3266619146,61008839,2.0
14372270,716842239813558272,2.0
601537492,793658020743876608,2.0
236487888,1046201039320494081,2.0
43014978,1046201039320494081,2.0
27493883,1046201039320494081,2.0
959538422812676096,11134252,2.0
188793260,1090388423733583874,2.0
27282113,27493883,2.0
14839147,709161467401019392,2.0
25506240,1123329338,2.0
503400523,709161467401019392,2.0
1157065455623954432,2964839109,2.0
15212187,709161467401019392,2.0
26487169,709161467401019392,2.0
23359769,709161467401019392,2.0
492833134,3266619146,2.0
18266688,956989774010732544,2.0
620571475,874970256,2.0
1148461061999194112,188793260,2.0
216776631,861398108,2.0
378295286,861398108,2.0
626455898,834657630,2.0
460233029,26637348,2.0
1640929196,834657630,2.0
188793260,945012234215755776,2.0
885661050,945012234215755776,2.0
711287276479754241,23903580,2.0
2918212191,23903580,2.0
920122212,23903580,2.0
183673918,23903580,2.0
521996289,23903580,2.0
859315448,23903580,2.0
15975316,23903580,2.0
716842239813558272,23903580,2.0
2228878592,1162841025846677504,2.0
1145899973139034112,2964839109,2.0
2155027064,1170523367616720896,2.0
2964839109,1170523367616720896,2.0
1148461061999194112,521996289,2.0
25073877,16315143,2.0
3141672447,757272075484565504,2.0
216776631,757272075484565504,2.0
3141672447,521996289,2.0
833839440,757272075484565504,2.0
16625082,757272075484565504,2.0
23903580,757272075484565504,2.0
18108585,1000075108491382784,2.0
76751473,1166042641064243200,2.0
21545041,11134252,2.0
3530404094,733063923620945920,2.0
729676086632656900,733063923620945920,2.0
3085494124,733063923620945920,2.0
940430173517811714,733063923620945920,2.0
26487169,733063923620945920,2.0
17685258,733063923620945920,2.0
45676731,733063923620945920,2.0
4270724112,37110994,2.0
547155318,260759782,2.0
23903580,1091145234279481347,2.0
216776631,715620316228292611,2.0
945012234215755776,715620316228292611,2.0
762390432437399556,18247062,2.0
3141672447,49128933,2.0
216776631,49128933,2.0
23903580,49128933,2.0
471677441,722171848201383937,2.0
1009577803304656896,722171848201383937,2.0
715617989656051712,722171848201383937,2.0
1493248418,1143571304404148224,2.0
236487888,27282113,2.0
18320938,786179658,2.0
471677441,2721049359,2.0
797127998164107264,2721049359,2.0
212391284,2721049359,2.0
492854622,14731096,2.0
4270724112,14731096,2.0
2228878592,875257637016924160,2.0
20104539,875257637016924160,2.0
236487888,27493883,2.0
18247062,784744998734532608,2.0
793658020743876608,562498029,2.0
