user_id,degree,community_id,weighted_degree,pagerank
25073877,52,0,158.0,0.000526072741118353
964658316021587970,11,0,30.0,0.0008908049564750314
816736590412337158,4,0,16.0,0.0006527818885866397
282098746,15,1,33.0,0.0016104606454987157
7744592,8,1,19.0,0.0017653363321530101
236487888,20,1,53.0,0.000526072741118353
631816995,17,1,32.0,0.0009153988555078835
785287888833548289,17,13,32.0,0.0007762603430646986
818446043629101056,16,13,47.0,0.0032118820985592095
1083467443647979521,15,0,43.0,0.0016292117404506773
1505915954,18,0,60.0,0.0022416190968420264
992870137240764417,4,0,15.0,0.000889707962282392
2353605901,7,0,17.0,0.000526072741118353
4872993094,17,0,37.0,0.002378535961358684
2771588954,5,3,15.0,0.0009917717681086353
29270341,5,3,16.0,0.0025236157962026584
11134252,10,0,27.0,0.003018222595223821
2228878592,18,4,43.0,0.000526072741118353
1131542859902083072,3,4,10.0,0.000832957680600188
1196133331433394177,7,0,14.0,0.001309239326345214
259001548,10,0,20.0,0.0005317350678283805
2865907814,28,5,42.0,0.0005326510324432379
326098537,17,5,27.0,0.0006545765502775985
967797299391983616,16,13,27.0,0.0007892180978110806
729676086632656900,7,0,21.0,0.0045819180798580585
2540607781,5,6,11.0,0.000760648586005085
939091,88,6,141.0,0.011783327519908711
1073047860260814848,21,13,40.0,0.000526072741118353
839132575310430208,30,13,54.0,0.0025571872096389263
330553026,14,6,20.0,0.0007090111322028438
59862199,9,6,14.0,0.0019283356679483433
797127998164107264,4,13,14.0,0.0011183224037014943
34860936,20,13,55.0,0.007631706287151474
857472736725155844,13,13,37.0,0.0010788901959352633
2300454984,14,13,22.0,0.001564178178021514
900894056728940545,10,13,20.0,0.0006725940772445644
1172545640360022019,5,13,12.0,0.0010517326869923676
878980172342579200,5,13,11.0,0.0005799833114758792
1110304448868433920,7,13,19.0,0.0010092373397587822
936858992,2,0,7.0,0.0005681781660625422
3885806474,26,13,40.0,0.0014466261497542486
822215673812119553,7,0,11.0,0.002114143490617969
3353061012,7,0,21.0,0.0021035654758290103
849448663546040320,11,6,16.0,0.0007166870468599395
1086976130819809280,17,1,23.0,0.0006821441119087936
1434240264,17,6,23.0,0.0010263254873211882
1172589774235938816,4,4,8.0,0.000578087137640698
800570658929262592,23,6,34.0,0.000629659557504559
129264927,14,6,18.0,0.0012609737746680514
1000075108491382784,22,13,34.0,0.0018187119952123413
779742611628175360,6,13,13.0,0.000526072741118353
24970656,18,13,32.0,0.0006193321496667189
919667724535648262,3,13,6.0,0.0008658764578870638
817825066993860608,10,13,14.0,0.00151030445418447
967027984426242053,52,6,75.0,0.000526072741118353
357232722,14,6,19.0,0.0009023909509465551
1044296977859538944,3,3,7.0,0.0008070310882939595
1382330306,15,13,22.0,0.0017076069964339136
830886553123700736,2,13,8.0,0.000606887844030786
65497475,27,13,50.0,0.0028469657281145343
216776631,42,7,64.0,0.0008581917846018127
947964830358622209,3,7,6.0,0.000573131754086454
21563711,1,4,4.0,0.000567684258336229
1148756502934540289,4,7,7.0,0.0009947030790920352
3827654235,29,13,41.0,0.001327614768516183
22203756,4,0,8.0,0.001881366996371861
357606935,49,5,68.0,0.000526072741118353
437171587,19,5,22.0,0.0005873962625233381
954845161309253632,6,0,14.0,0.0008118166897059186
22307579,24,13,36.0,0.0013077816588289064
742736402102652929,17,1,21.0,0.0015497700916560098
752037810,16,6,19.0,0.0008208461178964568
2501984838,3,1,6.0,0.0009658800294043075
707253890299744256,16,0,26.0,0.0007582281362294775
41634520,3,0,7.0,0.0009497443523159513
962320061036933120,13,6,16.0,0.0011127595697435783
25202268,7,0,15.0,0.0021253812875192016
325164172,16,13,29.0,0.0005941052840963369
2500055300,10,4,16.0,0.0009040019496899115
1070785811396919297,12,0,18.0,0.0016372877040591466
134971995,15,9,20.0,0.001042474694894095
17919393,1,9,4.0,0.0007624159495575262
931286316,3,0,10.0,0.0010648623128020835
4751330773,19,5,22.0,0.001071246581822893
45592950,11,13,27.0,0.0015019585553663975
52416576,11,6,16.0,0.003469148668001533
774699551764525056,9,0,17.0,0.0016159428109841286
15731757,4,13,9.0,0.0010839200788275464
786179658,11,13,15.0,0.0006962313636587369
2323448533,6,1,10.0,0.0011742241693738153
754455561417089024,17,6,24.0,0.002931242587077126
20640982,32,6,40.0,0.0006378305174841263
17204460,7,6,9.0,0.0010077060083438752
895332348270661632,22,1,30.0,0.0010044867536839449
820352025271468032,15,6,18.0,0.0009450253591817325
63514682,2,6,4.0,0.0008690495697330648
3017400805,13,6,17.0,0.0008737268132019986
