retweeted_user_id,retweeted_user_location,Count,state
10967,"Tuscumbia, AL",28,Alabama
67523,Alabama,7,Alabama
496723,"Birmingham, AL",5,Alabama
639473,"Birmingham, AL, USA",2,Alabama
686903,"Thomasville, AL",3,Alabama
687173,"Rolling Woods, Alabama",12,Alabama
687403,Alabama,5,Alabama
697293,"Montgomery, AL",6,Alabama
715533,"Montevallo, AL",1,Alabama
755695,"Alabama, USA",11,Alabama
766024,"Birmingham, Alabama",1,Alabama
796728,"Montgomery, Alabama, USA",1,Alabama
816707,"Madison, Alabama",1,Alabama
864911,"Huntsville, AL",1,Alabama
934071,"Huntsville, AL, USA",4,Alabama
1792571,"Alabama, USA",24,Alabama
1942981,"Titusville, AL",5,Alabama
1944241,"Maceió, AL, Brasil",1,Alabama
2018551,"Huntsville, AL",3,Alabama
2060471,AL,2,Alabama
2061741,Alabama,4,Alabama
2310651,"Huntsville, AL",21,Alabama
2583371,Alabama,60,Alabama
2713291,"Tuscaloosa, AL",1,Alabama
2830231,"Huntsville, AL",1,Alabama
2880621,"McCalla, Alabama",35,Alabama
2900521,"Huntsville, AL",2,Alabama
3041201,Sweet Home Alabama,4,Alabama
3272441,"Scarce Grease, Alabama",12,Alabama
3279031,"Huntsville, AL",1,Alabama
3588011,"Birmingham, AL",3,Alabama
5138561,"Huntsville, AL",1,Alabama
5371142,"Huntsville, AL",12,Alabama
5483992,"HSV, AL",55,Alabama
5613092,"Huntsville, AL",3,Alabama
5800392,"Birmingham, Alabama",4,Alabama
5812502,"Huntsville, AL",5,Alabama
5842172,"Fairhope, AL",1,Alabama
6047652,"Homewood, AL",2,Alabama
6090642,Alabama,2,Alabama
6204132,Alabama,6,Alabama
6264502,"Jacksonville, Alabama",2,Alabama
6287612,"Alabama, Birmingham",1,Alabama
6459442,"Alabama, USA",20,Alabama
6610632,"Birmingham, AL",2,Alabama
6769572,Alabama (D),73,Alabama
6827702,"Birmingham, AL",6,Alabama
7007252,Alabama,164,Alabama
7021942,"ANNISTON, AL",2,Alabama
7040222,"Decatur, AL",20,Alabama
7079162,"Huntsville, AL",7,Alabama
7088762,Alabama,2840,Alabama
7112862,"Birmingham, AL",1,Alabama
7158102,"Harvest, AL",3,Alabama
7174922,"Alabama, USA",2,Alabama
7187502,"Birmingham, AL",2,Alabama
7258672,"Huntsville, AL",1,Alabama
7377712,"Montgomery, AL",36,Alabama
7510972,Alabama,1,Alabama
7535342,Birmingham Alabama,4,Alabama
7545872,Alabama,3,Alabama
7559962,Alabama,3,Alabama
7596822,"Decatur, AL",1,Alabama
7660362,"Huntsville, AL",2,Alabama
7700662,"Huntsville, AL",7,Alabama
7739112,"Pelham, AL",3,Alabama
7802942,"Huntsville, AL",1,Alabama
7857492,"Opelika, AL",2,Alabama
7920212,"Dothan, AL",1145,Alabama
8014632,The Great State of Alabama! 🙄,754,Alabama
8144172,"Birmingham, AL",172,Alabama
8146392,"Alabama, USA",10,Alabama
8253382,"Alabama, USA",22,Alabama
8435042,"Tuscaloosa, AL",1,Alabama
8520252,"Birmingham, AL",23,Alabama
8906922,"Dothan, Alabama",64,Alabama
8977742,"Huntsville, AL",4,Alabama
9002982,mobile,14,Alabama
9179862,"Birmingham, AL",1,Alabama
9195792,"Mobile, AL",4,Alabama
9218762,"Alabama, USA",229,Alabama
9254962,"Montgomery, Alabama",1,Alabama
9470032,"Mobile, AL",1,Alabama
9488812,"Birmingham, AL",1,Alabama
9526412,"Mobile, AL",5,Alabama
9527122,"New Market, Alabama  USA",6,Alabama
9577702,Alabama,1,Alabama
9634362,"Huntsville, AL",8,Alabama
9865162,Alabama,5,Alabama
9899992,"Huntsville, AL",61,Alabama
9939212,"Birmingham, AL",1,Alabama
10457172,"Alabama, USA",1,Alabama
10475672,"Huntsville, AL",1,Alabama
10477302,"Birmingham, AL",75,Alabama
10479652,"Birmingham, AL",3,Alabama
10760362,"Montgomery, AL",2,Alabama
10846012,"Huntsville, AL",1,Alabama
11149432,"Andalusia, AL",14,Alabama
11187602,"Birmingham, Alabama",39,Alabama
11204052,"Athens, AL",1,Alabama
11261982,"Florence, AL",16,Alabama
11335532,"Fairhope, AL",4,Alabama
11425612,"Gadsden, Alabama",19,Alabama
11635932,"Gulf Shores, AL",259,Alabama
11733682,"Birmingham, Alabama",29,Alabama
11736562,"Birmingham, Alabama",3,Alabama
11848112,Whale's Vagina,2,Alabama
11899732,Huntsville AL,4,Alabama
11952532,Alabama,1,Alabama
12005052,"Birmingham, AL",1,Alabama
12039942,"Alabama, USA",9,Alabama
12266402,"Birmingham, AL",8,Alabama
12273032,"Auburn, AL",392,Alabama
12284322," ALABAMA, USA",4,Alabama
12364782,"Opelika, AL.",555,Alabama
12464312,Hartselle AL,1,Alabama
12538042,"Beauregard, Alabama",1,Alabama
12544652,"Alabama, USA",21,Alabama
12554032,"Huntsville, AL",1,Alabama
12559382,"Attalla, AL",2,Alabama
12647612,"Birmingham, AL",1,Alabama
12689462,Alabama,1,Alabama
12751552,"Auburn, AL",1,Alabama
12804862,"Auburn, Alabama",38,Alabama
12918132,"Prattville, AL",419,Alabama
12962852,"Tuscaloosa, Alabama. Y'all.",1,Alabama
12980712,Sweet Home Alabama,1,Alabama
13110812,"Birmingham, AL",71,Alabama
13111822,"Birmingham, AL",27,Alabama
13192912,"Mobile, AL",6,Alabama
13217042,"Huntsville, AL",4,Alabama
13251382,"Birmingham, AL",54,Alabama
13255502,"Bham, AL",2,Alabama
13265132,"Birmingham, Alabama",301,Alabama
13453512,"Mobile, AL",5,Alabama
13591572,"Birmingham, AL",7,Alabama
13682662,"Huntsville, AL",63,Alabama
13953642,"Tuscaloosa, Alabama",430,Alabama
14015362,"Baldwin Co, Alabama or Houston",26,Alabama
14042802,Alabama,6,Alabama
14046945,"Birmingham, AL",1,Alabama
14063617,Alabama,81,Alabama
14069957,"Tuscaloosa, AL, United States",2,Alabama
14073740,"Madison, Alabama",6,Alabama
14081019,"Huntsville, AL",2,Alabama
14086913,Alabama to California,36,Alabama
14089132,"Sylacauga, AL",24,Alabama
14089439,"Birmingham, AL",2,Alabama
14095482,"Birmingham, AL ",5,Alabama
14095986,"Jacksonville, AL",36,Alabama
14096305,"Mobile, AL",1,Alabama
14117269,"Birmingham, AL",4,Alabama
14123608,"Auburn, Alabama",1,Alabama
14136650,"Birmingham, AL",6,Alabama
14138027,"Alabama, USA",3,Alabama
14139863,AL,3,Alabama
14143638,"Birmingham, AL",3,Alabama
14165038,"Tuscaloosa, AL USA",8,Alabama
14166820,"Auburn, AL",9,Alabama
14181000,"Birmingham, Alabama, USA",1,Alabama
14184328,"Mobile, AL",33,Alabama
14190979,"Birmingham, AL",105,Alabama
14193286,"Auburn, AL",4,Alabama
14198168,"Birmingham, AL",16,Alabama
14200534,"Huntsville, AL",53,Alabama
14204848,"Fairhope, AL",134,Alabama
14207287,"Montgomery, AL",1,Alabama
14208366,"Birmingham, Alabama",1,Alabama
14231893,Alabama,7,Alabama
14232126,"Birmingham, AL",21,Alabama
14240176,"Alabama, USA",1,Alabama
14254271,Alabama,3,Alabama
14263735,"Alabama, USA",1,Alabama
14266856,"Birmingham, AL",2,Alabama
14285346,Alabama,3,Alabama
14286137,"Huntsville, AL",2,Alabama
14292929,"Mobile, Al",1,Alabama
14294254,"Jasper, AL",9,Alabama
14304104,"Birmingham, AL",25,Alabama
14311430,"Fairhope, AL",4,Alabama
14317526,Alabama,1,Alabama
14331839,Clanton Alabama,4,Alabama
14335404,"Huntsville, AL",39,Alabama
14344468,"Huntsville, AL",4,Alabama
14360985,"Tuscaloosa, AL",4,Alabama
14369429,Ft. Lauderdale,2,Alabama
14372694,"Troy, AL",1,Alabama
14385527,"Birmingham, AL",4,Alabama
14391380,"Birmingham, AL",1,Alabama
14396204,Funäsdalen,1,Alabama
14397354,"Huntsville, Al",8,Alabama
14399096,"Huntsville, AL",7,Alabama
14399883,"Huntsville, AL",35,Alabama
14403547,"Huntsville, AL",2,Alabama
14403695,"Mobile, AL ",68,Alabama
