retweeted_user_id,retweeted_user_location,Count,state
2340,"Anchorage, AK",3,Alaska
12203,"Soldotna, Alaska",3,Alaska
721803,Alaska,31,Alaska
741003,"Juneau, AK",1,Alaska
754497,"Alaska, USA",1,Alaska
756149,"North Pole, AK",1,Alaska
783837,Alaska and Northern California,223,Alaska
808432,"Fairbanks, Alaska, USA",22,Alaska
1253451,"Alaska, USA",4,Alaska
2031811,"Anchorage, AK",1,Alaska
2116561,"Palmer, AK",7,Alaska
2246991,"Anchorage,  AK",1,Alaska
2729901,"Juneau, Alaska",1,Alaska
2936231,"Homer, Alaska",9,Alaska
3111481,"Anchorage, AK",1,Alaska
5297042,"Anchorage, AK",1,Alaska
6141412,Alaska,203,Alaska
6619612,"Cordova, AK",3,Alaska
7536862,"Juneau, AK",4,Alaska
7551642,"Alaska, USA",3,Alaska
7663912,"Fairbanks, Alaska",12,Alaska
7747972,"Anchorage, AK",2,Alaska
7817902,"Alaska, USA",1,Alaska
7817982,"Alaska, USA",1,Alaska
9745402,"Anchorage, Alaska",1,Alaska
10283182,Alaska,1,Alaska
10865842,Salcha Alaska,93,Alaska
11452562,"Barrow, AK and Belleville, PA",7,Alaska
11652472,"Fairbanks, AK",44,Alaska
11719642,ALASKA!,91,Alaska
11899222,"Wasilla, AK",8,Alaska
12135762,"Anchorage, AK",3,Alaska
12446802,"Juneau, AK",1,Alaska
12729502,"Fairbanks, Alaska",1,Alaska
12755092,"Anchorage, AK",1,Alaska
12761452,"Anchorage, AK",1,Alaska
13031542,🏔Alaska 🏝SoCal 🐐Georgia,74,Alaska
13133302,"Anchorage, AK",138,Alaska
13183672,Alaska,1,Alaska
13847502,"Juneau, AK",6,Alaska
13860012,"Anchorage, AK",28,Alaska
14057737,"Anchorage, Alaska",1166,Alaska
14065981,"Anchorage, Alaska",50,Alaska
14077913,"Wasilla, AK",7,Alaska
14130459,alaska,7,Alaska
14156810,Metlakatla Alaska,5,Alaska
14242073,"Anchorage, Alaska",4,Alaska
14252118,"Alaska, USA",5,Alaska
14263490,"Anchorage, AK",3,Alaska
14287214,"Dena’ina land, AK",55,Alaska
14287447,"Anchorage, AK",879,Alaska
14289447,"Fairbanks, Alaska",4,Alaska
14289916,"North Pole, AK",8,Alaska
14299405,Alaska,1,Alaska
14306554,Alaska,1,Alaska
14336679,"dena'ina ełnena, alaska",16,Alaska
14354562,"Anchorage, Alaska",1,Alaska
14355236,Alaska,6,Alaska
14380106,"Anchorage, AK",23,Alaska
14392624,"Anchorage, AK",2,Alaska
14402288,Alaska | Germany,9,Alaska
14409516,"Juneau, AK",3,Alaska
14414761,Alaska,69,Alaska
14420899,Alaska,14,Alaska
14423625,"Anchorage, AK",1,Alaska
14440227,"Alaska, USA",295,Alaska
14449305,"Anchorage, AK",2,Alaska
14466655,"Anchorage, AK",43,Alaska
14552083,"Anchorage, AK",13,Alaska
14593056,"Fairbanks, AK",1,Alaska
14595640,Fairbanks Alaska,2,Alaska
14707683,"Anchorage, Alaska",1,Alaska
14707805,"Anchorage, Alaska",1,Alaska
14747893,Alaska,34,Alaska
14826089,"Alaska, USA",14,Alaska
14833352,Alaska,62,Alaska
14849170,"Soldotna, AK",9,Alaska
14899363,"Dena’ina Elena, Anchorage, AK",9,Alaska
14903913,"Ketchikan, Alaska",1,Alaska
14943586,Alaska,4,Alaska
14946264,"Palmer, AK",5,Alaska
14948643,"Aleknagik, Alaska",11,Alaska
15001799,"Palmer, AK",1,Alaska
15024965,Alaska ✈ Portland Metro Area,11,Alaska
15026000,"Pawnee, IN via Cicely, AK",1809,Alaska
15029298,"Fairbanks, AK",2,Alaska
15080098,Alaska,2,Alaska
15100670,"Craig, Alaska",2,Alaska
15118190,Alaska + Minneapolis + Atlanta,106,Alaska
15137778,"Anchorage, Alaska",10,Alaska
15182170,"Fairbanks, AK",2,Alaska
15216023,"Alaska, USA",4,Alaska
15226304,"Alaska, USA",50,Alaska
15329136,"North Pole, AK",15,Alaska
15356383,Alaska,1,Alaska
15424449,alaska,6,Alaska
15428783,"Alaska, USA",10,Alaska
15436909,"Fairbanks, AK",13,Alaska
15527756,"Denaʼina land - Anchorage, AK",112,Alaska
15584433,Alaska,9,Alaska
15594818,"Homer,AK~Vail,CO",14,Alaska
15644510,Alaska,71,Alaska
15654574,"Vancouver, BC + TX, AK, PA, AB",3,Alaska
15661321,"Anchorage, AK, United States",20,Alaska
15696616,"Anchorage, AK",1,Alaska
15715573,"Anchorage, AK",37,Alaska
15718350,"Anchorage, Alaska",3,Alaska
15719765,"Anchorage, Alaska",1,Alaska
15733133,Alaska,2,Alaska
15737329,"Juneau, AK",101,Alaska
15756157,"kotzebue, alaska",61,Alaska
15781109,"Anchorage, Alaska",1,Alaska
15803187,"Alaska, USA",1,Alaska
15827298,"Anchorage, Alaska",1,Alaska
15828025,"Anchorage, Alaska",76,Alaska
15851057,Alaska,1,Alaska
15859878,"Alaska and Nevada, USA",1,Alaska
15889293,"Dena'ina Land, Alaska",7,Alaska
15902533,Alaska,3,Alaska
15923726,Homer Alaska,1,Alaska
15924782,Alaska SF NYC,4,Alaska
15939024,"Juneau, AK",1,Alaska
15939915,"Fairbanks, AK",1,Alaska
15941381,Alaska,1,Alaska
15975245,"Anchorage, AK",7,Alaska
15985453,"Anchorage, AK",1,Alaska
15987175,"Fairbanks, Alaska",8,Alaska
16005791,Alaska,1,Alaska
16035035,"Anchorage, AK",153,Alaska
16039896,"Southcentral Alaska, 40 years",30,Alaska
16041882,"Central Fla, North Pole, AK",583,Alaska
16070086,Alaska,208,Alaska
16078876,"Anchorage, Alaska",2,Alaska
16100656,Alaska,104,Alaska
16219150,"Anchorage, Alaska",133,Alaska
16320315,Alaska,2,Alaska
16325144,"Nikiski, Alaska",4,Alaska
16333230,"Alaska, USA",36,Alaska
