retweeted_user_id,retweeted_user_location,Count,state
531,"Arizona, Chicago, Fl, NYC..",88,Arizona
5827,"Tucson, AZ",15,Arizona
7819,"Phoenix, AZ",2,Arizona
35113,"Tucson, AZ, USA",202,Arizona
39933,"Tucson, Arizona",9,Arizona
82793,"Glendale, AZ",9,Arizona
166773,"Phoenix, AZ",91,Arizona
338633,Pima County,1,Arizona
524463,"Phoenix, AZ",1,Arizona
605923,"Phoenix, AZ",3,Arizona
609043,"Tucson, AZ",10,Arizona
627213,"Tucson, AZ",204,Arizona
631803,Arizona,5,Arizona
641753,"Arizona, Delaware, New York",3,Arizona
651893,"Phoenix, AZ, USA",1,Arizona
655823,"Tucson, AZ",35,Arizona
686873,"Phoenix, AZ",1,Arizona
698223,"Phoenix, AZ/Washington, DC",2161,Arizona
722623,"Tucson, Arizona",35,Arizona
755697,AZ,12,Arizona
756438,"Gilbert, AZ",3,Arizona
757762,"Phoenix, AZ",5,Arizona
786087,"Phoenix, AZ",1,Arizona
789265,"Phoenix, AZ",6,Arizona
790805,"Tucson, AZ",4,Arizona
804681,"Scottsdale, AZ",15,Arizona
804683,"Phoenix, AZ",3,Arizona
806200,"Scottsdale, AZ",1,Arizona
808067,"Tempe, Az",5,Arizona
808758,Arizona,189,Arizona
808887,"Mesa, AZ",1,Arizona
809649,"Phoenix, Arizona",31,Arizona
811069,"No-Cen. Phoenix, AZ",6,Arizona
815157,"Phoenix, AZ",3,Arizona
815528,"Tempe, AZ",41,Arizona
822437,Phoenix,1,Arizona
823807,"Tucson, AZ",2,Arizona
852861,"Dolan Springs, Arizona",31,Arizona
891261,"Phoenix, AZ, USA",2,Arizona
939761,"Arizona, USA",6,Arizona
940821,"Phoenix, AZ",2,Arizona
1020931,"Phoenix, Arizona",3,Arizona
1023351,Arizona,3,Arizona
1047921,"Arizona, USA",4,Arizona
1110041,"Scottsdale, AZ",12,Arizona
1127951,"Phoenix, AZ",5,Arizona
1138631,"Phoenix, AZ",1,Arizona
1190891,Phoenix,6,Arizona
1196151,"Phoenix, AZ",4,Arizona
1252191,"Phoenix, Arizona",1,Arizona
1372281,"Flagstaff, AZ",1,Arizona
1386731,"Phoenix, AZ",11,Arizona
1437671,Arizona/Ft. Meade,543,Arizona
1441661,"Phoenix, AZ",4,Arizona
1480451,"Chandler, AZ",26,Arizona
1518321,Tucson AZ,6,Arizona
1584321,"Phoenix, Arizona",5,Arizona
1589731,"Phoenix, AZ",2,Arizona
1592161,Phoenix AZ,24,Arizona
1714451,"Phoenix, AZ",5,Arizona
1818241,"Peoria, AZ 85345",14,Arizona
1829971,"Tucson, Arizona",6,Arizona
1836461,"Phoenix, AZ",5,Arizona
1865661,"Phoenix, AZ",8,Arizona
1902021,"Tempe, AZ",68,Arizona
1918981,"Scottsdale, AZ",3,Arizona
1946381,"Tucson, Arizona",44,Arizona
1974271,"Tucson, AZ",122,Arizona
2061341,"Phoenix, Arizona",1,Arizona
2088021,Arizona,2,Arizona
2157571,Arizona,1,Arizona
2213091,"Tucson, AZ",3,Arizona
2239931,"Phoenix, AZ (Hot!)",8,Arizona
2364311,"Phoenix, Arizona",1,Arizona
2537001,"not San Tan Valley,AZ",160,Arizona
2690941,"Cottonwood, AZ",2,Arizona
2724731,"Glendale, AZ",10,Arizona
2770671,"Tucson, Arizona",2,Arizona
2790181,"Phoenix, AZ",100,Arizona
2883541,"Oro Valley, AZ",33,Arizona
3012961,חתול במדבר 🏜 AZ,11,Arizona
3135901,Arizona,24,Arizona
3143901,"Phoenix, AZ",7,Arizona
3392031,"Scottsdale, AZ",5,Arizona
3394061,"Phoenix, AZ",96,Arizona
3593641,"Dewey, Arizona",91,Arizona
3639851,"Scottsdale, AZ",2,Arizona
3731291,"Chandler, AZ",14,Arizona
3952661,"Tucson, Arizona",455,Arizona
3969841,"Mesa, AZ",1,Arizona
4120741,"Mesa, AZ",10,Arizona
4188871,"Phoenix, AZ",340,Arizona
4200481,"Phoenix, AZ",18,Arizona
4299781,"Phoenix, AZ",5,Arizona
4485871,"Phoenix, AZ",3,Arizona
4489971,"El Mirage, AZ",89,Arizona
4559531,"Mesa, Arizona",8,Arizona
4783081,"Tucson, Arizona",10,Arizona
4808581,"Scottsdale, AZ",5,Arizona
4913781,"Phoenix, Arizona",18,Arizona
4961241,"Eloy, Arizona",1,Arizona
4964681,AZ,48,Arizona
4984181,"Tucson, AZ",10,Arizona
5039811,"Mesa, AZ",1,Arizona
5064691,"Gilbert, AZ",1,Arizona
5206861,"Arizona, USA",41,Arizona
5251191,"Tucson, Arizona",1,Arizona
5352062,"Tucson, AZ",1,Arizona
5360772,"tucson, az",43,Arizona
5378812,"Phoenix, AZ, USA",1,Arizona
5404932,"Tucson, AZ",4,Arizona
5415682,Phoenix AZ,48,Arizona
5450162,"Tucson, AZ",6,Arizona
5454852,"Phoenix, AZ",1,Arizona
5469072,"Tucson, AZ",11,Arizona
5483562,"Tempe, Az",88,Arizona
5496922,"Arizona, USA",15,Arizona
5503642,"Phoenix, AZ",4,Arizona
5511652,"Phoenix, AZ",83,Arizona
5535272,Tucson,1,Arizona
5538492,"Tucson, AZ",1,Arizona
5661952,Phoenix,1,Arizona
5676842,"Gilbert, AZ",14,Arizona
5693422,"Goodyear, AZ",23,Arizona
5746962,"Tucson, Arizona, USA",2,Arizona
5763612,"Arizona, USA",2,Arizona
5772212,"Tempe, AZ",2,Arizona
5773912,"Phoenix, AZ",1,Arizona
5818442,"Tempe, AZ",18,Arizona
5871842,"Phoenix, AZ",1,Arizona
5933172,"Phoenix, AZ",2,Arizona
6069262,"Scottsdale, AZ",8,Arizona
6070882,"Phoenix, AZ",5,Arizona
6150222,"Chandler, AZ, US",6,Arizona
6424562,"Scottsdale, AZ",154,Arizona
6456682,Tucson,1,Arizona
6488002,Arizona,5,Arizona
6600612,"Mesa, AZ",1,Arizona
6629072,"Tucson, AZ",3,Arizona
6652922,"Tucson, AZ",69,Arizona
6682542,Arizona,1,Arizona
6683592,"Rio Verde, AZ",37,Arizona
6689652,"Phoenix, Arizona",5,Arizona
6746612,"Yuma, AZ",447,Arizona
6803512,"Phoenix, AZ",4,Arizona
6828382,"Phoenix, AZ",3,Arizona
6927562,"Tucson, AZ",246,Arizona
6985952,"Sanders, AZ",1,Arizona
7000932,"Arizona, USA",42,Arizona
7009662,"Phoenix, AZ",595,Arizona
7010102,"Glendale, AZ",1,Arizona
7015582,"Tucson, AZ",6,Arizona
7090962,"Phoenix, AZ",1,Arizona
7155852,"Scottsdale, AZ",48,Arizona
7156092,"Phoenix, AZ",2,Arizona
7196452,"Phoenix, AZ",1,Arizona
7239482,"Flagstaff, AZ",16,Arizona
7259132,"Arizona, USA",18,Arizona
7268572,"Scottsdale, Arizona",21,Arizona
7272522,Southern Arizona,4,Arizona
7282712,Arizona,18,Arizona
7330692,"Tucson, Arizona",1,Arizona
7373802,Phoenix,4,Arizona
7398322,"Phoenix, AZ",13,Arizona
7430012,"Arizona, USA",1,Arizona
7455152,Phoenix,5,Arizona
7461192,rural AZ borderlands,16,Arizona
7480482,"Phoenix, AZ",14,Arizona
7484172,Phoenix,3,Arizona
7497522,Arizona,13,Arizona
7498132,Phoenix,201,Arizona
7514112,"Tucson, AZ",1,Arizona
7517052,"Phoenix, AZ",73,Arizona
7525552,"Tempe, AZ",25,Arizona
7554862,"Tolleson, AZ",14,Arizona
7571502,"Phoenix, AZ",7,Arizona
7598692,AZ,4,Arizona
7624842,"Phoenix, AZ",4,Arizona
7725722,Arizona,1185,Arizona
7741672,"once/wants/wunce CaveCreek,AZ",53,Arizona
7769712,"Chandler, AZ",3,Arizona
7802142,"Phoenix, AZ",13,Arizona
7811352,"Phoenix, AZ",11,Arizona
7824452,Phx. AZ.,3937,Arizona
7872092,"Phoenix, AZ",18,Arizona
7929352,"Phoenix, AZ",10,Arizona
7939662,"Chandler, AZ",2,Arizona
7940752,"Scottsdale, AZ, USA",1,Arizona
7960292,"Marana, AZ USA",3,Arizona
7971732,"Arizona, USA",339,Arizona
7975132,"Tucson, AZ",27,Arizona
7978862,Arizona,3,Arizona
