retweeted_user_id,retweeted_user_location,Count,state
633,"Boulder, CO",3,Colorado
747,"Boulder, CO",29,Colorado
2435,"Denver, CO",1,Colorado
2806,"Colorado, USA",8,Colorado
5001,"Boulder, CO",4,Colorado
5277,Bitcoin Park,7,Colorado
5504,"Denver, CO",8,Colorado
8273,Denver,9,Colorado
8892,"Boulder, CO",5,Colorado
10367,Boulder,5,Colorado
10399,"Fort Collins, CO",12,Colorado
10502,"Golden, CO",1,Colorado
10938,"Denver, CO",78,Colorado
11684,"Denver, CO",12,Colorado
11703,"Boulder, CO",3,Colorado
12707,"Crested Butte, CO",1,Colorado
13304,"Denver, CO",5,Colorado
19063,"Boulder, CO",10,Colorado
32473,"Colorado Springs, CO",28,Colorado
35533,"Denver, CO",3,Colorado
41843,CO,178,Colorado
65963,"Denver, CO",13,Colorado
69743,"Boulder, CO",2,Colorado
431533,Colorado,1,Colorado
610823,Colorado,2,Colorado
618243,"Denver, CO",7,Colorado
622303,"Boulder, CO",7,Colorado
627493,"Boulder, CO",4,Colorado
638473,"Denver, Colorado",53,Colorado
643223,"Denver, CO",2,Colorado
650163,"Colorado, USA",3,Colorado
659223,"Denver, CO",7,Colorado
669733,"Boulder, CO",185,Colorado
701353,"Denver, Colorado",2,Colorado
703893,Denver,1,Colorado
716523,Colorado,4,Colorado
729363,"Denver, CO",1,Colorado
755486,"Fort Collins, CO",3,Colorado
755564,"Colorado, U.S.A.",7,Colorado
760844,Colorado,1,Colorado
766150,"Denver, CO",529,Colorado
766457,Colorado,5,Colorado
775215,"Denver, CO",1,Colorado
776031,"Arvada, CO",1,Colorado
780699,"Boulder, CO",1,Colorado
782501,"Colorado, USA",1,Colorado
796691,"Denver, CO",18,Colorado
798445,"Colorado, USA",1,Colorado
801157,"Denver, CO",68,Colorado
801872,"Colorado, USA",1,Colorado
802225,"Denver, CO",66,Colorado
808486,"Denver, CO",21,Colorado
811721,"Denver, CO",15,Colorado
812825,"Boulder, Colorado",10,Colorado
815171,"Denver, CO",35,Colorado
817209,"Boulder, CO",1,Colorado
821110,Colorado,32,Colorado
821142,Colorado,7,Colorado
835901,"Longmont, CO",2,Colorado
840751,Colorado,1,Colorado
841791,"Boulder, CO",35,Colorado
864701,"Denver, CO",1,Colorado
882001,"Colorado Springs, CO",1,Colorado
883591,boulder,5,Colorado
912581,Denver,95,Colorado
913861,"Denver, CO",3,Colorado
942931,"Boulder, CO",1,Colorado
944001,"Denver, CO",1,Colorado
954001,"Boulder, CO",6,Colorado
966991,Colorado,4,Colorado
983941,"Boulder, CO",27,Colorado
1024601,"Colorado, USA",7,Colorado
1034971,"Colorado, USA",22,Colorado
1056411,"Westminster, CO",5,Colorado
1067421,"Parker, CO",53,Colorado
1133971,"Denver, CO",2,Colorado
1190611,"Westminster, CO",6,Colorado
1193831,"Denver, Colorado",12,Colorado
1241871,Denver,16,Colorado
1243351,"Lafayette, CO",5,Colorado
1286821,"Denver, Colorado, USA",755,Colorado
1313991,"Denver, CO",8,Colorado
1325181,Denver,764,Colorado
1336361,"Denver, CO",19,Colorado
1346571,"Denver, CO",1,Colorado
1424001,"Boulder, Colorado",2,Colorado
1431621,"Denver, CO",128,Colorado
1439131,"Colorado, USA",112,Colorado
1460971,"Pueblo, CO",101,Colorado
1471341,"Ken Caryl, CO",2,Colorado
1476171,Colorado,2,Colorado
1504481,Denver,3,Colorado
1520501,"Denver, CO",244,Colorado
1528951,"Denver, CO",1,Colorado
1552781,"Denver, CO",1,Colorado
1561281,"Golden, CO",155,Colorado
1586421,"Denver, CO",88,Colorado
1591381,"Colorado, USA",17,Colorado
1616081,"Castle Rock, CO",1,Colorado
1660111,"Denver, CO",41,Colorado
1680681,"Denver, CO",219,Colorado
1684801,"Colorado Springs, Colorado",12,Colorado
1739351,The Enchanted Mesa,7,Colorado
1806671,"Denver, CO",28,Colorado
1811691,"Denver, CO",1,Colorado
1891271,"Colorado, USA",18,Colorado
1955371,Colorado,3,Colorado
1965231,"Denver, Colorado",89,Colorado
2043141,Colorado,1,Colorado
2118841,"Denver, Colorado",4,Colorado
2198761,"Denver, CO",22,Colorado
2370701,"Longmont, CO",2,Colorado
2386901,Colorado,18,Colorado
2416811,"Denver, CO",2,Colorado
2531041,"Colorado, USA",6,Colorado
2561331,"Denver, CO",17,Colorado
2598911,"Boulder, Colorado",31,Colorado
2609021,"Colorado Springs, CO",5,Colorado
2687931,"Westernslope, CO",1,Colorado
2772381,"Boulder, CO",4,Colorado
2773541,Colorado and Texas,1,Colorado
2783151,"boulder, co",12,Colorado
2798141,"Durango, CO",8,Colorado
2853781,"Denver, CO",3,Colorado
2884161,"Boulder, CO",520,Colorado
3055501,"Denver, CO.  USA.",1,Colorado
3110661,"Denver, CO",3,Colorado
3185531,"Highlands Ranch, CO",1,Colorado
3233171,"Broomfield, CO",2,Colorado
3296271,"Denver, CO",2,Colorado
3342131,"Denver, CO",1,Colorado
3344471,Colorado,1,Colorado
3579811,"Denver, CO",3,Colorado
3652561,"Denver, CO",21,Colorado
3719621,"Greeley, CO",1,Colorado
3738811,Denver,4,Colorado
3754891,"Boulder, CO",2,Colorado
3789311,"Denver, CO",1,Colorado
4116131,"Denver, CO",2,Colorado
4131071,"Denver, CO",66,Colorado
4132841,"Lafayette, CO",4976,Colorado
4135031,"Denver, CO",7,Colorado
4260681,"Denver, CO",28,Colorado
4299621,Colorado 🏔🌲☀️😎,86,Colorado
4303181,"Denver, CO",40,Colorado
4458541,"Denver, CO, USA",8,Colorado
4513631,"Colorado, USA",7,Colorado
4544351,"Colorado Springs, CO",1,Colorado
4576911,"Boulder, CO",125,Colorado
4620451,Boulder,82,Colorado
4622521,"Boulder, Colorado",10,Colorado
4664501,"Boulder, CO",1,Colorado
4783661,NANDEMO BENTO,1,Colorado
4895001,"Denver, CO",43,Colorado
5166091,"Boulder, CO",3,Colorado
5245241,Colorado,1,Colorado
5248071,Denver,84,Colorado
5280931,Denver,1,Colorado
5287272,"Highlands Ranch, CO",2,Colorado
5315532,"denver, colorado",2,Colorado
5366562,Colorado,12,Colorado
5371532,"Trinidad, CO",4,Colorado
5386872,"Denver, CO",2,Colorado
5389812,"Boulder, CO",35,Colorado
5399142,"Boulder, Colorado",2,Colorado
5413712,"Denver, CO",1,Colorado
5447142,"Monument, Colorado",1,Colorado
5469572,Colorado,4,Colorado
5469862,"Boulder, CO",3015,Colorado
5483462,"Boulder, Colorado",127,Colorado
5507622,Colorado,271,Colorado
5508362,"Boulder, CO",2,Colorado
5515402,Colorado,287,Colorado
5569742,"Boulder, CO",1,Colorado
5663052,"Colorado Springs, CO",1,Colorado
5666252,"Ken Caryl, Colorado",1,Colorado
5669402,Denver,1,Colorado
5673752,"littleton, colorado",1,Colorado
5693882,"Boulder, CO",1,Colorado
5694262,"Boulder, CO",8,Colorado
5719712,Colorado,8,Colorado
5743642,"Denver, CO",3,Colorado
5761752,"Colorado, USA",7,Colorado
5778702,"Colorado, USA",3961,Colorado
5815992,"Denver, CO",1,Colorado
5818182,"Denver, CO",8,Colorado
5842742,"CO, sometimes",3,Colorado
5873912,"Denver, CO",79,Colorado
5873942,"Colorado, USA",98,Colorado
5905392,colorado,1,Colorado
5911892,"Denver, CO",8,Colorado
5919342,"Denver, Colorado",3,Colorado
5928832,"Colorado, USA",6,Colorado
5931692,Denver CO,1,Colorado
5946672,"Denver, Colorado",3,Colorado
5948912,"Aurora, CO",39,Colorado
5972162,"Boulder,Colorado.USA.",197,Colorado
5973972,Colorado,6,Colorado
6022692,"Colorado, USA",1,Colorado
6042532,"Denver, CO",83,Colorado
6042622,Somewhere in Colorado,1,Colorado
6073192,Denver CO,3,Colorado
6078342,Colorado,50,Colorado
6078882,"Denver, CO",3,Colorado
6083342,"Denver, CO",139,Colorado
6115702,"Colorado Springs, Colorado, US",1,Colorado
6124482,"Boulder, CO",25,Colorado
6137622,"Parker, CO",26,Colorado
6148302,Colorado/New York/R.D. ,5,Colorado
6205072,"Colorado, USA",1,Colorado
6211422,Colorado,110,Colorado
6221802,"Colorado Springs, CO",2,Colorado
6229042,"Denver, CO",5,Colorado
6262152,"denver, CO",1039,Colorado
6264412,"Boulder, CO",1,Colorado
6268122,"Denver, CO",48,Colorado
6298542,"Denver, CO",1,Colorado
6319612,"Denver, CO",1,Colorado
6331642,"Denver, CO",1,Colorado
6342832,"Boulder, Colorado, USA",1,Colorado
6352772,Denver,16,Colorado
6423302,"Fort Collins, CO",2,Colorado
6424122,"Denver, CO",1,Colorado
6428492,"Lakewood, CO",2,Colorado
6448742,"Colorado, USA",2,Colorado
6476872,"Boulder, CO",2,Colorado
6552952,"Denver, CO",3,Colorado
6581522,"Boulder, CO",1,Colorado
6606072,Denver,30,Colorado
6628342,"Boulder, Colorado",24,Colorado
6651942,"Denver, Colorado",8,Colorado
6652512,"Denver, CO",61,Colorado
6656232,"Aspen, Colorado",86,Colorado
6698732,"Littleton, CO",3,Colorado
6700062,"Colorado Springs, CO, USA",34,Colorado
6710702,"Denver, CO",1,Colorado
6720242,"Colorado, USA",1,Colorado
6723912,"Denver, CO, USA",1,Colorado
6729252,"Denver, CO",4,Colorado
6761862,"Denver, Colorado",70,Colorado
6775812,"Denver, CO",2,Colorado
6777502,"Lakewood, CO",3,Colorado
6800492,Denver,1,Colorado
6813582,"Denver, CO",11,Colorado
6872872,"Denver, CO",5,Colorado
6874102,"Denver, Colorado, USA",2,Colorado
6894212,"Boulder, Colorado",5,Colorado
6944742,"Denver, CO",7,Colorado
6998362,"Summit County, Colorado",26,Colorado
7010802,"Denver, CO",4,Colorado
7054602,"Arvada, CO",1,Colorado
7066682,"Longmont, Colorado",1,Colorado
7077582,"Louisville, CO",21,Colorado
7078572,"Castle Rock, CO",1,Colorado
7085822,Phillipston MA,10,Colorado
