retweeted_user_id,retweeted_user_location,Count,state
1147,"Connecticut, USA",1,Connecticut
9080,"Woodbridge, CT",1,Connecticut
10264,"Wallingford, CT ",2,Connecticut
11351,"Mystic, CT",314,Connecticut
21413,"Mystic, CT, USA",1,Connecticut
63473,Connecticut,16,Connecticut
178273,"Cornwall, CT",1,Connecticut
680933,"New Haven, CT",44,Connecticut
756084,"Greenwich, CT",31,Connecticut
783977,Connecticut,2,Connecticut
799599,"Bethel, CT",1,Connecticut
809481,"Connecticut, USA",39,Connecticut
813672,"Goshen, Connecticut",5,Connecticut
820002,"North Stamford, CT",3,Connecticut
823368,Connecticut,13,Connecticut
841611,"CT, USA",2,Connecticut
926121,"Stonington, ME | New Haven, CT",20,Connecticut
1017471,"New Haven, CT",1,Connecticut
1054721,"Weston, CT",1,Connecticut
1065091,Connecticut,8,Connecticut
1131111,"Connecticut, USA",11,Connecticut
1156561,CT,1,Connecticut
1273081,"Groton, CT.",23,Connecticut
1329601,new haven,6,Connecticut
1530371,"Westport, CT",15,Connecticut
1598311,"Connecticut, USA",2,Connecticut
1627771,"Bristol, CT",1,Connecticut
1683101,Connecticut,12,Connecticut
1801341,Connecticut,1266,Connecticut
2122431,"Stonington, CT",240,Connecticut
2585721,Connecticut,1,Connecticut
2911101,"West Hartford, CT",30,Connecticut
3086071,CT,1,Connecticut
3126171,"Westport, CT",8,Connecticut
3260031,"CT, USA",1,Connecticut
3953961,Connecticut,404,Connecticut
4266261,Connecticut,39,Connecticut
4532851,"New Britain, CT",1,Connecticut
4834671,"Connecticut, USA",55,Connecticut
5002321,Connecticut,62,Connecticut
5030681,"Connecticut, USA",1,Connecticut
5475882,"Canterbury, CT, New England",11,Connecticut
5476342,"Stamford , CT",1,Connecticut
5543362,Connecticut,177,Connecticut
5553062,"Danbury, CT",1,Connecticut
5638492,Connecticut,13,Connecticut
5654932,"Stamford, CT",96,Connecticut
5695032,"New Haven, CT",7,Connecticut
5750282,"Connecticut, USA",5,Connecticut
5807992,"Roxbury, CT",1,Connecticut
5846602,CT,17,Connecticut
5849722,"Connecticut, USA",8,Connecticut
5873272,Connecticut,8,Connecticut
6014302,"NYC & Stamford, CT",6,Connecticut
6043912,"Bridgeport, CT",51,Connecticut
6061082,Connecticut,7,Connecticut
6121592,CT,5,Connecticut
6191922,"New Haven, Connecticut ",1,Connecticut
6296572,"Connecticut, USA",422,Connecticut
6413282,"Wilton, CT",28,Connecticut
6421112,"CT, USA",6,Connecticut
6535752,Connecticut,7,Connecticut
6597992,"Wild Wild West Hartford, CT",110,Connecticut
6681712,"Shelton, CT",1,Connecticut
6868862, Connecticut,1,Connecticut
7334712,"New Milford, Connecticut",670,Connecticut
7348612,"New Haven, CT",11,Connecticut
7359872,CT,50,Connecticut
7405462,"Hartford, CT",1,Connecticut
7480502,"Stamford, CT",8,Connecticut
7486352,"Wilton, CT",21,Connecticut
7504442,"Manchester, CT",7,Connecticut
7595792,"Glastonbury, CT",5,Connecticut
7668232,"New Haven, Connecticut, United",2,Connecticut
7823142,CT,1,Connecticut
7828802,"Connecticut, USA",5,Connecticut
7853542,"Connecticut, USA",1,Connecticut
7961032,Connecticut,1,Connecticut
8117152,Connecticut,11,Connecticut
8309042,"Connecticut, USA",1,Connecticut
8387282,"Hamden, CT",1,Connecticut
8413282,Connecticut,1,Connecticut
8494612,"Connecticut, USA",300,Connecticut
8592842,Connecticut,1,Connecticut
8594932,Connecticut. United States,2,Connecticut
8628822,CT,2,Connecticut
8732322,"Connecticut, USA",491,Connecticut
8773632,"Connecticut, USA",69,Connecticut
8787912,"Fairfield, CT",4,Connecticut
8812762,"NYC, CT, ACK",1,Connecticut
8925982,"Hartford, CT",52,Connecticut
8930662,"new haven, ct",6,Connecticut
8942142,"Connecticut, USA",3,Connecticut
8985902,"Middlesex County, MA",1,Connecticut
9009012,Connecticut,11,Connecticut
9021232,"Greenwich, CT",11,Connecticut
9112022,"Danbury/Bethel, CT",18,Connecticut
9333042,"CT, USA",5,Connecticut
9340702,"Connecticut, USA",1,Connecticut
9378662,Connecticut,3,Connecticut
9469392,"Bridgeport, CT",1,Connecticut
9482892,"Heritage Village, CT",6,Connecticut
9498902,"Hartford, CT",1,Connecticut
9573202,"Woodstock, CT",1,Connecticut
9583462,"West Cornwall, CT",1,Connecticut
9627102,"Hartford, CT",627,Connecticut
9642782,"Connecticut, USA",1,Connecticut
9853432,Norwalk CT,2,Connecticut
9954032,"New Haven, CT",134,Connecticut
9984362,CT,2,Connecticut
10035132,"West Hartford, CT",5,Connecticut
10089552,"Connecticut, USA",25,Connecticut
10090662,Connecticut,3,Connecticut
10235272,"Greenwich, CT",3,Connecticut
10238882,Connecticut,63,Connecticut
10285272,"New Britain, CT",1,Connecticut
10294462,"Tolland, CT",24,Connecticut
10337942,Connecticut,2,Connecticut
10353912,CT,46,Connecticut
10653952,Connecticut,1,Connecticut
10710462,"CT, USA",1,Connecticut
10725282,Connecticut,1,Connecticut
10799322,"Norwalk, Connecticut",66,Connecticut
10846482,Connecticut,39,Connecticut
10947212,"Connecticut, USA",2,Connecticut
10947472,Connecticut,82,Connecticut
11008102,"CT, USA",2,Connecticut
11108692,Connecticut,1,Connecticut
11146172,CT,8,Connecticut
11202782,Connecticut,2,Connecticut
11207282,"West Hartford, CT",56,Connecticut
11256072,"Meriden, CT",1,Connecticut
11346942,Connecticut,2,Connecticut
11373722,"Danbury, CT",3,Connecticut
11406032,"Newtown, CT",3,Connecticut
11408612,"Greenwich, CT",1,Connecticut
11482802,"Connecticut, US",13,Connecticut
11673092,Connecticut,750,Connecticut
11673742,"CT, USA",3,Connecticut
11689322,"Connecticut, USA",21,Connecticut
11702862,"Hartford, CT",11,Connecticut
11730902,Connecticut,5,Connecticut
11761312,"Mystic, CT",4,Connecticut
11781142,"New York City/Lakeville, CT",4,Connecticut
11951962,"Connecticut, USA",90,Connecticut
11999982,"New Haven, CT",544,Connecticut
12035472,Connecticut,4,Connecticut
12082672,"Woodbridge, CT",2,Connecticut
12086012,"Hartford, CT",8,Connecticut
12114682,"CT, NY...mostly",7,Connecticut
12132212,"Danbury, CT",4,Connecticut
12137732,Connecticut,1,Connecticut
12195412,Connecticut,431,Connecticut
12247852,"Easton, CT",305,Connecticut
12370762,"Berlin, CT",94,Connecticut
12388232,"Connecticut, USA",2,Connecticut
12481332,Connecticut,34,Connecticut
12493732,Connecticut,4,Connecticut
12508782,new haven ,3,Connecticut
12519242,"Chaplin, CT",2,Connecticut
12667682,Los Angeles/Connecticut,138,Connecticut
12788422,"Stars Hollow, CT",7,Connecticut
12789802,"Small Town Connecticut, USA",21,Connecticut
12903462,"Rocky Hill, CT",325,Connecticut
12941062,CT,1196,Connecticut
12984202,usually in Connecticut,19,Connecticut
12988432,"Connecticut, USA",1,Connecticut
13218572,Connecticut,21,Connecticut
13290992,CT,2,Connecticut
13329732,New haven,662,Connecticut
13409972,"Stamford, CT",7,Connecticut
13444872,"Stamford, Connecticut",2,Connecticut
13491852,Connecticut,1,Connecticut
13499472,"Connecticut, USA",20,Connecticut
13603712,"Connecticut, USA",3,Connecticut
13695582,"Darien, CT",1,Connecticut
13795342,CT,9,Connecticut
14048378,"Metropolitan Unionville, CT",2,Connecticut
