retweeted_user_id,retweeted_user_location,Count,state
307983,"Wilmington, DE",69,Delaware
384613,"Wilmington, DE",3,Delaware
773287,"New Castle, DE",1,Delaware
2593511,"Delaware, USA",3,Delaware
2756821,"Delaware, The First State ",145,Delaware
2924231,"Wilmington, Delaware",12,Delaware
3266581,"Delaware, USA",3,Delaware
3486271,"Delaware, Ohio",1,Delaware
3750221,"Wilmington, DE",2,Delaware
3815041,"Newark, DE",1,Delaware
3977211,Delaware,40,Delaware
4229981,"Wilmington, DE",1,Delaware
4269131,"Wilmington, DE",3,Delaware
5410222,Delaware,8,Delaware
5526682,"Delaware, US",130,Delaware
6330492,"Berlin, DE",7,Delaware
6479932,"Los Angeles, USA || Berlin, DE",3,Delaware
6498182,"Chemnitz, DE",1,Delaware
6601302,"Middletown, DE",16,Delaware
6973782,"Newark, DE",1,Delaware
7000812,"Wilmington, DE",2,Delaware
7091292,"Lewes, DE",25,Delaware
7144352,"Delaware, USA",12,Delaware
7151902,"Wilmington, DE",11,Delaware
7383452,"Newark, DE",11,Delaware
7437812,Delaware,14,Delaware
7701132,"Newark, Delaware",1,Delaware
7824612,Delaware,14,Delaware
7830792,"UK, LatAm, Asia, MENA, DE",7,Delaware
7855112,"Dover, DE",1,Delaware
7915632,"Essen, DE",3,Delaware
7973242,"Bear, DE",1,Delaware
8160182,"Newark, Delaware",1,Delaware
8614582,Stralsund - DE,8,Delaware
9422372,"Berlin, DE. Kent, UK",3,Delaware
9460032,"Ludwigshafen, DE",1,Delaware
9674952,"Hockessin, DE",2,Delaware
10153432,"Delaware, USA",501,Delaware
10283632,Delaware,1,Delaware
10413872,"Delaware, USA",1,Delaware
10645532,"Newark, DE",59,Delaware
11314012,DE,7,Delaware
11353432,"Wilmington, DE",5,Delaware
11360302,"Wilmington, DE, USA",23,Delaware
11888882,"Delaware, USA",16,Delaware
12059432,"Essen, Nordrhein-Westfalen, De",2,Delaware
12721962,"Wilmington, DE",3,Delaware
12786932,"DE, Karlsruhe",1,Delaware
12805152,"Delaware, USA",2,Delaware
12871792,"Delaware, USA",1,Delaware
12975212,Delaware,76,Delaware
13051422,"Wilmington, Delaware ",1,Delaware
13349192,"Lewes, DE",80,Delaware
13410022,"Wilmington, DE",2,Delaware
14057100,DE/HH,2,Delaware
14062361,Delaware,470,Delaware
14075274,"Wilmington, DE",14,Delaware
14110938,"Wilmington, DE",39,Delaware
14144790,Delaware,1,Delaware
14162394,"Delaware, OH",1,Delaware
14163330,"Newark, DE",6,Delaware
14171150,"Wilmington, DE",35,Delaware
14183652,"Wilmington, DE",2,Delaware
14195299,"Philly/Wilmington, DE",15,Delaware
14200704,"Dover, DE",2,Delaware
14219275,"Rehoboth Beach, DE",76,Delaware
14231432,Delaware,1,Delaware
14267807,Delaware,1,Delaware
14278417,"Newark, Delaware",3,Delaware
14307764,"Wilmington, Delaware",161,Delaware
14312936,DE,41,Delaware
14313727,DE,135,Delaware
14328677,Delaware!,1,Delaware
14329134,"Delaware, USA",1,Delaware
14342349,Delaware,1,Delaware
14348533,Delaware,1,Delaware
14368511,"Bear, DE, USA",1,Delaware
14372825,"Dover, DE",8,Delaware
14402725,"Lewes, DE",15,Delaware
14453501,Delaware,19,Delaware
14526004,"Wilmington, DE",1,Delaware
14526029,Delaware or Florida snowbird,121,Delaware
14538161,Delaware,15,Delaware
14578505,"Delaware, USA",2,Delaware
14585853,Delaware,1,Delaware
14586896,"Wilmington, DE",45,Delaware
14588657,"Wilmington, DE",5,Delaware
14591425,"STA-SJJ, BA/BIN, DE; Europe",1,Delaware
14622910,Delaware / Seattle,1,Delaware
14626995,"Wilmington, DE",2,Delaware
14673562,"Delaware, USA",6,Delaware
14690849,Delaware,1,Delaware
14693400,"Berlin, DE",9,Delaware
14705198,Delaware,24,Delaware
14726733,"Delaware, Ohio",23,Delaware
14736245,"Wilmington, DE",77,Delaware
14741000,"IE Wexford, UK, AU, DE, PT, IE",8,Delaware
14781122,"Portland, OR ⚡️ Erlangen, DE",1,Delaware
14781816,"Long Neck, DE",1,Delaware
14802636,Delaware,9,Delaware
14879420,EN - ES - PT - IT - FR - DE,1,Delaware
14890490,"Lewes, DE",21,Delaware
14912072,"Delaware, USA",37,Delaware
14945692,"Wilmington, DE",1,Delaware
14963621,"Lewes, Delaware",2,Delaware
14966885,"Wilmington, Delaware",3,Delaware
14980714,"Delaware, USA",2,Delaware
15008183,Delaware,6,Delaware
15032512,"New Castle, DE",76,Delaware
15045927,"Rehoboth Beach, Delaware",3,Delaware
15136081,Delaware,18,Delaware
15140001,Delaware,9,Delaware
15146558,Delaware,5,Delaware
15163993,Delaware,222,Delaware
15247011,"Bear, DE",2,Delaware
15278499,Delaware,4,Delaware
15281863,"Wilmington, DE",9,Delaware
15308230,Delaware,8,Delaware
15324851,"Wilmington, DE",94,Delaware
15355837,Delaware,10,Delaware
15391157,Wilmington Delaware,2,Delaware
15404932,"Delaware, OH",1,Delaware
15432880,"Bear, DE, USA",1,Delaware
15456789,"Wilmington, DE",1,Delaware
15465614,wilmington Delaware ,1,Delaware
15510294,"Dover, DE",1,Delaware
15539446,"Delaware, USA",3,Delaware
15549109,"Delaware, USA",17,Delaware
15574295,"Wilmington, Delaware",1,Delaware
15624325,Delaware,1,Delaware
15635181,"Millsboro, Delaware",1,Delaware
15740829,"Wilmington, Delaware",10,Delaware
15765898,"Milton, DE",2,Delaware
15785528,Delaware,1,Delaware
15795138,"wilmington, delaware, usa",1,Delaware
15797235,"Dover, DE",8,Delaware
15823512,Delaware,7,Delaware
15826606,"Bear, DE",118,Delaware
15856349,Lower Slower Delaware,2,Delaware
15857551,"Hockessin, Delaware ",26,Delaware
