retweeted_user_id,retweeted_user_location,Count,state
1977,N 38°55' 0'' / W 77°1' 0'',48,District of Columbia
34903,D.C.,6,District of Columbia
39563,District of Columbia,13,District of Columbia
725493,DC Metro Area,1,District of Columbia
754949,"District of Columbia, USA",24,District of Columbia
1949421,"District of Columbia, USA",6,District of Columbia
2121871,"District of Columbia, USA",1,District of Columbia
3426811,"District of Columbia, USA",19,District of Columbia
4776141,DC Metro Area,48,District of Columbia
6096642,D.C.,25,District of Columbia
6341122,"District of Columbia, USA",26,District of Columbia
7382632,D.C.,15,District of Columbia
7862542,District of Columbia (US),6,District of Columbia
7868832,D.C.,359,District of Columbia
7886212,D.C.,23,District of Columbia
9864482,"District of Columbia, USA",99,District of Columbia
10895702,N 38°55' 0'' / W 77°1' 0'',43,District of Columbia
11450082,DC Metro Area,216,District of Columbia
12095912,D.C.,44,District of Columbia
12318872,"District of Columbia, USA",47,District of Columbia
12764042,"District of Columbia, USA",1,District of Columbia
13112862,D.C.,4,District of Columbia
14088727,D.C.,34,District of Columbia
14188549,Washington DC ,6,District of Columbia
14336832,D.C.,7,District of Columbia
14342741,DC Metro Area,1,District of Columbia
14421120,"District of Columbia, USA",5,District of Columbia
14433538,"District of Columbia, USA",1,District of Columbia
14448097,District of Columbia,6,District of Columbia
14553055,DC ,276,District of Columbia
14630585,"District of Columbia, USA",44,District of Columbia
14794555,Washington DC ,2,District of Columbia
14983900,DC Metro Area,1,District of Columbia
15113333,"District of Columbia, USA",5,District of Columbia
15127804,Washington DC ,4,District of Columbia
15231611,D.C.,1,District of Columbia
15297155,"District of Columbia, USA",1,District of Columbia
15346740,District of Columbia,17,District of Columbia
15378881,"Washington, D.C",7,District of Columbia
15404113,DC Metro Area,8,District of Columbia
15428612,"District of Columbia, USA",19,District of Columbia
15470403,DC Metro Area,51,District of Columbia
15471953,"District of Columbia, USA / Brooklyn, NY",4,District of Columbia
15478190,"District of Columbia, USA",3,District of Columbia
15480566,Washington DC ,118,District of Columbia
15551969,DC Metro Area,1,District of Columbia
15563369,"District of Columbia, USA",2,District of Columbia
15574663,DC Metro Area,1,District of Columbia
15654408,Washington DC ,3,District of Columbia
15753937,D.C.,4,District of Columbia
15769760,DC Metro Area,21,District of Columbia
15783602,"District of Columbia, USA",1,District of Columbia
15810195,"District of Columbia, USA",1,District of Columbia
15811487,D.C.,55,District of Columbia
15896497,"District of Columbia, USA",685,District of Columbia
15985346,"Washington, D.C",28,District of Columbia
15999195,DC Metro Area,1,District of Columbia
16061955,"District of Columbia, USA",15,District of Columbia
16078045,DC Metro Area,1,District of Columbia
16119214,"District of Columbia, USA",2,District of Columbia
16171248,Washington DC ,20,District of Columbia
16194956,District of Columbia,3,District of Columbia
16214005,DC Metro Area,1,District of Columbia
16248442,"District of Columbia, USA",296,District of Columbia
16347551,District of Columbia,1,District of Columbia
16447675,"Washington, D.C",3,District of Columbia
16493117,"Washington, D.C",4,District of Columbia
16515179,DC Metro Area,2,District of Columbia
16522186,"Washington, D.C",2,District of Columbia
16553914,DC Metro Area,2,District of Columbia
16554669,"District of Columbia, USA",2,District of Columbia
16642399,district of columbia,1,District of Columbia
16669159,DC ,19,District of Columbia
16704880,"District of Columbia, USA",11,District of Columbia
16713948,District of Columbia,10,District of Columbia
16733328,Washington DC ,1,District of Columbia
16823907,N 38°55' 0'' / W 76°59' 0'',3,District of Columbia
16858609,D.C.,3,District of Columbia
16870668,District of Columbia,4,District of Columbia
16893358,D.C.,7,District of Columbia
16922661,Washington DC ,6,District of Columbia
16950722,N 38°54' 0'' / W 77°2' 0'',3,District of Columbia
17002914,"District of Columbia, USA",44,District of Columbia
17104546,"District of Columbia, USA",248,District of Columbia
17149290,"District of Columbia, USA",2,District of Columbia
17201338,"Washington, D.C",2,District of Columbia
17218690,D.C.,10,District of Columbia
17240176,"District of Columbia, USA",2,District of Columbia
17272426,"District of Columbia, USA",12,District of Columbia
17275908,DC ,127,District of Columbia
17322401,Washington DC ,42,District of Columbia
17347391,"District of Columbia, USA",16,District of Columbia
17356372,"District of Columbia, USA",1,District of Columbia
17375848,Washington DC ,4,District of Columbia
17378642,DC Metro Area,36,District of Columbia
17387718,DC Metro Area,57,District of Columbia
17395999,"District of Columbia, USA",4,District of Columbia
17473505,D.C.,12,District of Columbia
17560195,"District of Columbia, USA, & worldwide",4,District of Columbia
17594869,"District of Columbia, USA",5,District of Columbia
17802787,District of Columbia,14,District of Columbia
17854172,"District of Columbia, USA",1,District of Columbia
17871188,D.C.,172,District of Columbia
17948009,D.C.,11,District of Columbia
18082894,Washington DC ,7,District of Columbia
18086483,"District of Columbia, USA",6,District of Columbia
18155174,"Washington, D.C",334,District of Columbia
18193626,DC Metro Area,7,District of Columbia
18248021,DC Metro Area,16,District of Columbia
18261335,"Washington, D.C",3,District of Columbia
18294275,"West End, District of Columbia",1,District of Columbia
18304574,District of Columbia,81,District of Columbia
18386401,"District of Columbia, USA",2,District of Columbia
18393501,Washington DC ,51,District of Columbia
18440504,"District of Columbia, USA",1,District of Columbia
18515936,Washington DC ,2,District of Columbia
18577789,"District of Columbia, USA",55,District of Columbia
18594970,"District of Columbia, USA",1,District of Columbia
18653184,"District of Columbia, USA",1,District of Columbia
18658752,District of Columbia,3,District of Columbia
18722097,D.C.,8,District of Columbia
18876928,D.C.,3,District of Columbia
18936526,"District of Columbia, USA",2,District of Columbia
18991649,Washington DC ,3,District of Columbia
19061697,Washington DC ,16,District of Columbia
19076011,D.C.,4,District of Columbia
19147157,DC Metro Area,54,District of Columbia
19212273,D.C.,1,District of Columbia
19266673,"District of Columbia, USA",134,District of Columbia
19287108,D.C.,10,District of Columbia
19499865,"District of Columbia, USA",1,District of Columbia
19557758,D.C.,162,District of Columbia
19563034,"District of Columbia, USA",1,District of Columbia
19618617,D.C.,60,District of Columbia
19672512,DC Metro Area,1,District of Columbia
19695687,"District of Columbia, USA",1,District of Columbia
19863248,D.C.,89,District of Columbia
19907449,"District of Columbia, USA",2,District of Columbia
19916152,DC ,205,District of Columbia
19916598,"District of Columbia, USA",88,District of Columbia
19956451,District of Columbia,4,District of Columbia
20025887,"District of Columbia, USA",4,District of Columbia
20063050,District of Columbia,1,District of Columbia
20076659,DC Metro Area,1018,District of Columbia
20153146,"District of Columbia, USA",32,District of Columbia
20175097,"District of Columbia, USA",3,District of Columbia
20178729,district of columbia,2,District of Columbia
20397901,District of Columbia,31,District of Columbia
20421915,DC Metro Area,1,District of Columbia
20489149,"District of Columbia, USA",11,District of Columbia
20529555,DC Metro Area,4,District of Columbia
20596957,"District of Columbia, USA",173,District of Columbia
20601653,"District of Columbia, USA",2,District of Columbia
20651342,Washington DC ,2,District of Columbia
20654504,"District of Columbia, USA",82,District of Columbia
20791408,"District of Columbia, USA",235,District of Columbia
20814963,"Washington, D.C",13,District of Columbia
20874822,"District of Columbia, USA",1,District of Columbia
21051121,"District of Columbia, USA",4,District of Columbia
21071347,D.C.,2,District of Columbia
21220931,"District of Columbia, USA",25,District of Columbia
21251537,D.C.,1176,District of Columbia
21293187,District of Columbia,15,District of Columbia
21413118,"District of Columbia, USA",1,District of Columbia
21488865,DC Metro Area,2,District of Columbia
21774755,"District of Columbia, USA",6,District of Columbia
21786220,DC ,7,District of Columbia
21802625,D.C.,91,District of Columbia
21802627,"District of Columbia, USA",120,District of Columbia
22104595,DC Metro Area,2,District of Columbia
22177690,District of Columbia,42,District of Columbia
22300310,"District of Columbia, USA",44,District of Columbia
22328736,"District of Columbia, USA",6,District of Columbia
22432871,D.C.,13,District of Columbia
22530134,DC Metro Area,8,District of Columbia
22542178,DC Metro Area,1,District of Columbia
22631040,"District of Columbia, USA",6,District of Columbia
22692698,"District of Columbia, USA",149,District of Columbia
22709866,"Washington, D.C",10,District of Columbia
22727522,D.C.,6,District of Columbia
22734364,DC Metro Area,1,District of Columbia
22832447,D.C.,6,District of Columbia
22889316,D.C.,6,District of Columbia
22912572,DC ,2,District of Columbia
23071537,DC ,313,District of Columbia
23153051,"District of Columbia, USA",5,District of Columbia
23310483,Washington DC ,31,District of Columbia
