retweeted_user_id,retweeted_user_location,Count,state
1131,"La'ie, Hi",1,Hawaii
13364,"Honolulu, Hawaii",8,Hawaii
13455,"Honolulu, HI",4,Hawaii
26333,"Hawaii, USA",1,Hawaii
336253,"Honolulu, HI",5,Hawaii
793835,"Honolulu, HI",20,Hawaii
1420101,"Honolulu, HI",2,Hawaii
1601761,"Honolulu, Hawaii",3,Hawaii
1701311,"Hawaii, USA",1,Hawaii
2055791,"Honolulu, HI",5,Hawaii
2736681,"Hawaii, USA",93,Hawaii
2771331,Hawaii,4,Hawaii
3098811,"Honolulu, HI",1,Hawaii
3445031,Honolulu,2,Hawaii
4293461,Hawaii,312,Hawaii
4709981,"Honolulu, HI",1,Hawaii
5185131,"Honolulu, HI",11,Hawaii
5204771,"Honolulu, HI",2,Hawaii
5541862,Ka Pae ʻĀina o Hawaii,9,Hawaii
5918792,"Honolulu, Hawaii",1,Hawaii
6047242,"Honolulu, HI",7,Hawaii
6220762,"Kapolei, HI",2,Hawaii
6394142,"Maui, Hawaii",4,Hawaii
6425502,hawaii,1,Hawaii
6462952,"Honolulu, HI",94,Hawaii
6706362,"Honolulu, HI",32,Hawaii
6969592,Honolulu,4,Hawaii
7004052,Honolulu,1,Hawaii
7057692,The Big Island of Hawaii,10,Hawaii
7103272,"Honolulu, HI",8,Hawaii
7321812,"Honolulu, Hawaii",1,Hawaii
7352532,"Honolulu, Hawaii",3,Hawaii
7426682,"Honolulu, Hawaii",3,Hawaii
7444192,"Honolulu, HI",1,Hawaii
7461382,"Honolulu, Hawaii",5,Hawaii
7477442,"Kailua Kona, Hawaii",47,Hawaii
7630972,Hawaii,4,Hawaii
7698562,Hawaii,1,Hawaii
7705112,"Honolulu, Hawaii",674,Hawaii
7767372,"Hawaii, USA",38,Hawaii
7776812,"Honolulu, Hawaii",12,Hawaii
7803862,"oahu, hawaii",2,Hawaii
8053132,"Honolulu, HI",1,Hawaii
8988362,Seattle /Japan/ Hawaii,22,Hawaii
9085572,Hawaii,1,Hawaii
9134782,"Honolulu, Hawaii",1,Hawaii
9200132,Hawaii,5,Hawaii
9419482,"Honolulu, HI",1,Hawaii
9703262,Hawaii,1,Hawaii
9923902,"Honolulu, HI",2,Hawaii
10044212,"Hilo, HI",22,Hawaii
10135302,Hawaii,18,Hawaii
10423232,"Hilo, HI",65,Hawaii
10667332,"Honolulu, Hawaii",1,Hawaii
10910132,"Kapaa, Hawaii",1,Hawaii
11141232,Hawaii,6,Hawaii
11309712,Hawaii,68,Hawaii
11324252,"Honolulu, Hawaii",1,Hawaii
11411332,"Hilo, HI",2,Hawaii
11448322,"Honolulu, HI",8,Hawaii
11542892,"Honolulu, HI",2,Hawaii
11870512,N 20°52' 0'' / W 156°41' 0'',34,Hawaii
11887632,N 21°17' 0'' / W 157°49' 0'',1,Hawaii
11894482,"Honolulu, Hawaii",1,Hawaii
11901952,Hawaii,74,Hawaii
12093462,"Honolulu, Hawaii",1,Hawaii
12621102,Honolulu,8,Hawaii
12736882,"Honolulu, Hawaii",6,Hawaii
12768812,Honolulu,2,Hawaii
12807602,"Kailua, Hawaii",1,Hawaii
13114022,"Honolulu, HI",3,Hawaii
13148762,"Kauai, Hawaii USA",11,Hawaii
13353472,"Honolulu, HI",4,Hawaii
13527222,"Honolulu, HI",4,Hawaii
13882682,"Kapolei, HI",1,Hawaii
14000762,"Honolulu, HI",1,Hawaii
14069884,"Honolulu, HI",20,Hawaii
14070723,"Hawaii, USA",6,Hawaii
14072040,"Maui, Hawaii",2,Hawaii
14079909,"Maui, Hawaii",1,Hawaii
14115192,"Maui, Hawaii, USA.",119,Hawaii
14129252,"Ewa Beach, HI",17,Hawaii
14131336,"Honolulu, Hawaii",2,Hawaii
14136660,Honolulu,17,Hawaii
14147937,"Honolulu, HI",1,Hawaii
14185684,"Kauai, Hawaii",3,Hawaii
14216010,"Honolulu, Hawaii ",57,Hawaii
14220000,"Honolulu, HI",15,Hawaii
14248898,"Honolulu, HI, US",1,Hawaii
14264569,"Lihue, HI",1,Hawaii
14280871,Hawaii,1,Hawaii
14317246,"Hilo, Hawaii",2,Hawaii
14318464,"Honolulu, Hawaii",1,Hawaii
14329103,"Honolulu, Hawaii, USA",5,Hawaii
14336503,"Honolulu, HI",1,Hawaii
14355627,Honolulu,14,Hawaii
14414065,"Honolulu, Hawaii",1,Hawaii
14420428,"Hawaii, USA",17,Hawaii
14440685,"Honolulu, HI",2,Hawaii
14468359,Hawaii,2,Hawaii
14472081,"Maui,Hawaii",14,Hawaii
14498188,"Maui, Hawaii, USA",79,Hawaii
14537983,"Gloucester, MA ✈️ Kona, HI",56,Hawaii
14540821,"Honolulu, HI",12,Hawaii
14541172,"Honolulu, HI",2,Hawaii
14553940,"Honolulu, HI",42,Hawaii
14577866,"Hawaii, USA",2,Hawaii
14590601,"Kea'au, Hawaii, USA (The Big I",11,Hawaii
14595202,Honolulu,4,Hawaii
14623242,"Honolulu, HI",2,Hawaii
14627760,"Hawaii or Florida,travel often",108,Hawaii
14655297,Honolulu,1,Hawaii
14668563,"Honolulu, HI",5,Hawaii
14669642,"Wailuku, Hawaii",2,Hawaii
14671170,"Honolulu, Hawaii",45,Hawaii
14675427,"Hawaii, USA",1,Hawaii
14719902,Hawaii,2,Hawaii
14750379,Hawaii,2,Hawaii
14752416,"Honolulu, HI",1,Hawaii
14752873,"Hawaii, USA",1,Hawaii
14757500,"Oahu, Hawaii",1,Hawaii
14777792,Hawaii,1,Hawaii
14780203,Honolulu,2,Hawaii
14791908,"Honolulu, HI",1,Hawaii
14802815,"Honolulu, HI",15,Hawaii
14878451,"Honolulu, HI",1,Hawaii
14895660,Honolulu,13,Hawaii
14897764,"Honolulu, HI",88,Hawaii
14906030,"Hawaii, USA",1,Hawaii
14933807,"Maui, Hawaii",17,Hawaii
14941428,Hawaii,3,Hawaii
