retweeted_user_id,retweeted_user_location,Count,state
9832,"Louisville, KY",109,Kentucky
11718,"Covington, KY",29,Kentucky
33263,"Lexington, KY",1,Kentucky
60573,Kentucky,2,Kentucky
62433,"Bowling Green, KY",1,Kentucky
637503,"Louisville, KY",1,Kentucky
728263,"Kentucky, USA",4,Kentucky
755948,"lexington, kentucky",2,Kentucky
756027,"Louisville, KY",2,Kentucky
765810,"Louisville, KY",1,Kentucky
783909,"Louisville, KY",3,Kentucky
799491,"Williamsburg, KY",2,Kentucky
809493,"Covington, KY",2,Kentucky
813280,"Covington, KY",7,Kentucky
814105,"Louisville, KY",6,Kentucky
815511,"Louisville, KY",3,Kentucky
819358,la belle province,1,Kentucky
822926,"Louisville, KY",1,Kentucky
862941,"Lexington, KY",10,Kentucky
919341,"Somerset, KY",28,Kentucky
926601,The Green Mountains,645,Kentucky
981871,green,9,Kentucky
1097701,"Lexington, KY",9,Kentucky
1121591,"Erlanger, KY",3,Kentucky
1142061,KY,4,Kentucky
1259901,"Kentucky, USA",1,Kentucky
1308221,"London, KY",114,Kentucky
1358671,"Somerset, KY, United States",4,Kentucky
1422551,"Lexington, KY",2,Kentucky
1692321,"louisville, ky, 40205",4,Kentucky
1772151,"Kentucky, USA",214,Kentucky
1792201,Kentucky,14,Kentucky
1862751,Bath,5,Kentucky
1863811,"Louisville, KY",1,Kentucky
2566991,"Goshen, KY",16,Kentucky
2668991,"Louisville, KY",4,Kentucky
2695871,"Louisville, KY",7,Kentucky
2713391,"Louisville, KY",19,Kentucky
2762951,Kentucky,21,Kentucky
2836151,Bath,16,Kentucky
2935921,"Louisville, KY",2,Kentucky
3162461,"Lexington, KY",3,Kentucky
3240231,"Henderson, KY",1,Kentucky
3246801,"Lexington, KY",2,Kentucky
3372821,"Lexington, KY",12,Kentucky
3618271,"Louisville, KY",6,Kentucky
3650251,"Kentucky, USA",1,Kentucky
3811771,"Kentucky, USA",2,Kentucky
3952521,"Owensboro, KY",1,Kentucky
3954241,"Louisville, Kentucky",16,Kentucky
3960301,"Lynch, KY",1,Kentucky
3981981,"Nazareth, KY",3,Kentucky
4446471,Kentucky,2,Kentucky
4636171,"Covington, KY",7,Kentucky
5169871,"Lexington, KY",6,Kentucky
5300512,"Louisville, KY",63,Kentucky
5409552,"Louisville, KY",1,Kentucky
5439842,"Russell, KY",2,Kentucky
5540832,"Louisville, KY",1,Kentucky
5546042,"Lexington, KY",109,Kentucky
