retweeted_user_id,retweeted_user_location,Count,state
5605,"New Orleans, Louisiana",14,Louisiana
11973,"Singapore, NYC, LA, SF",6,Louisiana
16673,"London, UK. Louisiana at heart",1,Louisiana
38143,"Metairie, LA",1,Louisiana
48473,LA ,2,Louisiana
61913,LA via Chicago,1,Louisiana
71243,"LA, CA",6,Louisiana
81103,"New Orleans, LA",5,Louisiana
128163,"LA, NY & Cambridge",120,Louisiana
300223,New Orleans,1,Louisiana
350963,LA,1,Louisiana
795448,"Metairie, LA",9,Louisiana
800069,"Baton Rouge, LA",3,Louisiana
807522,New Orleans,19,Louisiana
816812,"Toronto, NYC and LA",2,Louisiana
821709,"New Orleans, Louisiana",44,Louisiana
822892,New Orleans,4,Louisiana
941621,"New Orleans, Louisiana",8,Louisiana
957851,LA,5,Louisiana
1054551,"LA, SF, and NYC",6,Louisiana
1187421,"Abbeville, LA",3,Louisiana
1237951,"Plaquemine, Louisiana",1,Louisiana
1306521,"Baton Rouge, LA",1,Louisiana
1431391,"Baton Rouge, LA",1,Louisiana
1507421,"Baton Rouge, LA",1,Louisiana
1591961,"SF, LA, SD",5,Louisiana
1597241,Bay bred-LA sharpened-PDX home,2,Louisiana
1597271,"New Orleans, LA",4,Louisiana
1669681,LA to the Bay. ,8,Louisiana
1817231,"New Orleans, LA",4,Louisiana
1925861,"Louisiana, USA",4,Louisiana
1956161,"Kenner, Louisiana",157,Louisiana
2065051,"New Orleans, LA",6,Louisiana
2361121,LA,1,Louisiana
2677451,"Crowley, LA",1,Louisiana
3570701,"New Orleans, LA",3,Louisiana
3594901,Briland or LA,64,Louisiana
3683391,"Elm Grove, LA",1,Louisiana
3693261,"New Orleans, LA, United States",243,Louisiana
3835861,"New Orleans, LA",81,Louisiana
3952921,"Baton Rouge, LA",16,Louisiana
3971141,"Baton Rouge, LA",3,Louisiana
3983511,"Baton Rouge, LA",88,Louisiana
4296801,"Baton Rouge, LA",5,Louisiana
4376371,Downtown LA,20,Louisiana
4450541,LA/OC ✈️ Omaha,2877,Louisiana
4547281,"West Monroe, Louisiana, US",480,Louisiana
4651771,"Arabi, LA",9,Louisiana
4657681,"City of Central, Louisiana",2,Louisiana
4705081,LA,22,Louisiana
4795171,"LA, NYC, MN",21,Louisiana
5071111,"Slidell, LA",2,Louisiana
5077061,"New Orleans, LA",3,Louisiana
5265351,LA,1,Louisiana
5398672,New Orleans,5,Louisiana
5470012,"New Orleans, Louisiana, USA",5,Louisiana
5505302,LA/New York,4,Louisiana
5537582,"Baton Rouge, LA",2,Louisiana
5565522,"Alexandria, Louisiana",13,Louisiana
5667012,"New Orleans, LA",28,Louisiana
5742542,Louisiana,127,Louisiana
5978882,"Slidell, LA",1,Louisiana
5996002,"LA, ChicagoLand",5,Louisiana
6017542,"NYC, LA, London",72,Louisiana
6112082,LA,1,Louisiana
6115202,"NYC, Detroit, LA, SF",2,Louisiana
6143862,"LA, CA",1,Louisiana
6144142,"LA - transmasc nb, he/they/彼",322,Louisiana
6208282,"New Orleans, LA",7,Louisiana
6212512,"Kenner, Louisiana",3,Louisiana
6278952,New Orleans,10,Louisiana
6288372,"New Orleans, LA",25,Louisiana
6298952,LA,6,Louisiana
6450182,New Orleans,3,Louisiana
6479502,"LA, SF, SEA",224,Louisiana
6480192,"New Orleans, LA",7,Louisiana
6600572,"Denham Springs, LA",4,Louisiana
6608152,"LA, OC, and Mammoth Mountain.",1,Louisiana
6609822,"Phoenix, LA and Global",4,Louisiana
6643542,LA,1,Louisiana
6731502,"New Orleans, LA",13,Louisiana
6841842,"Metairie, LA",4,Louisiana
6855712,SATX / ATX / NYC / LA,1,Louisiana
6899232,"Bay to LA, CA",9,Louisiana
6945482,LA,34,Louisiana
7020402,New Orleans,4,Louisiana
7093642,LA,21,Louisiana
7100092,"Bossier City, LA",1,Louisiana
7138942,"Louisiana, USA",5,Louisiana
7189092,Louisiana,7,Louisiana
7196842,"Baton Rouge, LA",2,Louisiana
7245652,"New Orleans, LA",10,Louisiana
7473132,"OC, LA, HNL",2,Louisiana
7499322,The Hellscape called LA,228,Louisiana
7519342,Louisiana,2,Louisiana
7669012,"LA, CA.",8,Louisiana
7703552,"LA, CA USA",11,Louisiana
7742482,"Baton Rouge, Louisiana, USA",11,Louisiana
7839982,"Baton Rouge, LA",2,Louisiana
7895332,"LA, NY, Palm Springs",18,Louisiana
7901402,LA,9,Louisiana
7922692,"LA, CA, USA",5,Louisiana
8188202,LA/CHI/NYC,25,Louisiana
8235632,"Baton Rouge, LA",1096,Louisiana
8239692,LA,19,Louisiana
8287612,"LA, CA ✈",1,Louisiana
8312422,Now: Vegas | Then: LA down arr,2,Louisiana
8362832,NOLA,6,Louisiana
8364772,New Orleans,7,Louisiana
8441602,"New Orleans, LA",3,Louisiana
8450942,LA (CA) & other places,3,Louisiana
