retweeted_user_id,retweeted_user_location,Count,state
105223,Maine,3,Maine
648073,"Maine, USA",32,Maine
756471,Maine 🌲,280,Maine
779195,"Maine, USA",1,Maine
796603,Maine,14,Maine
804934,"hallowell, maine",1,Maine
820372,"Maine, USA",5,Maine
820828,Maine (via Chicago DC SF LV),31,Maine
839561,Maine,20,Maine
2024831,"Maine, USA",7,Maine
2101351,"Portland, ME",2,Maine
2234361,"Portland, Maine, USA",18,Maine
2378481,"Sebec, ME",28,Maine
2564921,Maine,6,Maine
2785871,"Orono, Maine",3,Maine
2955291,Maine,1,Maine
3165241,"Standish, Maine",1,Maine
3768331,"Portland, ME",23,Maine
4055841,"Greenfield TWP, Maine",1,Maine
4191961,"Portland, ME, USA",12,Maine
4659901,"Maine, USA",4,Maine
5015831,"Portland, ME",8,Maine
5146011,Maine,2,Maine
5286532,"Portland, Maine, 04101",1,Maine
5397332,Maine,482,Maine
5402352,Maine,2,Maine
5448002,"Portland, ME",6,Maine
5530962,"Portland, Maine",7,Maine
5688112,"Portland, ME",8,Maine
5816252,state of maine. ,1,Maine
5840872,"Portland, ME",16,Maine
5845552,"Maine, but really a Masshole",30,Maine
5917472,"Portland, Maine",36,Maine
5961562,"Augusta, Maine",13,Maine
5991382,"Maine, USA",7,Maine
6143382,"Portland, ME",1,Maine
6533912,Los Angeles --- Maine,14,Maine
6817952,"Portland, ME",11,Maine
7035602,"Maine, USA",260,Maine
7133462,"Bangor, ME",2,Maine
7141302,"Maine, USA",145,Maine
7382952,"Portland, ME",3,Maine
7494482,"Bangor, ME",1,Maine
7571422,Maine,14,Maine
7736762,"Maine, USA",4,Maine
7749232,"Scarborough, Maine",2,Maine
7904252,"Brunswick, Maine",8,Maine
7909912,"Portland, ME",6,Maine
7917812,"Rockland, ME",22,Maine
7937582,"Portland, ME",2,Maine
8252062,"Portland, ME",1,Maine
8294322,"Maine, USA",7,Maine
8519052,"Maine, USA",7,Maine
8538502,"Maine, USA",35,Maine
8598592,"Portland, Maine",3,Maine
8729092,"Lewiston/Auburn, Maine",221,Maine
8834612,"Maine, USA",6,Maine
8844932,"OOB, Maine",1,Maine
8859092,"Portland, Maine",516,Maine
8975162,Maine,4,Maine
8975462,Maine,5,Maine
9208642,"South Portland, Maine",20,Maine
9489852,"Maine, USA",1445,Maine
9535522,Maine  :-),6,Maine
9580792,Maine,3,Maine
9625222,"Portland, ME",6,Maine
9807742,Maine,2,Maine
9854892,"Cape Elizabeth, Maine",3,Maine
9900612,"Portland, ME",2,Maine
10073012,"Portland, Maine",4,Maine
10098362,Maine,5,Maine
10117742,"Maine, USA",14,Maine
10130032,Maine,8,Maine
10278142,"Portland, ME",6,Maine
