retweeted_user_id,retweeted_user_location,Count,state
6404,Baltimore,1,Maryland
7112,"Gaithersburg, MD",8,Maryland
10345,Baltimore,3616,Maryland
10433,"Silver Spring, MD",1,Maryland
12397,"Ellicott City, MD",1,Maryland
19553,"Baltimore, MD",2,Maryland
58453,"Maryland, USA",4,Maryland
77753,Baltimore,1,Maryland
82893,"Baltimore, MD",2,Maryland
613393,"Maryland, USA",67,Maryland
626973,"Baltimore, MD",15,Maryland
643313,"Baltimore, MD",4,Maryland
643753,"Silver Spring, MD",311,Maryland
658323,"Gaithersburg, MD",1,Maryland
665453,"Baltimore, MD",1,Maryland
714513,"Takoma Park, MD",1,Maryland
755684,"Baltimore, MD",8,Maryland
758180,"Maryland, USA",2,Maryland
760684,"Baltimore, MD",13,Maryland
762298,"Maryland, USA",6,Maryland
767633,MD,7,Maryland
769920,"Baltimore, MD",10,Maryland
773147,"Frederick, MD",28,Maryland
779799,"Hyattsville, MD",2,Maryland
789754,"Baltimore, MD",28,Maryland
790037,md,1,Maryland
799952,Maryland,13,Maryland
810186,"Maryland, USA",33,Maryland
812823,"Baltimore, MD",1,Maryland
816544,"The United States, Maryland",2,Maryland
816733,"Maryland, USA",6,Maryland
817204,Baltimore MD,50,Maryland
845581,"Baltimore, Md",16,Maryland
877531,"Maryland, USA",59,Maryland
905291,"Columbia, MD",1,Maryland
906551,Baltimore,14,Maryland
930681,"South Baltimore, MD",1,Maryland
1002731,"Frederick, MD",178,Maryland
1162561,"Silver Spring, MD",1,Maryland
1189011,"Don't go back to Rockville, MD",2,Maryland
1221471,"Washington DC, MD, VA, USA ",317,Maryland
1291281,"Baltimore, MD",10,Maryland
1292951,Maryland,7,Maryland
1297391,"Baltimore, Maryland",5,Maryland
1349481,"Silver Springs, MD (The DMV)",1,Maryland
1363361,"Maryland, USA",2,Maryland
1468511,"Columbia, MD",48,Maryland
1533891,Maryland,16,Maryland
1565551,"Frederick, MD",1,Maryland
1568631,"Maryland, US",1,Maryland
1662071,Baltimore MD,4,Maryland
1672521,"Baltimore, Maryland",1,Maryland
1676421,Maryland,16,Maryland
1775051,"Baltimore, MD",105,Maryland
1830691,"Baltimore, MD",1,Maryland
1957291,"Baltimore, MD",19,Maryland
2011081,"Maryland, USA",40,Maryland
2025281,"Maryland, USA",118,Maryland
2127651,"Silver Spring, Maryland",107,Maryland
2143391,"Rockville, MD",2,Maryland
2187411,MD,3,Maryland
2296231,"Maryland, USA",1,Maryland
2329111,"Maryland, USA",15,Maryland
2357411,Baltimore,4,Maryland
2383491,"Maryland, USA",5,Maryland
2589901,"Baltimore, Maryland, USA",1,Maryland
2616291,Baltimore MD,2,Maryland
2794621,MD,51,Maryland
2857831,"Rockville, Maryland",27,Maryland
2907091,"Maryland, USA",66,Maryland
3153181,Maryland,5,Maryland
3473141,"Columbia, MD",1,Maryland
3554081,"Baltimore, MD",13,Maryland
3616901,"Columbia, MD",5,Maryland
