retweeted_user_id,retweeted_user_location,Count,state
364,"Boston, MA",13,Massachusetts
642,"Cambridge, MA",12,Massachusetts
1149,"Boston, MA",1,Massachusetts
2075,"Belmont, MA",61,Massachusetts
2267,Massachusetts,2,Massachusetts
2654,"Millis, MA",1125,Massachusetts
4833,"Salem, MA",1,Massachusetts
5212,"Boston, MA",1,Massachusetts
5880,Boston,1,Massachusetts
9566,"Boston, MA",17,Massachusetts
10140,"Cambridge, MA",37,Massachusetts
10202,"Boston, MA",14,Massachusetts
10216,"Massachusetts, USA",79,Massachusetts
10219,"Lowell, MA, USA",6,Massachusetts
10294,Massachusetts,156,Massachusetts
10305,Boston,4,Massachusetts
10396,"Newton, MA",13,Massachusetts
10479,Massachusetts,1,Massachusetts
11696,"Hamilton, MA",3,Massachusetts
16963,Boston,1,Massachusetts
23543,"Boston, MA",3,Massachusetts
33003,Boston,19,Massachusetts
36953,Western Massachusetts,14,Massachusetts
39683,Boston,16,Massachusetts
50563,"Boston, MA",11,Massachusetts
50743,"Pittsfield, MA",235,Massachusetts
54543,"Boston, MA",3,Massachusetts
58313,"Barnstable, MA",2,Massachusetts
65203,Massachusetts,3,Massachusetts
76153,"Belmont, MA",4,Massachusetts
80303,"Boston, MA",34,Massachusetts
80573,"Somerville, MA",9,Massachusetts
82413,"Boston, MA",1,Massachusetts
114523,"Massachusetts, USA",2,Massachusetts
185333,Boston,2,Massachusetts
327843,"Cambridge, MA | Worldwide",2,Massachusetts
623033,"Brighton, MA, USA",993,Massachusetts
633263,"North Andover, MA",13,Massachusetts
636923,"Massachusetts, USA",70,Massachusetts
644523,"Dorchester, MA",54,Massachusetts
646433,"Ayer, MA",2,Massachusetts
647683,"Leverett, MA",29,Massachusetts
657653,"Massachusetts, USA",1,Massachusetts
658013,"Southborough, MA",2,Massachusetts
658753,"Boston, MA",1,Massachusetts
666923,Massachusetts,1,Massachusetts
668243,"Somerville, MA",58,Massachusetts
682263,"Boston, MA",18,Massachusetts
685233,"Somerville, MA",133,Massachusetts
686643,Boston,2,Massachusetts
687793,Massachusetts,4,Massachusetts
707333,"Boston, MA",2,Massachusetts
709433,"Easthampton, MA",26,Massachusetts
714313,"Boston, MA",2,Massachusetts
730073,Boston,3,Massachusetts
732433,"Somerville, MA",30,Massachusetts
751913,Massachusetts,14,Massachusetts
754556,"Boston, MA",9,Massachusetts
755103,"Massachusetts, USA",76,Massachusetts
755992,"Massachusetts, US",182,Massachusetts
756182,Massachusetts,6,Massachusetts
757678,"Not Winchester, MA",2,Massachusetts
757838,Boston,3,Massachusetts
759630,"Marblehead, MA",40,Massachusetts
761063,"Massachusetts, USA",22,Massachusetts
766516,Boston,1,Massachusetts
769999,"Malden, MA",8,Massachusetts
772989,western massachusetts,1,Massachusetts
774675,Boston,537,Massachusetts
775841,"Boston, MA",4,Massachusetts
776747,Massachusetts,53,Massachusetts
777038,MA,8,Massachusetts
779168,"Massachusetts, USA",6,Massachusetts
785547,"Boston, MA",14,Massachusetts
788918,"Boston, MA",1,Massachusetts
794436,"Boston, MA",6,Massachusetts
795643,Boston,3,Massachusetts
798235,Boston,2,Massachusetts
804675,"Cambridge, MA",2,Massachusetts
806562,"Reading, MA",35,Massachusetts
814209,Massachusetts,12,Massachusetts
814641,Boston,1,Massachusetts
815258,"Boston, MA",1,Massachusetts
815566,Boston,2,Massachusetts
815611,"Somerville, MA. USA",38,Massachusetts
816858,Massachusetts,12,Massachusetts
819195,"Harvard, MA",61,Massachusetts
820460,"Groton, MA",3,Massachusetts
820624,"Boston, MA",2,Massachusetts
820661,"Boston, MA",1,Massachusetts
823083,"boston, ma",45,Massachusetts
824211,"Newburyport, MA",50,Massachusetts
844611,"Medway, MA",4,Massachusetts
852421,MA,1,Massachusetts
852981,"Rehoboth, MA",1,Massachusetts
863701,"Boston, MA",1,Massachusetts
873411,"Salem, MA",1,Massachusetts
877021,"Boston, MA",3,Massachusetts
888751,"Boston, Massachusetts, USA",7,Massachusetts
896221,"Boston, MA",9,Massachusetts
910131,"Chesterfield, MA",482,Massachusetts
911621,"Boston, MA",2,Massachusetts
933501,"Boston, MA",10,Massachusetts
955001,"Somerville, MA",2,Massachusetts
964641,"Westborough, MA",13,Massachusetts
983781,"Brookline, MA",1,Massachusetts
990711,"Arlington, MA",27,Massachusetts
1001741,Boston,8,Massachusetts
1039531,"Cambridge, MA, USA",66,Massachusetts
1048501,"Cambridge, Massachusetts",8,Massachusetts
1051171,"Pittsfield, MA",44,Massachusetts
1062161,"Cambridge, MA",525,Massachusetts
1067521,"Boston, MA",5,Massachusetts
1079951,"Massachusetts, USA",142,Massachusetts
1086371,"Boston, MA",2,Massachusetts
1089201,"Boston, MA",1,Massachusetts
1103361,"Arlington, MA",7,Massachusetts
1133701,"Boston, MA",283,Massachusetts
