retweeted_user_id,retweeted_user_location,Count,state
5103,"Detroit, MI",7,Michigan
5500,"Detroit, MI",4,Michigan
6525,"Ypsilanti, MI",4,Michigan
8906,"Holland, MI",4,Michigan
9445,"Ann Arbor, MI",3,Michigan
10954,"Traverse City, MI",1,Michigan
11552,"Michigan, USA",263,Michigan
11670,"Lake Leelanau, MI",2,Michigan
11996,"Saginaw, MI",5,Michigan
12394,"Michigan, USA",2,Michigan
26743,"Detroit, MI",45,Michigan
32973,"Ann Arbor, MI",1,Michigan
56663,Muskegon Michigan ,17,Michigan
187443,"Detroit, MI",13,Michigan
369833,"Ann Arbor, MI",66,Michigan
598953,"Grand Rapids, Michigan",2,Michigan
613233,"Michigan, USA",43,Michigan
634713,"Detroit, MI",4,Michigan
655783,"Michigan, USA",395,Michigan
672213,"Ann Arbor, MI",1222,Michigan
678143,Michigan,2,Michigan
681403,West Michigan,5,Michigan
684333,"Ann Arbor, MI",86,Michigan
693393,Michigan,5,Michigan
694283,"Westland, MI",1,Michigan
722953,"Ann Arbor, MI, USA",2,Michigan
724103,Michigan,6,Michigan
727963,"Grosse Pointe Farms, MI",20,Michigan
730283,"Grand Rapids, MI",7,Michigan
756670,"Detroit, MI",1,Michigan
763849,"Ann Arbor, MI",12,Michigan
766347,"East Lansing, Michigan",1,Michigan
766467,Michigan,37,Michigan
769099,"Okemos, MI",3,Michigan
770312,"East Lansing, MI, USA",33,Michigan
772682,Michigan,1,Michigan
775754,"Standish, MI",35,Michigan
776134,"Grand Rapids, MI",5,Michigan
779180,"Grand Rapids, MI",1,Michigan
787948,"Ypsilanti, MI",151,Michigan
792764,"Michigan, USA",40,Michigan
793011,"Berkley, MI",2,Michigan
794124,"Traverse City, MI",21,Michigan
795360,"Calumet, MI",28,Michigan
795536,"Lansing, MI",1,Michigan
795789,"Detroit, MI",518,Michigan
798144,"Ypsilanti, MI",5,Michigan
798556,"Royal Oak, MI",246,Michigan
801288,"Ann Arbor, MI",1,Michigan
801385,"Marquette, MI",18,Michigan
803985,West Michigan,1,Michigan
805993,"Lansing, MI",3,Michigan
811111,"Lansing, MI",1,Michigan
815387,Detroit,1,Michigan
816604,"Garden City, Michigan",1,Michigan
816830,Detroit,4,Michigan
820526,"Cedar Springs, MI",2,Michigan
835631,"Grand Rapids, MI",129,Michigan
852451,Metro Detroit,1,Michigan
872461,"Ann Arbor, MI",36,Michigan
895271,"Ann Arbor, Michigan",2,Michigan
899271,Detroit,224,Michigan
920861,Michigan,8,Michigan
965421,"Ann Arbor, MI, USA",27,Michigan
978661,"Fraser, MI",2,Michigan
1024931,"Detroit, MI",56,Michigan
1035491,"Ann Arbor, MI",120,Michigan
1062521,"Ypsilanti, MI",1,Michigan
1089191,Detroit,12,Michigan
1192061,"Ann Arbor, Michigan",1,Michigan
1230281,"Ann Arbor, MI",12,Michigan
1327251,"Grand Rapids, Michigan",3,Michigan
1386211,"Holland, MI",2,Michigan
1397311,"Ann Arbor, Michigan",4,Michigan
1416821,"Grand Rapids, MI",16,Michigan
1443041,"Ann Arbor, MI",6,Michigan
1526381,"Ann Arbor, MI",2,Michigan
1548561,"Traverse City, MI",2,Michigan
1552361,"Ann Arbor-ish, Michigan",1,Michigan
1607891,"Traverse City, MI, USA, Earth",2,Michigan
1678371,"Auburn Hills, Michigan",3,Michigan
1709921,"Ann Arbor, MI",2,Michigan
1761691,"Michigan, USA",42,Michigan
1786071,"Kalamazoo, MI",5,Michigan
1857601,"Ann Arbor, Mi",1,Michigan
1919921,"Ann Arbor, MI",22,Michigan
1974221,"Pinckney, MI",3,Michigan
2021631,"Grand Rapids, MI",5,Michigan
2054111,"Detroit, MI",1,Michigan
2061431,"Plymouth, MI",2,Michigan
2066651,Michigan,1,Michigan
2084071,"Okemos, MI",1,Michigan
2106101,"Michigan, USA",1412,Michigan
2112521,"Ann Arbor, MI, USA ",2,Michigan
2115511,"Ann Arbor, MI",9,Michigan
2125631,"Holland, MI",9,Michigan
2190391,"Ann Arbor, MI",28,Michigan
2200221,"Detroit, Michigan, USA",212,Michigan
2209571,"Traverse City, Michigan",1,Michigan
2340521,"Wyandotte, MI",1,Michigan
2370091,"Shields, MI",1,Michigan
2500961,"Jackson, MI",1,Michigan
2557481,Michigan,5,Michigan
2663241,Michigan,4,Michigan
2743271,Detroit,13,Michigan
2744361,"Ann Arbor, MI",1,Michigan
2752601,"Dowagiac, MI",3,Michigan
2766881,"Battle Creek, MI",2,Michigan
2982541,Michigan,4,Michigan
3000701,"Michigan, USA",1,Michigan
3005711,Michigan via Brooklyn via Wisc,49,Michigan
3089341,"Lansing,  Michigan",1,Michigan
3163981,"Howell, MI",3,Michigan
3256781,"Michigan, USA",6,Michigan
3270591,"Ann Arbor, MI",4,Michigan
3539791,"Michigan, United States",2,Michigan
3582641,"Howell, MI",99,Michigan
3665401,"Michigan, USA",4,Michigan
3810171,"Ann Arbor, Michigan",53,Michigan
3899581,"Michigan, USA",3,Michigan
3920751,"Ann Arbor, MI",1,Michigan
3952391,Detroit,414,Michigan
4052741,"Pontiac,MI",16,Michigan
4075841,"Grand Rapids, MI",4,Michigan
4174901,"Michigan, USA",9,Michigan
4179471,"Michigan, USA",14,Michigan
4188561,Michigan,3,Michigan
4306131,"Muskegon, MI",11,Michigan
4368161,"chelsea, michigan",2,Michigan
4390481,"Detroit, MI",22,Michigan
4395481,"Ann Arbor, MI",39,Michigan
4402051,"michigan, USA",40,Michigan
4440841,"Grand Rapids, MI",3,Michigan
4522671,"Detroit, MI",1,Michigan
4529411,"Ann Arbor, MI",1,Michigan
4557581,"Sterling Heights, MI",5,Michigan
4636991,"Temperance, MI",32,Michigan
4667761,"Grand Rapids, Michigan",3,Michigan
4886671,"Grand Rapids, MI",291,Michigan
4994871,"Grand Rapids, MI",4,Michigan
5108861,"Michigan, USA",1,Michigan
5281952,"Michigan, USA",54,Michigan
5328512,"Holland, MI",1,Michigan
5383622,Hamburg MI,1,Michigan
5384992,"Kalamazoo, MI",6,Michigan
5399972,"Lansing, Michigan area",1,Michigan
5451302,Michigan,2,Michigan
5453182,"Michigan, USA",8,Michigan
5468802,"Kalamazoo, MI",8,Michigan
5500472,"Detroit, MI",3,Michigan
5505442,"Ypsilanti, MI",9,Michigan
5508982,"West Bloomfield, Michigan",1,Michigan
5551892,"Detroit, MI",1118,Michigan
5618162,"Ann Arbor, Michigan",470,Michigan
5623192,Michigan,1,Michigan
5691982,Michigan,30,Michigan
5718302,"Michigan, USA",1,Michigan
5757502,"Grand Rapids, MI",9,Michigan
5773872,"Canton, Michigan",88,Michigan
5818482,Michigan,3,Michigan
5863622,"Ferndale, MI",2,Michigan
5868352,"Michigan, USA",1,Michigan
5875842,Michigan to Los Angeles,2,Michigan
5906272,"Flat Rock, MI",2,Michigan
5926392,"Ann Arbor, MI",1,Michigan
5932192,"Dearborn, Michigan",2,Michigan
5993012,Detroit,12,Michigan
6009212,"Michigan, USA",10,Michigan
6018352,"Ann Arbor, MI",1,Michigan
6062602,"Ann Arbor, Mi",1,Michigan
6067472,Michigan,14,Michigan
6077682,"Michigan, USA",13,Michigan
6089982,"Norton Shores, Michigan",40,Michigan
6107922,"Belleville, MI",12,Michigan
6149012,"Saline, MI",9,Michigan
6209532,"Ann Arbor, MI",34,Michigan
6209862,"Traverse City, MI",4,Michigan
6212852,"Ann Arbor, MI",9,Michigan
6243402,"Ann Arbor, MI",2,Michigan
6265402,"Detroit, MI",1,Michigan
6275622,"Bay City, MI",2,Michigan
6296742,Oakland←DC←ATL,4,Michigan
6322002,Michigan,4,Michigan
6344482,"Michigan, USA",1,Michigan
6398802,Detroit,3,Michigan
6417562,"Flat Rock, MI",2,Michigan
6419372,"Grand Rapids, Michigan",5,Michigan
6430472,Michigan,5,Michigan
6449592,"Michigan, USA",9,Michigan
6457212,"Ann Arbor, MI",12,Michigan
6480582,"Detroit, MI",3,Michigan
6492232,Michigan,4,Michigan
6511122,Detroit,1,Michigan
6536382,"Detroit, MI",2,Michigan
6540712,"Ann Arbor, MI",5,Michigan
6572372,"Ann Arbor, Michigan",1,Michigan
6651022,"Ann Arbor, MI",31,Michigan
6676222,"Monroe, Michigan, USA",4,Michigan
6710782,"Holland, MI",91,Michigan
6721912,Michigan,33,Michigan
6726622,"Bangor, MI",21,Michigan
6744472,"Sanford, MI",24,Michigan
6798482,"Lansing, MI",341,Michigan
6816932,"Ypsilanti, MI",1,Michigan
6848202,"Detroit, MI",8,Michigan
6972742,"Grand Rapids, Michigan",2,Michigan
7001882,"Detroit, MI",23,Michigan
7020802,Michigan,68,Michigan
7023712,"Detroit, MI",1,Michigan
7036262,"Lansing, Michigan",32,Michigan
7072372,Michigan,1,Michigan
7077742,Detroit,2,Michigan
7079742,"Ann Arbor, MI",605,Michigan
7094272,"Grand Rapids, MI",14,Michigan
7097262,"St Johns, MI",3,Michigan
7100622,"The D, Michigan",3,Michigan
7116012,"Grand Rapids, Michigan",2,Michigan
7144282,"Michigan, USA",1317,Michigan
7153052,"Rochester Hills, Michigan",6,Michigan
7156572,"Michigan, USA",1,Michigan
7191132,"Traverse CIty, Mi",3,Michigan
7194452,"Royal Oak, MI",29,Michigan
7239632,Grand Rapids,8,Michigan
7262292,North West Lower Michigan,35,Michigan
7276542,"Grand Rapids, MI",2,Michigan
7312702,"Detroit, Michigan",42,Michigan
7318432,"Detroit, MI",1,Michigan
7319512,"Detroit, MI",7,Michigan
7395582,"Detroit, MI",1,Michigan
7400152,"Michigan, USA",3,Michigan
7415552,"Upper Peninsula(Newberry), MI",3,Michigan
7443742,Michigan,14,Michigan
7448932,"Grand Rapids, MI",3,Michigan
7494332,"Grand Rapids, MI",2,Michigan
7524022,Michigan,41,Michigan
7566262,Michigan,4,Michigan
7567112,"Michigan, USA",1,Michigan
7599802,michigan,1,Michigan
7603942,"Michigan, USA",2,Michigan
7616312,"Detroit, MI",7,Michigan
7628282,MI,4,Michigan
7630882,Michigan,117,Michigan
7659772,"Ann Arbor, MI",3,Michigan
7665502,"Oak Park, MI",5,Michigan
7709022,Michigan (but just barely),4,Michigan
7725992,Michigan,1,Michigan
7777822,Michigan :),13,Michigan
7791312,"Michigan, USA",1,Michigan
7792312,"Michigan, USA",11,Michigan
7818372,"Ferndale,  MI",5,Michigan
7824992,"Lansing, MI",3,Michigan
7826672,"Michigan, USA",5,Michigan
7851062,detroit,1,Michigan
7907242,Michigan,1,Michigan
7912342,A Pulchritudinous Area of MI,16,Michigan
7922832,"Michigan, USA",3,Michigan
7931492,Michigan,12,Michigan
8002182,"Detroit, MI",242,Michigan
8036892,Detroit,51,Michigan
8044572,"Detroit, MI",1,Michigan
8044912,"Michigan, USA",1,Michigan
8052962,"Ann Arbor, MI",23,Michigan
8107782,"Ann Arbor, MI, USA",5,Michigan
8112812,"Ypsilanti, Michigan, USA",8,Michigan
8158822,Michigan,2,Michigan
8188682,"Lansing, Michigan",32,Michigan
8210332,Michigan/LA,9,Michigan
8297802,"Flushing, MI, USA",2,Michigan
8364232,Michigan,2,Michigan
8381062,"Detroit, Michigan",76,Michigan
8409252,"Kalamazoo, MI",2,Michigan
8415882,"🏡 Michigan, Alaska / 💼 D.C.",153,Michigan
8442422,"Michigan, USA",2,Michigan
8475182,"Ann Arbor, MI",13,Michigan
8512992,"Detroit, MI",1,Michigan
8524062,"Royal Oak, MI",1,Michigan
8538962,"Detroit, MI",2,Michigan
8559292,"Ann Arbor, MI",1,Michigan
8560112,"Ann Arbor, MI",2,Michigan
8560132,"Birmingham, MI",2,Michigan
8617242,"Flushing, Michigan",7,Michigan
8638522,Somewhere in Michigan,423,Michigan
8639582,"Grand Rapids, MI",4,Michigan
8654582,Michigan,9,Michigan
8696402,"Grand Rapids, MI",1,Michigan
8714912,"Lansing area, MI",5,Michigan
