retweeted_user_id,retweeted_user_location,Count,state
2840,"Minneapolis, MN",423,Minnesota
2952,"St. Paul, MN",62,Minnesota
5409,"minneapolis, MN / Webster WI",15,Minnesota
10666,"St. Paul, MN",2,Minnesota
11933,"Minneapolis, MN",4,Minnesota
11983,"Minneapolis, MN",1,Minnesota
32423,minneapolis,1,Minnesota
36193,"Minneapolis, MN",32,Minnesota
51693,"Saint Paul, MN",21,Minnesota
55753,Minneapolis,10,Minnesota
61263,"Minneapolis, MN",10,Minnesota
61813,Minneapolis,1,Minnesota
64453,mn,1,Minnesota
68013,"Minneapolis, MN",2,Minnesota
71693,"Minneapolis, MN",2,Minnesota
82553,"Minneapolis, MN",72,Minnesota
114483,Minnesota,6,Minnesota
396883,Minneapolis,10,Minnesota
599033,"St Paul, MN",54,Minnesota
624483,"Fosston, MN, USA",1,Minnesota
648643,"Vadnais Heights, MN",12,Minnesota
651863,"Minneapolis, MN",1,Minnesota
653943,"Watertown, MN",6,Minnesota
654433,Minneapolis,4,Minnesota
658883,"South Saint Paul, MN",109,Minnesota
661703,"Minneapolis, MN",1,Minnesota
677863,"Minnesota, USA",6,Minnesota
690563,minnesota,2,Minnesota
699623,"Minnesota, USA",4,Minnesota
721273,Minneapolis,6,Minnesota
739853,"Minneapolis, MN",4,Minnesota
750573,"Minneapolis, MN",4,Minnesota
754826,"Minneapolis, MN",442,Minnesota
754993,"Minneapolis, MN",30,Minnesota
756213,Minnesota,5,Minnesota
759282,"Minneapolis, MN",1,Minnesota
760245,northern Minnesota,111,Minnesota
761960,Minnesota,2,Minnesota
772179,"Minneapolis, MN, USA",11,Minnesota
772390,"Minneapolis, MN",6,Minnesota
774539,"Saint Cloud, MN",1,Minnesota
777908,"Minnesota, USA",3,Minnesota
784743,Minneapolis,1,Minnesota
792539,"Minneapolis, MN",1,Minnesota
795117,"Robbinsdale, MN, Minneapolis",4,Minnesota
796634,"Minneapolis,MN",1,Minnesota
797057,"Morris, MN",8,Minnesota
797444,"St Paul, MN",44,Minnesota
