retweeted_user_id,retweeted_user_location,Count,state
55,"Missoula, MT",8,Montana
3961,PDX via SF from MT but NYC kid,85,Montana
6281,"Montana, USA",3,Montana
52123,"Helena, MT",23,Montana
74813,"Dillon, MT",1,Montana
646893,"Missoula, Montana",11,Montana
774870,"Columbia Falls, MT",6,Montana
822940,"Helena, MT",3,Montana
890951,"Bozeman, MT",2,Montana
1468611,"Montana, USA",1,Montana
1644991,"Bozeman, MT",6,Montana
1786711,"Whitefish, Montana ",10,Montana
1835821,"Bozeman, MT",1,Montana
1875581,PDX by way of Montana,3,Montana
2420011,"Montana, USA",1,Montana
3175741,"Bozeman, MT, USA",1,Montana
3791871,"Montana, USA",7,Montana
3935381,"Missoula, MT",4,Montana
5279801,The Hills ,125,Montana
5345712,"Helena, MT",6,Montana
5936982,"Bozeman, Montana",49,Montana
5984862,"Montana, USA",1,Montana
6816962,"Missoula, MT",19,Montana
6863182,"Missoula, MT",3,Montana
7019122,Montana,2,Montana
7094912,Beautiful Missoula Montana,2,Montana
7163372,"Missoula, MT",33,Montana
7274562,"Montana, USA",1,Montana
7303552,"Montana, USA",1,Montana
7383292,"Missoula, MT",1,Montana
7565392,Montana,2,Montana
7596242,"Montana, USA",8,Montana
7771222,"Missoula, Montana, USA",21,Montana
7957062,"Bozeman, MT",4,Montana
8312312,"Missoula, MT",2,Montana
8472812,Montana,6,Montana
8838602,"Billings, MT",5,Montana
9108422,Montana,1,Montana
9178952,NativeTexan.Montana transplant,52,Montana
9297822,"Billings, Montana",4,Montana
9468112,"Helena, MT",1,Montana
9591932,"Rexford, MT",3,Montana
9644582,"Missoula, MT",11,Montana
10105282,"Montana, USA",1,Montana
10313362,"Billings, MT",4,Montana
10473522,"Montana, USA",1,Montana
10716342,"Missoula, MT",2,Montana
10813802,"Helena, Montana",1,Montana
10923382,"Montana, USA",4,Montana
10952502,Montana,3,Montana
11037452,"Helena, Montana",1,Montana
11323792,"Cuiabá, MT",1,Montana
11651202,"Bozeman, MT",106,Montana
12188042,"Bozeman, MT",2,Montana
12258442,"Missoula, MT",5,Montana
12288222,"Livingston, MT ",8,Montana
12512982,"Big Sky, MT",3,Montana
12568062,"Helena, Montana",364,Montana
12999802,"Bozeman, MT",1,Montana
13377002,montana,10,Montana
13445532,"Montana, USA",1,Montana
13593032,"Bozeman, MT",1,Montana
14052098,"New York City & Big Sky, MT",3,Montana
14098918,"Helena, MT",1,Montana
14109423,"Big Sky, MT",2,Montana
14129792,"Billings, MT",1,Montana
14136960,"Missoula, Montana",1,Montana
14144520,"Bozeman, MT",416,Montana
14156277,Montana,3,Montana
14173908,"Montana, USA",1,Montana
14218891,"Scottsdale and Whitefish, MT",7,Montana
14219299,"Glendive, MT",3,Montana
14222036,"Bozeman, MT",1,Montana
14223478,"Montana, USA",10,Montana
14227120,"Missoula, Montana",29,Montana
14231615,"Missoula, MT",135,Montana
14245042,"Flathead Valley, MT",5,Montana
14255122,"Missoula, MT",2,Montana
14279618,"missoula, mt",3,Montana
14317052,"Bozeman, MT",3,Montana
14322133,Cuiabá - MT,5,Montana
14340947,Roma / Rotondella (Mt),1,Montana
14370402,"Bozeman, MT",2,Montana
14376243,"In Montana, or wishing I was.",1,Montana
14379896,"Butte, Montana",1,Montana
14380971,"Mt. Vernon, IL",123,Montana
14436782,"Kalispell, MT",50,Montana
14466058,"Bozeman, Montana",4,Montana
14470606,"Montana, USA",6,Montana
14497928,"Bozeman, MT",2,Montana
