retweeted_user_id,retweeted_user_location,Count,state
62,"Crystal Bay, NV",1,Nevada
3146,"Las Vegas, NV",1,Nevada
4509,"Las Vegas, NV",8,Nevada
495643,Las Vegas,1,Nevada
651343,"Las Vegas, NV",12,Nevada
706253,Las Vegas,1,Nevada
717703,"Las Vegas, NV",1,Nevada
759882,"Reno, NV",1,Nevada
769694,"Las Vegas, NV",36,Nevada
772909,"Las Vegas, NV",22,Nevada
783324,"Reno, NV",6,Nevada
819037,"Las Vegas, NV",323,Nevada
819574,"Las Vegas, NV",1,Nevada
855601,Las Vegas,148,Nevada
884311,"Las Vegas, NV",4,Nevada
904071,"Nevada, USA",1,Nevada
983081,"Verdi, NV",3,Nevada
1031621,"Las Vegas, NV",2,Nevada
1111341,"Las Vegas, NV",4,Nevada
1223981,"Nevada, USA",1,Nevada
2124321,"Reno, NV",3,Nevada
2586541,"Las Vegas, NV",1,Nevada
2694621,"Henderson, NV",48,Nevada
2749321,"Spanish Springs, NV",1,Nevada
3043371,"Henderson, NV",2,Nevada
3537371,"Las Vegas, NV",4,Nevada
3562921,Las Vegas,1,Nevada
3798271,"Las Vegas, NV",426,Nevada
3942181,"Nevada, USA",50,Nevada
4057291,"Carson City, NV",1,Nevada
4097411,"Las Vegas, NV",3,Nevada
4178601,"Las Vegas, NV",1,Nevada
4222141,Las Vegas,29,Nevada
4272971,"Las Vegas, NV",6,Nevada
4306221,Vegas,2,Nevada
4432351,"Gardnerville, NV",65,Nevada
4627791,"Las Vegas, NV",4,Nevada
5237601,"Las Vegas, NV",1,Nevada
5342172,"Las Vegas, NV",1,Nevada
5373752,"Reno, NV",6,Nevada
5753832,"Las Vegas, NV",7,Nevada
5754702,Nevada,7,Nevada
5829422,"Las Vegas, NV",1,Nevada
5885102,"Las Vegas, NV",2,Nevada
6089492,"Las Vegas, NV",6,Nevada
6116542,"Reno, NV",39,Nevada
6191282,"Reno, Nevada",1,Nevada
6192062,Almost nevada,3,Nevada
6274982,"Reno, NV",4,Nevada
6286792,"Las Vegas, NV",2,Nevada
6465082,"Las Vegas, NV",5,Nevada
6566202,"Las Vegas, NV (from SoCal)",187,Nevada
6719372,"Las Vegas, NV",2,Nevada
6724172,"Las Vegas, Nevada",16,Nevada
6878842,"Las Vegas, NV",16,Nevada
6943872,"Las Vegas, Nevada",2,Nevada
7022832,Las Vegas,31,Nevada
7032662,"Las Vegas, Nevada, USA",1,Nevada
7054612,Vegas,9,Nevada
7078592,Las Vegas,3,Nevada
7215592,"Stateline, NV",2,Nevada
7313852,"Carson City, Nevada",56,Nevada
7324432,"Henderson, Nevada USA",1,Nevada
7357622,"Las Vegas, NV",3,Nevada
7360352,"Reno, NV",1,Nevada
7393562,Las Vegas NV,1,Nevada
7465562,Las Vegas,18,Nevada
7495632,"Reno, Nevada",2,Nevada
7538712,"Las Vegas, NV",2,Nevada
7573022,Las Vegas,1,Nevada
7622782,"Reno, NV",21,Nevada
7644442,Las Vegas,8,Nevada
7725462,"Las Vegas, Nevada - USA",3,Nevada
7797312,"Las Vegas, NV",36,Nevada
7835002,"las vegas, nv",12,Nevada
7873662,"Fallon, NV",98,Nevada
7896652,"Las Vegas, NV",8,Nevada
7898462,"Las Vegas, NV, USA",6,Nevada
7924892,"Reno, NV",3,Nevada
8007362,"Las Vegas, NV, USA",4,Nevada
8016362,"Las Vegas, NV",6,Nevada
8204182,"Reno, NV",7,Nevada
8252422,"Las Vegas, NV",27,Nevada
8313462,"Reno, NV",4,Nevada
8478502,"Las Vegas, NV, USA",3,Nevada
8491482,"Las Vegas, NV",2,Nevada
8494782,"Carson City, NV",32,Nevada
8500012,"Las Vegas, NV",1,Nevada
8513082,"Las Vegas, NV",127,Nevada
8528222,"Nevada, USA",1,Nevada
