retweeted_user_id,retweeted_user_location,Count,state
30383,"Enfield, NH",3,New Hampshire
49113,"Berlin, Germany not NH.",145,New Hampshire
654963,"Portsmouth, NH",2,New Hampshire
737113,"New Hampshire, USA",2,New Hampshire
744533,"Plymouth, NH",10,New Hampshire
756343,"New Hampshire, US",205,New Hampshire
782359,"Manchester, NH",23,New Hampshire
803975,"Bow, NH",3,New Hampshire
819463,"Derry, Northern Ireland",54,New Hampshire
883141,"Nashua, NH",1,New Hampshire
1193761,"Manchester, New Hampshire",2,New Hampshire
1196381,"Durham, NH",230,New Hampshire
1197631,"Londonderry, NH",12,New Hampshire
1282741,New Hampshire,4,New Hampshire
1412241,"Lebanon, New Hampshire",2,New Hampshire
1427131,New Hampshire,1,New Hampshire
1475751,NH,291,New Hampshire
1763661,"New Hampshire, USA",2,New Hampshire
2000081,"Hillsborough, NH",8,New Hampshire
2045161,"New Hampshire, USA",37,New Hampshire
2236181,New Hampshire,3,New Hampshire
2633431,"Portsmouth, NH",4,New Hampshire
2662301,"Jaffrey, NH",1,New Hampshire
2763411,"Durham, NH",14,New Hampshire
3228971,"Dover, NH",17,New Hampshire
3378401,"Nashua, NH",1,New Hampshire
3632831,"New Hampshire, USA",195,New Hampshire
4168291,"Dover, NH",1,New Hampshire
4390571,"North Conway, NH",1,New Hampshire
4745201,"Nashua, NH",125,New Hampshire
5047181,New Hampshire,11,New Hampshire
5677182,"Bedford, New Hampshire",23,New Hampshire
5686162,"Concord, NH",30,New Hampshire
5750822,"Lee, NH",4,New Hampshire
5769572,"Manchester, New Hampshire",2,New Hampshire
5772682,"Dover, NH",1,New Hampshire
5776342,"Upper Valley, NH",30,New Hampshire
5836992,new hampshire,17,New Hampshire
5843572,"Alton Bay, New Hampshire",60,New Hampshire
5848002,New Hampshire OG/Los Angeles,12,New Hampshire
5972532,"Manchester, NH",18,New Hampshire
6023232,"Londonderry, NH",2,New Hampshire
6258862,"Goffstown, NH",1,New Hampshire
6274492,New Hampshire,3,New Hampshire
6595842,"Derry, Northern Ireland",2,New Hampshire
6607572,"Manchester, NH",1,New Hampshire
6641582,"NH, United States",7,New Hampshire
6800092,NH,23,New Hampshire
7002052,NH,5,New Hampshire
7183022,"Portsmouth, NH",4,New Hampshire
7276492,"Portsmouth, NH ",8,New Hampshire
7348222,"In front of a monitor, NH",1,New Hampshire
7404682,"Kingston, NH",2,New Hampshire
7408082,New Hampshire,2,New Hampshire
7481062,"Exeter, NH",36,New Hampshire
7510172,"Portsmouth, NH",77,New Hampshire
7856572,"New Hampshire, USA",7,New Hampshire
8011702,NH,4,New Hampshire
8046122,"Magpie House, Concord, NH",1,New Hampshire
8070232,"Concord, NH",23,New Hampshire
8448722,"Merrimack, NH",213,New Hampshire
8453202,"New Hampshire, USA",2,New Hampshire
8533302,"Tamworth, NH",16,New Hampshire
8666452,NH,8,New Hampshire
8690902,New Hampshire,428,New Hampshire
8904332,"Londonderry, NH",9,New Hampshire
8941562,"NH, USA / Ireland",807,New Hampshire
9055622,"San Jose, CA 🇺🇸 Nashua, NH",1,New Hampshire
9462112,New Hampshire,4,New Hampshire
9527512,"Dover, NH",50,New Hampshire
9689452,"Manchester, NH",1,New Hampshire
9724242,New Hampshire US,8,New Hampshire
9831002,New Hampshire,1,New Hampshire
9946492,"Sandwich, NH",2,New Hampshire
10022742,"Dorchester, New Hampshire",33,New Hampshire
10238842,New Hampshire,3,New Hampshire
10304342,"New Hampshire, US",1,New Hampshire
10403542,"Brookline, NH",2,New Hampshire
10424292,"Manchester, NH",237,New Hampshire
10534112,"Manchester, NH",20,New Hampshire
10649692,"New Hampshire, USA",164,New Hampshire
10755022,"Exeter, NH",2,New Hampshire
10849702,"Hanover, NH",3,New Hampshire
10883722,New Hampshire,10,New Hampshire
11163162,"NH, USA",10,New Hampshire
11262272,"Dover, NH, USA",1,New Hampshire
11274452,"Nashua, NH, north of Boston",18,New Hampshire
11528722,"Manchester, NH",1,New Hampshire
11552632,New Hampshire,23,New Hampshire
11602892,New Hampshire,4,New Hampshire
11633052,"Concord, NH",3,New Hampshire
11642302,"New Hampshire, USA",11,New Hampshire
11642812,"Portsmouth, NH",2,New Hampshire
11718602,"North Conway, NH",3,New Hampshire
11782232,New Hampshire,6451,New Hampshire
11824072,"Durham, NH",4,New Hampshire
11881732,"Hudson, NH",32,New Hampshire
12026552,"New Hampshire, USA",2,New Hampshire
12077502,New Hampshire,8,New Hampshire
12138642,"New Hampshire, US of A",11,New Hampshire
12284732,"Newmarket, NH",180,New Hampshire
12445962,New Hampshire,1,New Hampshire
12574902,New Hampshire,1,New Hampshire
12789972,"Laconia, NH",81,New Hampshire
12838892,"New Hampshire, USA",8,New Hampshire
13202482,"New Hampshire, USA",112,New Hampshire
13322812,New Hampshire,2,New Hampshire
13406222,"Londonderry, NH",1,New Hampshire
13467012,"Retired.  In NH, Traveling?",3,New Hampshire
13687612,"Bedford, NH",1,New Hampshire
14073885,New Hampshire,468,New Hampshire
14095277,"Portsmouth, New Hampshire",2,New Hampshire
14100823,"Manchester, NH, USA",2,New Hampshire
14101981,"Derry, Northern Ireland",1,New Hampshire
14104550,NH,14,New Hampshire
14110254,"Bethlehem, NH",9,New Hampshire
14119032,New Hampshire,12,New Hampshire
14125384,"New Hampshire, USA",16,New Hampshire
14125897,New Hampshire,38,New Hampshire
14134629,"Litchfield, NH",2,New Hampshire
14135806,New Hampshire,1,New Hampshire
14138942,"Derry, Northern Ireland",2,New Hampshire
14141433,"Sutton, NH",7,New Hampshire
14141562,New Hampshire | NH | USA,148,New Hampshire
14159059,"New Boston, NH",17,New Hampshire
14165361,"New Hampshire, USA",219,New Hampshire
14184128,"Hudson, New Hampshire",1,New Hampshire
14195182,New Hampshire,13,New Hampshire
14213629,"Manchester, NH",4,New Hampshire
