retweeted_user_id,retweeted_user_location,Count,state
6080,"ABQ, NM, USA",2,New Mexico
6843,"Las Cruces, New Mexico",2,New Mexico
11276,Taos,1,New Mexico
38683,"Albuquerque, New Mexico",16,New Mexico
50213,"Farmington, NM",2,New Mexico
118963,"Albuquerque, NM",20,New Mexico
723783,"Albuquerque, NM",1,New Mexico
754573,"Santa Fe, NM",1,New Mexico
772105,Wherever Leaders gather,1,New Mexico
796739,"Albuquerque, NM",84,New Mexico
799404,"Albuquerque, NM",1,New Mexico
799435,NM,4,New Mexico
806808,New Mexico,5,New Mexico
930551,"Albuquerque, NM",7,New Mexico
978311,"Albuquerque, NM",15,New Mexico
1120181,"The red pill, please.",98,New Mexico
1458461,"Albuquerque, New Mexico",31,New Mexico
1661401,"Santa Fe, NM",34,New Mexico
1971981,"RGV, SF Bay Area, Santa Fe, NM",6,New Mexico
2538361,"Santa Fe, NM",6,New Mexico
2974581,"Albuquerque, NM",19,New Mexico
3085601,"New Mexico, USA",28,New Mexico
3552391,"Albuquerque, NM",1,New Mexico
3650361,"New Mexico, USA",32,New Mexico
3690271,"Albuquerque, NM",3,New Mexico
3915151,"Las Cruces, NM",18,New Mexico
4240721,"Taos, New Mexico ",105,New Mexico
5165721,"Albuquerque, NM",31,New Mexico
5393372,"Santa Fe, NM",4,New Mexico
5447942,"Albuquerque, New Mexico",2,New Mexico
5514542,"Gallup, NM",17,New Mexico
5613062,"Albuquerque, NM",1,New Mexico
5620972,Learning to fool AGI,51,New Mexico
5790862,"Albuquerque, NM",1,New Mexico
5950872,"Albuquerque, NM",1231,New Mexico
6530582,"Santa Fe, NM",5,New Mexico
6605062,"Albuquerque, New Mexico",1,New Mexico
6643852,"Truth or Consequences, NM",6,New Mexico
6670372,New Mexico,688,New Mexico
6715402,"Albuquerque, NM",449,New Mexico
6733392,"Los Alamos, NM",183,New Mexico
6821602,"Santa Fe, New Mexico",42,New Mexico
6842112,"Albuquerque, NM, USA",419,New Mexico
6973202,"Albuquerque, NM",6,New Mexico
7005942,"Santa Fe, NM",5,New Mexico
7078412,"Albuquerque, NM",4,New Mexico
7178012,New Mexico,100,New Mexico
