retweeted_user_id,retweeted_user_location,Count,state
10482,"Fargo, ND",3,North Dakota
609693,"Minot, ND",22,North Dakota
652223,"Fargo, ND",1,North Dakota
765059,"North Dakota, USA",10,North Dakota
967791,"Fargo, ND",215,North Dakota
1194791,"hayward, ca",1,North Dakota
1511891,"Fargo,ND",4,North Dakota
1588391,"Grand Forks, ND",54,North Dakota
2961431,///​sputtering.gold.backward,21,North Dakota
2994301,"downtown Fargo, North Dakota",1,North Dakota
4395761,"Bismarck, ND",4,North Dakota
5940232,"Fargo, ND",27,North Dakota
7275212,"Fargo, ND",1,North Dakota
7665642,"Fargo, ND",2,North Dakota
7886732,"Fargo, ND",2,North Dakota
9874902,Eyes forward,52,North Dakota
11562732,"North Dakota, USA",2,North Dakota
11999312,"Grand Forks, North Dakota",1,North Dakota
12224112,"Fargo, ND",4,North Dakota
12519962,"Fargo, ND",1,North Dakota
13921332,"Bismarck, North Dakota",76,North Dakota
14093037,"Buxton, North Dakota",1,North Dakota
14112183,Billings MT,1,North Dakota
14152630,"North Dakota, USA",1,North Dakota
14173790,"Fargo, ND ",59,North Dakota
14176626,"Bismarck, ND",1,North Dakota
14189016,"North Dakota, USA",70,North Dakota
14226732,"Fargo, North Dakota ",3,North Dakota
14240488,"virtual world (also seen in Fargo, ND)",1,North Dakota
14398594,"Bismarck, North Dakota",1,North Dakota
14426692,"Fargo, ND",1,North Dakota
14432868,North Dakota,3,North Dakota
14456057,"Bismarck ,ND ",423,North Dakota
14570260,"Fargo, ND",1,North Dakota
14763997,"Fargo, ND",11,North Dakota
14827345,"Fargo, ND",7,North Dakota
14912853,"Fargo, ND",2,North Dakota
15000546,"Rugby, North Dakota",242,North Dakota
15001630,North Dakota,1,North Dakota
15025220,"Hayward, Ca",1,North Dakota
15035679,"Fargo, ND",2,North Dakota
15097177,"Fargo, ND",2,North Dakota
15125430,"Grand Forks, ND",2,North Dakota
15233394,"Stanton & Bismarck, ND",5,North Dakota
15235924,"Fargo, ND",1,North Dakota
15322113,North Dakota,45,North Dakota
15393019,North Dakota,6,North Dakota
15409385,"Grand Forks, ND",1,North Dakota
15429045,"West Fargo, ND",13,North Dakota
15454580,"Grand Forks, ND",2,North Dakota
15473585,North Dakota,4,North Dakota
15519845,North Dakota,1,North Dakota
15532687,"Fargo, ND",5,North Dakota
15549475,"West Fargo, ND",16,North Dakota
15565351,"Fargo, ND",2,North Dakota
15634268,"Bismarck, ND",3,North Dakota
