retweeted_user_id,retweeted_user_location,Count,state
509,"Portland, OR",787,Oregon
541,"Portland, OR",4,Oregon
4579,planet earth,1,Oregon
7384,"Portland, OR",3,Oregon
8250,"Bat Country, Oregon",1,Oregon
9846,"Portland, OR",3,Oregon
11070,Oregon,2,Oregon
11640,Portland Oregon,2,Oregon
11677,"Portland, OR",9,Oregon
11923,"Portland, OR",11,Oregon
12148,"Portland, OR",4,Oregon
12407,"Portland, OR",2,Oregon
16373,"portland, oregon",38,Oregon
29023,Oregon,44,Oregon
34913,"Portland, OR",2,Oregon
35293,"Portland, OR",10,Oregon
35683,"Portland, OR",4,Oregon
38753,"Portland, OR",1,Oregon
39003,"Portland, OR",2,Oregon
51813,"Portland, OR",2,Oregon
59313,"Portland, OR",6,Oregon
72713,The fast lane,1,Oregon
76463,"Portland, OR",1,Oregon
76713,"Portland, OR",1,Oregon
77623,Oregon,1,Oregon
109023,"Portland, OR",36,Oregon
311893,"Portland, OR",1,Oregon
600123,"Portland, OR",1,Oregon
612193,"Portland, Oregon",1,Oregon
616053,"Portland, OR",3,Oregon
619433,"Portland, OR",42,Oregon
623213,Portland,15,Oregon
626103,"Portland, OR",3,Oregon
636423,"Portland, OR",3,Oregon
637113,"Portland, OR",2,Oregon
646103,"Portland, OR",1,Oregon
647403,"Portland, Oregon",6,Oregon
652073,"Portland, OR",16,Oregon
662813,"Portland, OR",1,Oregon
663333,"Eugene, Oregon",3,Oregon
683033,"Portland, OR",36,Oregon
688413,"Portland, OR",1,Oregon
696113,"Portland, OR",9,Oregon
696343,Portland,1,Oregon
696793,"Eugene ,Oregon, USA",11,Oregon
697363,The feminist planets ,42,Oregon
706483,"Salem, OR",20,Oregon
711453,Planet earth for now,34,Oregon
734483,"Portland, OR",4,Oregon
735333,"Portland, OR",6,Oregon
741803,"Portland, OR",1,Oregon
749013,"Bend, Oregon",1,Oregon
753063,"Willamette Valley, Oregon",36,Oregon
753743,"Salem, Oregon",512,Oregon
756615,"Portland, OR",1,Oregon
757921,"Portland, OR",2,Oregon
758758,"Portland, OR",10,Oregon
759290,"Oregon, USA",29,Oregon
759636,"Portland, OR",2,Oregon
764847,"portland, or",7,Oregon
766560,"Portland, Oregon",3,Oregon
773150,"Portland, OR",3,Oregon
777846,"Beavercreek, Oregon, US",6,Oregon
778037,planet lovetron.,455,Oregon
780198,"Portland, OR",1,Oregon
782126,"Portland, OR",16,Oregon
783891,"Portland, OR",3,Oregon
786750,"Portland, OR",43,Oregon
787799,"Portland, OR",15,Oregon
788094,"Portland, OR",6,Oregon
791300,"Portland, Or.",27,Oregon
796107,"Corvallis, Oregon",33,Oregon
797546,Portland,13,Oregon
802112,"Portland, OR",1,Oregon
815661,"Portland, Oregon",6,Oregon
815736,Portland OR,16,Oregon
818340,"Portland, OR",19,Oregon
820678,"Portland, Oregon, USA",1,Oregon
823012,"Portland, OR",10,Oregon
874811,"Portland, OR",27,Oregon
882651,Not THAT Oregon,1,Oregon
883321,"Portland, Oregon",27,Oregon
896061,Portland,6,Oregon
904411,"Portland, OR",90,Oregon
931471,Citizen of the Planet,1,Oregon
1072601,Southern Oregon,1,Oregon
1117541,"Portland, OR",1,Oregon
1201331,"Portland, OR",2,Oregon
1263091,"Portland, OR",7,Oregon
1295571,"Portland, OR",7,Oregon
1316951,"Portland, OR",6,Oregon
1340521,"Portland, OR",12,Oregon
1366061,Portland,32,Oregon
1374361,"Portland, OR",7,Oregon
1384531,"Portland, OR",2,Oregon
1467621,Oregon,284,Oregon
1473431,"Gleneden Beach, Oregon",19,Oregon
1527781,"Portland, OR",6,Oregon
1674491,"Portland, OR",32,Oregon
1679981,"Portland, OR",2,Oregon
1701711,"Portland, OR",1,Oregon
1766071,"Portland, OR",1,Oregon
1771221,Some hill in Oregon,3,Oregon
1774951,"Portland, OR",1,Oregon
1781201,"Portland, Oregon ",17,Oregon
1817221,"Portland, OR",111,Oregon
1834991,"Oregon, Wisconsin",77,Oregon
1843421,"Portland, OR",2,Oregon
1860571,the remnants of planet earth,41,Oregon
1919231,"Portland, OR",4,Oregon
1941471,"Portland, OR",88,Oregon
1949221,"Portland, OR",1,Oregon
1953611,"Portland, OR",6,Oregon
1968231,"Portland, Oregon",1,Oregon
1979291,"Portland, OR",10,Oregon
2030101,"Gresham, Oregon",1,Oregon
2036211,"Portland, OR",4,Oregon
2067991,"Ashland, OR",2,Oregon
2076541,"Portland, Oregon",1,Oregon
2131801,Oregon ,1,Oregon
2132641,"Portland, OR",55,Oregon
2143761,"Portland, Oregon",1,Oregon
2209581,Oregon,12,Oregon
2221381,"Beaverton, OR",114,Oregon
2227611,❤ in NZ. 🦶 in OR.,2,Oregon
2244241,"Portland, Oregon",8,Oregon
2330961,"Portland, OR",56,Oregon
2333631,"Oregon, USA",4,Oregon
2388041,"Portland, OR",2,Oregon
2547301,"Portland, OR",1,Oregon
2656161,"Portland, OR",6,Oregon
2740961,"Portland, OR",1,Oregon
2772041,"Portland, OR",285,Oregon
2797681,"portland, oregon",1,Oregon
2857181,"Salem, Oregon",68,Oregon
2877611,"Salem, OR",5,Oregon
2891781,"Portland, OR",4,Oregon
2897551,Portland,9,Oregon
2906421,"Portland, OR",2,Oregon
2910971,"Oregon, USA",580,Oregon
2925101,"Portland, OR",7,Oregon
2992751,"Portland, Oregon",237,Oregon
3023811,"Portland, OR",15,Oregon
3026521,"Portland, OR",1,Oregon
3106601,"Eugene,Oregon",14,Oregon
3181211,"Portland, Oregon, USA",156,Oregon
3226661,"Veneta, OR",11,Oregon
3322961,"Portland, OR",5,Oregon
3385331,"Milwaukie, Oregon",1,Oregon
3397151,"Hillsboro, OR",10,Oregon
3473921,"Beaverton, OR",1,Oregon
3500831,Planet of the Apes,49,Oregon
3526251,"Portland, OR",20,Oregon
3570491,"Oregon, USA",7,Oregon
