retweeted_user_id,retweeted_user_location,Count,state
566923,"Palmas del Mar, Puerto Rico",51,Puerto Rico
758692,"San Juan, Puerto Rico",3,Puerto Rico
777853,Puerto Rico,1,Puerto Rico
2198201,Puerto Rico ,1,Puerto Rico
2356171,"Manatí, Puerto Rico, USA",12,Puerto Rico
3177601,"San Juan, Puerto Rico",55,Puerto Rico
3460751,"Dorado, Puerto Rico",13,Puerto Rico
3730261,Puerto Rico,2,Puerto Rico
5282232,Puerto Rico,76,Puerto Rico
5564772,"Caguas, Puerto Rico",1,Puerto Rico
6166742,Puerto Rico,4,Puerto Rico
6472022,"Puerto Rico, USA",2,Puerto Rico
6724152,Puerto Rico,4,Puerto Rico
7083232,Puerto Rico,1,Puerto Rico
7445912,"San Juan, Puerto Rico",64,Puerto Rico
7749362,Puerto Rico,23,Puerto Rico
7935522,Puerto Rico,11,Puerto Rico
8432752,"Caguas, Puerto Rico",5,Puerto Rico
8795952,"San Juan, Puerto Rico",9,Puerto Rico
9027832,Puerto Rico,1,Puerto Rico
9765022,"Toa Alta, Puerto Rico",2,Puerto Rico
10338632,Puerto Rico,2,Puerto Rico
10381632,"Puerto Rico, USA",1,Puerto Rico
11404852,Puerto Rico,1,Puerto Rico
12648352,puerto rico,17,Puerto Rico
12661512,Puerto Rico,167,Puerto Rico
12947502,"Aguadilla, Puerto Rico",6,Puerto Rico
13393052,"50 states, DC, & Puerto Rico",252,Puerto Rico
13653472,"Puerto Rico, USA",1,Puerto Rico
13962572,"San Juan, Puerto Rico",29,Puerto Rico
13973762,Puerto Rico,31,Puerto Rico
14062799,Puerto Rico,1,Puerto Rico
14077958,Puerto Rico ,770,Puerto Rico
14104459,"Puerto Rico, USA",14,Puerto Rico
14105955,"Vega Alta, Puerto Rico",1,Puerto Rico
14111191,Puerto Rico,2,Puerto Rico
14223578,Los Angeles | Puerto Rico,1,Puerto Rico
14294263,Puerto Rico,10,Puerto Rico
14312675,Puerto Rico,46,Puerto Rico
14466139,Puerto Rico,3,Puerto Rico
14500421,"Zeta Reticuli, Puerto Rico",39,Puerto Rico
14530607,Puerto Rico,38,Puerto Rico
14589854,"San Juan, USA",4,Puerto Rico
14622098,"Puerto Rico, USA",55,Puerto Rico
14626302,"Canóvanas, Puerto Rico",3,Puerto Rico
14643661,Puerto Rico,3,Puerto Rico
14660721,Puerto Rico,33,Puerto Rico
14675633,N 18°30' 0'' / W 67°7' 0'',42,Puerto Rico
14695985,"U.S., Canada, Puerto Rico",414,Puerto Rico
14708664,Puerto Rico,1,Puerto Rico
14726149,"Levittown, Puerto Rico",3,Puerto Rico
14748327,Puerto Rico,15,Puerto Rico
14791956,"Puerto Rico, USA",1,Puerto Rico
14855184,Puerto Rico,9,Puerto Rico
14911122,"Ciales, Puerto Rico",20,Puerto Rico
14951820,Somewhere in Puerto Rico,9,Puerto Rico
14974993,Puerto Rico,20,Puerto Rico
15036885,Puerto Rico,1,Puerto Rico
15138373,"Puerto Rico, USA",12,Puerto Rico
15224855,"San Juan, Puerto Rico",20,Puerto Rico
15228229,"Denver, Puerto Rico, New York",18,Puerto Rico
15287435,All 50 States and Puerto Rico,2,Puerto Rico
15334423,NYC . Wellness . Puerto Rico ,5,Puerto Rico
15338940,"San Juan, Puerto Rico",145,Puerto Rico
15343234,"San Juan, Puerto Rico",17,Puerto Rico
15375870,Puerto Rico,6,Puerto Rico
15383850,Puerto Rico,5,Puerto Rico
15388622,Puerto Rico,2,Puerto Rico
15435173,Puerto Rico 🇵🇷,8,Puerto Rico
15445622,"Underwater, Puerto Rico",8,Puerto Rico
15463848,Puerto Rico,1,Puerto Rico
15499356,Puerto Rico,4,Puerto Rico
15519304,"San Juan, Puerto Rico",85,Puerto Rico
15523723,Puerto Rico,2,Puerto Rico
15548933,"San Juan, Puerto Rico",1,Puerto Rico
15618831,"San Juan, Puerto Rico",1,Puerto Rico
15666807,Puerto Rico,23,Puerto Rico
15683304,Puerto Rico,9,Puerto Rico
15707767,Puerto Rico,1,Puerto Rico
15713734,"Guayama, Puerto Rico",2,Puerto Rico
15726324,Puerto Rico,478,Puerto Rico
15737175,Puerto Rico,186,Puerto Rico
15752695,"San Juan, Puerto Rico",637,Puerto Rico
15785618,Puerto Rico,7,Puerto Rico
15801659,puerto rico,2,Puerto Rico
15817213,"San Juan, Puerto Rico",1,Puerto Rico
15830820,Puerto Rico,18,Puerto Rico
15839251,Puerto Rico,3,Puerto Rico
15937596,"San Juan, Puerto Rico",15,Puerto Rico
16051560,Puerto Rico/Austin/Detroit,138,Puerto Rico
16062658,Puerto Rico,1,Puerto Rico
16071068,Puerto Rico,1,Puerto Rico
16225879,Puerto Rico,4,Puerto Rico
16226050,"San Juan, Puerto Rico 📍🇵🇷",9,Puerto Rico
16227991,"San Juan, Puerto Rico (USA)",6,Puerto Rico
16231515,"San Juan, Puerto Rico",2,Puerto Rico
16390665,"San Juan, Puerto Rico",84,Puerto Rico
16401150,"San Juan, Puerto Rico",2,Puerto Rico
16405504,Puerto Rico/Boston,29,Puerto Rico
16442627,"Cataño, Puerto Rico",1,Puerto Rico
16477107,"Puerto Rico, USA",1,Puerto Rico
16491902,"San Juan, Puerto Rico",1,Puerto Rico
16516913,"San Juan, USA",1,Puerto Rico
16574650,Puerto Rico,1,Puerto Rico
16672670,Puerto Rico,1,Puerto Rico
16701124,"Arecibo, Puerto Rico",1,Puerto Rico
16712385,"Vega Baja, Puerto Rico",12,Puerto Rico
16742540,Puerto Rico,5,Puerto Rico
16841675,Puerto Rico,10,Puerto Rico
16846036,Puerto Rico,65,Puerto Rico
16867527,Puerto Rico,1,Puerto Rico
16881749,"Bayamon, Puerto Rico",12,Puerto Rico
16959701,"Puerto Rico, USA",23,Puerto Rico
16996567,"San Juan, Puerto Rico",90,Puerto Rico
16998049,"Cayey, Puerto Rico",2,Puerto Rico
17075703,"Rincón, Puerto Rico",43,Puerto Rico
17076430,"Puerto Rico, Vietnam",1,Puerto Rico
17096753,"San Juan, Puerto Rico",5,Puerto Rico
17107040,Puerto Rico,1,Puerto Rico
17146471,"Ocean Park, Puerto Rico 00913",4,Puerto Rico
17165935,"San Juan, Puerto Rico",9,Puerto Rico
17198366,"San Juan, USA",8,Puerto Rico
17199116,"Carolina, Puerto Rico",1,Puerto Rico
17362207,Puerto Rico,2,Puerto Rico
17452579,"Puerto Rico, USA",7,Puerto Rico
17454880,"Juncos, Puerto Rico",1,Puerto Rico
17475652,Puerto Rico,1,Puerto Rico
17520635,"San Juan, Puerto Rico",5,Puerto Rico
17610906,"San Juan, Puerto Rico",40,Puerto Rico
17646863,Puerto Rico,3,Puerto Rico
17729170,"Puerto Rico, USA",10,Puerto Rico
17744829,Puerto Rico,8,Puerto Rico
17810847,"Puerto Rico, USA",13,Puerto Rico
17857339,"Ponce, Puerto Rico",1,Puerto Rico
17934677,Puerto Rico,8,Puerto Rico
17978335,Puerto Rico,15,Puerto Rico
18010541,"Isla Verde, Puerto Rico",1,Puerto Rico
18056328,Puerto Rico,1,Puerto Rico
18157460,"San Juan, Puerto Rico 00918",91,Puerto Rico
18200348,Puerto Rico,1,Puerto Rico
18209692,"San Juan, Puerto Rico",26,Puerto Rico
18237002,NYC  /  Puerto Rico,3,Puerto Rico
18246917,Puerto Rico,36,Puerto Rico
18304281,"Bayamón, Puerto Rico",4,Puerto Rico
18358585,"Carolina, Puerto Rico",76,Puerto Rico
18424616,"San juan, Puerto Rico",2,Puerto Rico
18454539,"Puerto Rico, USA",1,Puerto Rico
18494510,I’d rather be in Puerto Rico,5,Puerto Rico
18506474,Puerto Rico,7,Puerto Rico
18545704,Puerto Rico,1,Puerto Rico
18594401,"San Juan, Puerto Rico",2,Puerto Rico
