retweeted_user_id,retweeted_user_location,Count,state
8180,"Providence, RI",1,Rhode Island
620733,"East Providence, RI",28,Rhode Island
639743,"Providence, RI",5,Rhode Island
658383,"East Providence, RI",9,Rhode Island
729003,Rhode Island,106,Rhode Island
735313,RI ⚓,4,Rhode Island
741463,"Providence, RI",3,Rhode Island
755990,"Rhode Island, USA",28,Rhode Island
756224,"Providence, RI",4,Rhode Island
774980,RI,15,Rhode Island
779202,RI,15,Rhode Island
787583,"Providence, RI",2,Rhode Island
795485,DAY-LAX-CHI-Kentucky,16,Rhode Island
799793,"Exeter, RI",6,Rhode Island
809256,"East Greenwich, RI",1,Rhode Island
817770,"RI, via BKLN, via SEA, via PDX",6,Rhode Island
896381,"Rhode Island, USA",7,Rhode Island
1219191,"Smithfield, RI",10,Rhode Island
1531231,"Providence, RI",4,Rhode Island
1766041,Rhode Island,1,Rhode Island
2486431,Rhode Island,12,Rhode Island
2751391,"Headcorn, Kent",1,Rhode Island
3339331,Rhode Island,7,Rhode Island
3731171,"Providence, RI",1,Rhode Island
3909381,"Pawtucket ,Rhode Island USA",1,Rhode Island
4179931,"Providence, RI",3,Rhode Island
4285061,"Providence, RI",1,Rhode Island
5498262,"Providence, RI",16,Rhode Island
5643682,Rhode Island (U.S),94,Rhode Island
5866152,"Providence, RI",5,Rhode Island
5971902,Rhode Island,1,Rhode Island
6092922,"Warwick, RI",17,Rhode Island
6109162,"Cranston, RI",55,Rhode Island
6370682,"Providence, RI",1,Rhode Island
6622192,"Providence, RI",52,Rhode Island
6743862,"Jamestown, RI",33,Rhode Island
6798702,"Rhode Island, USA",1,Rhode Island
6903632,Rhode Island,1,Rhode Island
7165082,"Newport, RI",114,Rhode Island
7275592,Rhode Island,14,Rhode Island
7349262,"Rhode Island, unfortunately.",6,Rhode Island
7350392,"Rhode Island, USA",142,Rhode Island
7615572,"Providence, RI",2,Rhode Island
7774822,"Newport, RI",37,Rhode Island
7867332,"Rhode Island, USA",5,Rhode Island
7881732,"Providence, RI",5,Rhode Island
7957682,"Providence, RI",9,Rhode Island
7977912,"Providence, RI",17,Rhode Island
8055862,"Newport, RI",4,Rhode Island
8110562,"Providence, RI",5,Rhode Island
8191432,"Providence, RI",9,Rhode Island
8241152,"Rhode Island, USA",57,Rhode Island
8306072,"Providence, RI",2,Rhode Island
8750422,"Providence, RI",1,Rhode Island
8933022,"Rhode Island, USA",1,Rhode Island
8935302,Rhode Island ,1,Rhode Island
9146652,"Providence, RI",1,Rhode Island
9226612,"Warwick, RI",1,Rhode Island
9248972,"RI, USA",4,Rhode Island
9664212,"Providence, RI, USA",68,Rhode Island
10061342,"prov, ri",1,Rhode Island
10742052,"Rhode Island, USA",1,Rhode Island
10909322,Rhode Island,10,Rhode Island
10926302,Now RI but always on the move,6,Rhode Island
10993392,"Newport, RI",362,Rhode Island
11106402,"Jamestown, RI",1,Rhode Island
11338822,Rhode Island,37,Rhode Island
12143482,Rhode Island. Grew up: Indiana,137,Rhode Island
12269472,Rhode Island,3,Rhode Island
12377752,Rhode Island,2,Rhode Island
12410632,"Kingston, RI",2,Rhode Island
12447852,"Sakkashiddick, RI",410,Rhode Island
12615382,"Westerly, RI",45,Rhode Island
13125312,"Providence, RI",3,Rhode Island
13129172,"Pawtucket, RI 02860",364,Rhode Island
13504432,RI,13,Rhode Island
13640012,Rhode Island,1,Rhode Island
13735352,Rhode Island ,194,Rhode Island
13757272,"Rhode Island, USA",6,Rhode Island
14049683,"East Providence, RI",5,Rhode Island
14098189,"Providence, RI",4,Rhode Island
14103549,"Providence, RI",25,Rhode Island
14118161,RI,1,Rhode Island
14122248,"East Greenwich, RI",6,Rhode Island
14139469,RI,8296,Rhode Island
14147667,"Rhode Island, USA",11,Rhode Island
14149021,Rhode Island,3,Rhode Island
14158568,"Providence, RI",2,Rhode Island
14166651,"Providence, RI",1,Rhode Island
14172355,"Providence, RI",27,Rhode Island
14172581,"Providence, RI",11,Rhode Island
14179549,Rhode Island,1,Rhode Island
14180038,Rhode Island,330,Rhode Island
14182166,"Providence, RI",5,Rhode Island
14182526,"Providence, RI",3,Rhode Island
14208241,"Providence, RI",193,Rhode Island
14221846,"Providence, RI",18,Rhode Island
14225794,"Cranston, RI",5,Rhode Island
14229218,"RI, USA",21,Rhode Island
14229704,"Rhode Island, USA",5,Rhode Island
14247990,"Providence, RI",7,Rhode Island
14266429,"Rhode Island, USA",3,Rhode Island
14280299,"Providence, RI",1003,Rhode Island
14299925,Rhode Island,3,Rhode Island
14317048,"Providence, RI",87,Rhode Island
14326751,"Deal, Kent",1,Rhode Island
14344501,"Pawtucket, RI",18,Rhode Island
14346823,"Providence, RI",48,Rhode Island
14353610,"East Providence, RI",1,Rhode Island
14354091,"Providence, RI",74,Rhode Island
14360801,"Cumberland, RI",1,Rhode Island
14379094,RI,1,Rhode Island
14385347,"East Greenwich, Rhode Island",16,Rhode Island
14388513,"Westerly, RI",4,Rhode Island
14436409,"Warwick, RI",1,Rhode Island
14451904,"Providence, RI",20,Rhode Island
14487329,"Providence, RI",41,Rhode Island
14513315,"Providence, Rhode Island",8,Rhode Island
14526626,"Warwick, RI",2,Rhode Island
14528931,"Rhode Island, USA",11,Rhode Island
14533651,Rhode Island,163,Rhode Island
14537415,Rhode Island,12,Rhode Island
14549538,Rhode Island,1,Rhode Island
14568150,"Providence, Rhode Island",84,Rhode Island
14579083,Ri' chere,5,Rhode Island
14582523,"Lincoln, RI",9,Rhode Island
14608756,Rhode Island,17,Rhode Island
14662551,"Peace Dale, RI",1,Rhode Island
14701062,Providence Rhode Island,6,Rhode Island
14713323,Rhode Island,4,Rhode Island
14730213,Rhode Island,5,Rhode Island
14771540,"Rhode Island, USA",1,Rhode Island
14841097,"Rhode Island, USA",3,Rhode Island
14850533,"Providence, RI",162,Rhode Island
14861215,"Rhode Island, USA",7,Rhode Island
14861444,Rhode Island,90,Rhode Island
14867508,"Providence, RI",44,Rhode Island
