retweeted_user_id,retweeted_user_location,Count,state
12668,Portchester,2,South Carolina
75443,"Greenville, SC",8,South Carolina
618373,South Carolina,42,South Carolina
684283,"Charleston, SC",39,South Carolina
719823,"Charleston, SC",4,South Carolina
756060,"Greenville, SC",1,South Carolina
757775,"Charleston, South Carolina",2,South Carolina
774798,"Spartanburg, SC",2,South Carolina
798716,"Irmo, South Carolina",1,South Carolina
810940,"Seneca, SC",4,South Carolina
823748,"Greenville, SC",89,South Carolina
957751,South Carolina,32,South Carolina
982451,"Summerville, SC",10,South Carolina
1008011,"Williamston, SC",6,South Carolina
1123841,"Florence, SC",57,South Carolina
1414391,South Carolina ,1,South Carolina
1536721,"Charleston, SC",1,South Carolina
2056181,"Florence, SC",4,South Carolina
2240871,"Charleston, SC",4,South Carolina
3041191,"Greenville, SC",1,South Carolina
3238871,"Greenville, SC",3,South Carolina
3505241,"South Carolina, USA",16,South Carolina
3538721,"Charleston, SC",19,South Carolina
3623431,"South Carolina, USA",7,South Carolina
3889171,"Easley, SC",4,South Carolina
3931631,"Murrells Inlet, SC",1,South Carolina
4258171,"Seneca, South Carolina",34,South Carolina
4391061,"Charleston, SC",2,South Carolina
4620371,"Florianópolis, SC, Brasil",15,South Carolina
4929251,South Carolina,1,South Carolina
4958941,"Charleston, SC",4,South Carolina
5370972,South Carolina,13,South Carolina
5465802,Casa De Sasa in SC,1,South Carolina
5559752,"Greenville, SC",2,South Carolina
5620602,"Irmo, SC",8,South Carolina
5724052,"Charleston, SC",1,South Carolina
5744132,"Fort Mill, SC via Hamburg, NY",4,South Carolina
5770812,"Charleston, SC",2,South Carolina
5775682,"Darlington County, SC",51,South Carolina
5918882,"South Carolina, USA",1,South Carolina
6077922,South Carolina,20,South Carolina
6169112,SC,11,South Carolina
6185362,SC,2,South Carolina
6198862,South Carolina,13,South Carolina
6448372,"Columbia, South Carolina",2,South Carolina
6478182,"Mount Pleasant, SC",289,South Carolina
6479532,"Charleston, SC",2,South Carolina
6516392,"Greenville, SC",5,South Carolina
6598372,"Columbia, SC",1,South Carolina
6620972,"Charleston, SC",1,South Carolina
6645552,"Charleston, SC",1,South Carolina
6719772,South Carolina,1,South Carolina
6782452,"York, SC",3,South Carolina
6790912,newyork,10,South Carolina
6812882,"Charleston, SC",3,South Carolina
6832532,"Chester County, PA",32,South Carolina
6840782,"Charleston, SC",9,South Carolina
6863802,South Carolina,23,South Carolina
6894362,"Columbia, SC",15,South Carolina
6895452,"Bluffton, SC",1,South Carolina
6937352,"Saint Matthews, SC.",1,South Carolina
7061372,"Greenville, South Carolina",4,South Carolina
7187812,"Greenville, SC",25,South Carolina
7214092,"Piedmont, SC",288,South Carolina
7227042,"Spartanburg, SC",22,South Carolina
7417532,"Charleston, SC",98,South Carolina
7443022,"Columbia, SC",3,South Carolina
7454982,"Charleston, South Carolina",2,South Carolina
7458942,"Florence, SC",112,South Carolina
7488692,South Carolina,7,South Carolina
7598192,"Indian Land, South Carolina",6,South Carolina
7693772,"SC, USA",9,South Carolina
7727222,"Greenville, SC",2,South Carolina
8069672,"Charleston, SC",2,South Carolina
8109802,"Charleston, SC",1,South Carolina
8141422,"Charleston, SC",2,South Carolina
8196342,"Greenville, SC",1,South Carolina
8250332,"Conway, SC",1,South Carolina
8363652,"Greenville, South Carolina",2,South Carolina
8434572,"South Carolina, USA",22,South Carolina
8442592,"Columbia, SC",9,South Carolina
8504022,"Easley, SC",2,South Carolina
8593372,"Charleston, SC",1,South Carolina
8615482,"Charleston, SC",3,South Carolina
8633692,"York, SC",1,South Carolina
8724152,"Columbia, SC",1,South Carolina
8750072,"South Carolina, USA",64,South Carolina
8756122,"South Carolina, USA",118,South Carolina
8814682,"North Myrtle Beach, SC",11,South Carolina
