retweeted_user_id,retweeted_user_location,Count,state
1593,"Nashville, TN",11,Tennessee
3750,"Tennessee, Tourists Go Home!",69,Tennessee
7096,"Chattanooga, TN",2,Tennessee
11840,"chattanooga, tn",4,Tennessee
11946,TN,11,Tennessee
23873,"Nashville, Tennessee",58,Tennessee
28413,"Knoxville, TN",3,Tennessee
42643,"Cookeville, TN",2,Tennessee
45633,"{east} nashville, tn",4,Tennessee
51983,Memphis,6,Tennessee
65513,Nashville,187,Tennessee
111743,"Nashville, TN",28,Tennessee
353373,"Nashville, TN",453,Tennessee
592313,Nashville,24,Tennessee
629713,"Brentwood, TN",3,Tennessee
659433,"Brentwood, TN",1,Tennessee
681503,"Nashville, TN",1,Tennessee
696513,"Nashville, TN",21,Tennessee
697243,Nashville,2,Tennessee
749843,"Chattanooga, TN",3,Tennessee
761556,"TN, USA",1,Tennessee
774164,"Franklin, TN, USA",1,Tennessee
774741,"Nashville, TN",4,Tennessee
779451,Nashville,5,Tennessee
783682,"Memphis, TN",19,Tennessee
785655,"Nashville, TN",2,Tennessee
790048,"Nashville, TN",6,Tennessee
804295,"Montgomery County, Maryland",7,Tennessee
805326,"Nashville, TN",1,Tennessee
813421,"Nashville, TN",27,Tennessee
818647,Nashville,2,Tennessee
819540,"nashville, tn",3,Tennessee
820272,"Nashville, TN",3,Tennessee
834021,Nashville,13,Tennessee
834051,"Nashville, TN",1,Tennessee
834201,"Nashville, TN",152,Tennessee
878591,"Chattanooga, TN",2,Tennessee
886551,"Nashville, Tennessee",1,Tennessee
890381,"Knoxville, TN",3,Tennessee
895481,"Nashville, TN",2,Tennessee
906721,"Signal Mountain, TN",8,Tennessee
909101,"Dyer, TN",1,Tennessee
935801,"Knoxville, TN",42,Tennessee
979861,Nashville,7,Tennessee
1018921,"Knoxville, TN",175,Tennessee
1076081,Nashville TN,9,Tennessee
1088921,"Nashville, TN",9,Tennessee
1091511,"Maryville, TN",19,Tennessee
1093821,"Memphis, TN",2,Tennessee
1198931,"Brentwood, TN",3,Tennessee
1200241,"Sewanee, TN",12,Tennessee
1247731,Tennessee,3,Tennessee
1279701,"Knoxville, TN",153,Tennessee
1299581,East Tennessee,2,Tennessee
1366741,"Nashville, TN",20,Tennessee
1374261,"Nashville, TN",43,Tennessee
1389291,"Nashville, TN",15,Tennessee
1402321,"TN, United States",6,Tennessee
1464001,"Memphis, TN",1,Tennessee
1474071,Nashville,7,Tennessee
1479321,"Spring Hill, TN",1,Tennessee
1500361,"Palmyra, Tennessee, USA",1,Tennessee
1586811,"Nashville, TN",5,Tennessee
1588291,"TN via NM, OK, TX, CA, CO, MI.",182,Tennessee
1628281,"Chattanooga, TN",7,Tennessee
1694311,"Nashville, TN",41,Tennessee
1705291,"Maryville, TN",39,Tennessee
1712571,"Chattanooga, TN",13,Tennessee
1783241,Nashville,2,Tennessee
1865941,"Nashville, TN",36,Tennessee
1866711,"Memphis, TN",77,Tennessee
1885121,"Crossville, TN",3,Tennessee
1986161,"Nashville, TN",48,Tennessee
2022811,Tennessee,16,Tennessee
2103971,"Brentwood, TN",1,Tennessee
2119881,"Nashville, TN",1,Tennessee
2148691,Chattanooga,2,Tennessee
2178891,"Knoxville, TN",1,Tennessee
2243521,"Nashville, TN",2,Tennessee
2296271,"Tennessee, USA",13,Tennessee
2298661,"Chattanooga, TN",65,Tennessee
2301821,"Memphis, TN",6,Tennessee
2328401,"Memphis, TN",11,Tennessee
2350141,"Chattanooga,TN",2,Tennessee
2478701,"Memphis, TN",1,Tennessee
2490831,"Nashville, TN",7,Tennessee
2532111,"Nashville, TN",1,Tennessee
2539701,"Nashville, TN",6,Tennessee
2539821,"Nashville, TN",1,Tennessee
2540791,"Nashville, TN",2,Tennessee
2590391,Tennessee,43,Tennessee
2697461,"Nashville, TN",1,Tennessee
2699561,Chattanooga,2,Tennessee
2763331,"Maryville, TN",80,Tennessee
2927011,Nashville,1,Tennessee
3080581,"Salemtown, Nashville, TN",9,Tennessee
3225751,"Nashville, TN",25,Tennessee
3284251,nashville,1,Tennessee
3318861,"Chattanooga, TN",4,Tennessee
3359701,"Nashville, TN",3,Tennessee
3364581,Nashville ,2,Tennessee
3447841,"Chattanooga, TN",4,Tennessee
3505021,Tennessee,2,Tennessee
3915601,"Knoxville, TN",2,Tennessee
3930231,"Nashville, TN",3,Tennessee
4070641,"Nashville, TN",16,Tennessee
4121091,Memphis,98,Tennessee
4198181,T for Tennessee,80,Tennessee
4214291,"Clarksville, TN",1,Tennessee
4255721,"Memphis, TN",61,Tennessee
4313131,"Nashville, TN",123,Tennessee
4423681,"Chattanooga, TN",2,Tennessee
4543611,"Montgomery County, PA",20,Tennessee
4590981,"Nashville, TN",5,Tennessee
4635811,"White House, Tn",1,Tennessee
4808321,"Nashville, TN",6,Tennessee
4883731,"Nashville, Tennessee",7,Tennessee
4933851,"Nashville, TN, USA",13,Tennessee
5068241,"Nashville, TN",24,Tennessee
5147981,"Nashville, Tennessee",2,Tennessee
5171151,"East Nashville, Tennessee",144,Tennessee
5364832,Tennessee,2,Tennessee
5381692,"Nashville, Tennessee",1,Tennessee
5404562,Tennessee,21,Tennessee
5477442,"Nashville, TN",2,Tennessee
5530372,Tennessee,64,Tennessee
5532812,"Knoxville, TN",7,Tennessee
5553432,"Chattanooga,TN",2,Tennessee
5557272,"Nashville, TN",1,Tennessee
5561552,"Springville, TN",15,Tennessee
5654102,"Nashville, TN",2,Tennessee
