retweeted_user_id,retweeted_user_location,Count,state
614,"Salt Lake City, UT",128,Utah
10695,Utah,1,Utah
11673,"Murray, UT",7,Utah
51223,"Utah, USA",1,Utah
80943,"Salt Lake City, UT",1,Utah
99283,Utah,4,Utah
516153,Salt Lake City,4,Utah
641283,"Salt Lake City, UT",8,Utah
665313,richardfelix.com,14,Utah
674113,"Northern, UT",2,Utah
714773,"Provo, Utah",1,Utah
756340,"Utah, United States",5,Utah
774599,"Provo, Utah Area",1,Utah
777956,Utah,3,Utah
802093,Utah,3,Utah
806717,"Salt Lake City, UT",1,Utah
812049,"Salt Lake City, UT",2,Utah
823763,"South Jordan, UT",15,Utah
875591,"Park City, Utah",1,Utah
890121,"Salt Lake City, Utah",1,Utah
923231,"Salt Lake City, UT",6,Utah
939311,"Murray, UT",58,Utah
985121,Salt Lake City,1,Utah
1138981,"Salt Lake City, UT",30,Utah
1252901,"Salt Lake City, UT",48,Utah
1326391,"Charleston, UT, USA",43,Utah
1328941,"Salt Lake City, Utah",2,Utah
1368571,"Salt Lake City, UT",40,Utah
1666271,"Oakley, UT, USA",5,Utah
1716931,"Salt Lake City, UT, USA",14,Utah
1780861,"Utah, USA",1,Utah
1809031,"Utah, USA",2,Utah
1929121,Utah and Montana,56,Utah
2034171,roundabout in utah,2,Utah
2061671,Utah,2,Utah
2080931,"Salt Lake City, Utah",1,Utah
2345651,Salt Lake City,2,Utah
2412001,"Provo, Utah",2,Utah
2507621,Salt Lake City Utah,349,Utah
2550081,"Provo, UT",1,Utah
2732231,"Raccon City, Utah",12,Utah
2855651,Utah,1,Utah
2947351,"Utah, USA",1,Utah
3276741,"Salt Lake City, UT",1,Utah
3596211,"Salt Lake City, UT",2,Utah
3976191,Utah,2,Utah
3985511,"Salt Lake City, UT",5,Utah
4091121,"Salt Lake City, UT",4,Utah
4113631,"Saint George, Utah",223,Utah
4239031,"South Jordan, Utah (Salt Lake)",2,Utah
4425231,"Holladay, Utah",2,Utah
5121921,"Salt Lake City, UT",2,Utah
5162891,Utah,8,Utah
5391882,Salt Lake City,3,Utah
5485192,"Salt Lake City, UT",4,Utah
5534352,"Salt Lake City, UT",2,Utah
5613662,"Park City, UT",1,Utah
5628592,"Salt Lake City, UT",10,Utah
5639332,"Draper, Utah",6,Utah
5644892,"Cedar City, UT",1209,Utah
5672982,"Utah, USA",1,Utah
5694812,"salt lake city, utah",7,Utah
5717822,"American Fork, UT",198,Utah
5797822,"Salt Lake City, Utah",2,Utah
5819322,"Salt Lake City, UT",1,Utah
5877822,"Smithfield, UT",2,Utah
5953862,Utah,1,Utah
5972482,"Riverton, Utah",1,Utah
6117482,"Provo, UT",12,Utah
6137192,"Salt Lake City, Utah",1,Utah
6246622,"Bountiful, Utah",1,Utah
6264082,Utah,1,Utah
6329712,"Salt Lake City, UTAH",2,Utah
6512012,Utah,1,Utah
6581322,Utah,3,Utah
6655782,"South Jordan, UT",1,Utah
6684042,"Salt Lake City, UT",2,Utah
6755922,"Salt Lake City, UT",1,Utah
6816112,Utah,2,Utah
6818542,"Salt Lake City, UT",1,Utah
6995892,"Salt Lake City, Utah",8,Utah
6998002,"SLC, UT, USA, Earth, MW Galaxy",98,Utah
7059422,"Salt Lake City, UT",1,Utah
7076522,"Farmington, Utah",17,Utah
7094862,"Provo, UT",2,Utah
7213602,"Salt Lake City, UT",4,Utah
7297342,"South Jordan, Utah, USA",14,Utah
7330022,"Utah, USA",2,Utah
7363342,"Lehi, UT",18,Utah
7379702,"South Jordan, UT",9,Utah
7467182,"Orem, UT",1,Utah
7561052,Utah,4,Utah
7593252,"Salt Lake City, Utah",6,Utah
7735882,"Park City, UT",4,Utah
7735932,"Salt Lake City, UT",3,Utah
7784752,Utah,1,Utah
7790972,"Salt Lake City, UT",2,Utah
7792192,"Utah, USA",4,Utah
8061622,"Salt Lake City, UT",1,Utah
8120932,"Salt Lake City, Utah",1,Utah
8168032,Salt Lake City,395,Utah
8227062,"Salt Lake City, Utah",3,Utah
8290252,"Salt Lake City, UT",2,Utah
8512652,"Park City, UT",1,Utah
8521562,"Utah, USA",13,Utah
8595462,"Bountiful, UT",1,Utah
8633262,SLC,1,Utah
8818742,"Utah, USA",629,Utah
8846732,"Eden, Utah",1,Utah
8864472,"Salt Lake City, UT",4,Utah
9051462,"Park City, UT",10,Utah
9084072,"Salt Lake City, Utah",1,Utah
9219242,"Utah, USA",8,Utah
9228532,"Provo, UT",10,Utah
9232052,"Sandy, UT",4,Utah
9240722,"Crescent Fresh, Utah",1,Utah
9243722,"Park City, UT",3,Utah
9413502,"Midvale, UT",1,Utah
9431062,"Salt Lake City, UT",1,Utah
9458332,Utah,11,Utah
9523872,"West Bountiful, UT, USA",1,Utah
9531702,"UT, USA",2,Utah
9709342,"Greater Salt Lake City, Utah",185,Utah
9711702,"Salt Lake City, Utah",1,Utah
9721662,"Salt Lake City, UT",3,Utah
9723322,Salt Lake City,22,Utah
9785942,"Salt Lake City, UT",9,Utah
9812912,"Ogden, UT",6,Utah
10140592,"Utah, USA",47,Utah
10163262,"Salt Lake City, Utah",7,Utah
10174902,Salt Lake City,4,Utah
10289482,Utah,1,Utah
10387682,"Sandy, UT, US, 84070",90,Utah
10683062,"Provo, UT",28,Utah
10752702,"Salt Lake City, UT",59,Utah
10783532,Utah,2,Utah
10789412,SLC,84,Utah
10871962,SLC,1,Utah
10893602,"Body? Utah, Mind? Texas",1,Utah
10896002,Salt Lake City,493,Utah
11302432,"Salt Lake City, UT",2,Utah
11351352,"Salt Lake City, UT",1,Utah
11389952,Utah,14,Utah
11412142,Salt Lake City,4,Utah
11497522,"Park City, UT",18,Utah
11613662,"Salt Lake City, Utah",18,Utah
11698992,"Salt Lake City, UT",6,Utah
11816472,"American Fork, UT",1,Utah
11821332,"Salt Lake City, Utah",2,Utah
11858062,Utah!,2,Utah
11902712,"Provo, UT",38,Utah
11994992,"Salt Lake City, UT",3,Utah
12014132,"Salt Lake City, UT",5,Utah
12033482,Utah,4,Utah
12037172,Utah,4,Utah
12043242,"Provo, UT",4,Utah
12195882,"Park City, UT",1790,Utah
12291502,"Taylorsville, Utah",2,Utah
12342902,Utah,5,Utah
12389702,Utah,2,Utah
12423842,"Salt Lake City, UT",5,Utah
12449732,"Salt Lake City, Utah",125,Utah
12477812,she/her | utah | 27,3,Utah
12559712,"Saratoga Springs, UT",1,Utah
12617082,Salt Lake City,45,Utah
12703442,"Salt Lake City, Utah",2,Utah
12839902,"Holladay, UT",47,Utah
12893072,"Salt Lake City, UT",3,Utah
12913662,Utah. Possibly the Matrix,1,Utah
12934452,Utah,39,Utah
13021572,"Park City, Utah, United States",29,Utah
13216662,"St George, UT",1,Utah
13374002,"Park City, UT",4,Utah
13445892,"American Fork, Utah",1,Utah
13461642,"Salt Lake City, UT",16,Utah
13535262,"Salt Lake City, Utah",1,Utah
13536792,"Utah, USA",1,Utah
13541492,Utah,1,Utah
13554472,"Magna, UT",2,Utah
13570372,Utah,8,Utah
13603672,"Salt Lake City, UT",2,Utah
13750122,"provo,utah",6,Utah
13802072,Utah,155,Utah
13889612,"Park City, UT",1,Utah
13911812,"Bountiful, UT",4,Utah
13914392,"Salt Lake City, UT",649,Utah
13957432,"Salt Lake City, UT",1,Utah
13965622,"UT: 30.4,-97.7 — Tonkawa land",32,Utah
13973802,"Park City, UT",2,Utah
14023262,Salt Lake City,1,Utah
14049368,"⚡️➕⭕️ St. George, Utah",12,Utah
14051238,"Salt Lake City, UT",56,Utah
14053328,"Lehi, UT",1,Utah
14055706,United States-Utah,166,Utah
14058297,"South Jordan, UT",20,Utah
14061484,"Spanish Fork, Utah",3,Utah
14062287,"Salt Lake City, UT",106,Utah
14062964,"Utah, USA",1,Utah
14067054,"Salt Lake City, UT",43,Utah
14074345,"UT-1, Utah",1,Utah
14074848,"West Jordan, UT",1,Utah
14079217,"Provo, UT",1,Utah
14080682,"Salt Lake City, UT",4,Utah
14081770, UT,1,Utah
14085661,"Salt Lake City, Utah",24,Utah
14106113,Salt Lake City,1,Utah
14106702,UT,684,Utah
14112076,Salt Lake City,1,Utah
14115335,Utah,105,Utah
14115337,Salt Lake City,7,Utah
14116024,"Salt Lake City, Utah USA",11,Utah
14120322,"Ogden, Utah",1,Utah
14127903,"Salt Lake City, UT",5,Utah
14144565,"Salt Lake City, Utah",2,Utah
14144779,"Salt Lake City, UT",1,Utah
14158177,"Salt Lake City, UT",1,Utah
14159319,"Park City, Utah",7,Utah
14161840,"Salt Lake City, Utah",1,Utah
14168524,Utah,6,Utah
14174563,"Utah, United States.",4,Utah
14178880,"Utah, USA - Liverpool, UK",3,Utah
14186671,"West Valley City, UT",2,Utah
14193222,"Provo, UT",2,Utah
14197125,"Park City, UT",100,Utah
14203860,Salt Lake City,13,Utah
14205356,"Salt Lake City, UT",3,Utah
14210605,Utah,2,Utah
14216556,"Lehi, Utah",5,Utah
14218625,Utah,1,Utah
14221664,Utah,3,Utah
14226649,"Salt Lake City, UT",44,Utah
14232988,"Salt Lake City, UT",26,Utah
14236246,"Orem, Utah",1,Utah
14237148,Salt Lake City,17,Utah
14237607,"Ogden, Utah",1,Utah
14237960,"Sandy, UT",21,Utah
14241531,Utah,3,Utah
14241979,"Salt Lake City, UT",1,Utah
14242130,"Sugarhouse Proper, UT",1,Utah
14246720,Utah,1,Utah
14248017,"Park City, UT",9,Utah
14252221,"Holladay, UT",1,Utah
14253530,Utah,57,Utah
14255188,"Utah, USA",1,Utah
14263302,Salt Lake City,1020,Utah
14263770,"Midvale, UT",12,Utah
14267311,"South Jordan, UT",149,Utah
14272583,"Salt Lake City, Utah",11,Utah
14276764,"Salt Lake City, UT",3,Utah
14284029,Utah,4,Utah
14290155,"Salt Lake City, UT",51,Utah
14296446,Utah,67,Utah
14297336,"Park City, UT",2,Utah
14300592,"St George, UT",14,Utah
14304373,"Salt Lake City, Utah",10,Utah
14309006,"Park City, UT",1,Utah
14310068,"Orem, UT",1,Utah
14313350,Utah,10,Utah
14319193,"Saratoga Springs, UT",3,Utah
14322644,"Little Cottonwood Creek Valley, UT",6,Utah
14328772,"Salt Lake City, Utah",1,Utah
14333167,"City of Salt, UT",5030,Utah
14337053,"Salt Lake City, UT",1,Utah
14345975,Utah,7,Utah
14357700,"Salt Lake City, UT",8,Utah
14358443,"Utah, USA",9,Utah
14364803,Salt Lake City,10,Utah
14365098,Utah,380,Utah
14369204,SLC Utah,1,Utah
14369347,"Salt Lake City, Utah",34,Utah
14381380,Utah,3,Utah
14385437,Utah for the moment,1,Utah
14392427,"Salt Lake City, UT",2,Utah
14393408,"Alpine, UT",2,Utah
14398755,"Riverdale, Utah",8,Utah
14404089,Utah,1,Utah
14416288,"Salt Lake City, UT",3556,Utah
14416459,"Salt Lake City, UT",464,Utah
14424255,Utah,2,Utah
14425305,"West Jordan, Utah",14,Utah
14426437,"Utah, USA",4,Utah
14428245,"Utah, USA",3,Utah
14428300,"SLC, Utah",1,Utah
14444022,"Salt Lake City, UT",5,Utah
14453402,"Salt Lake City, Utah",1,Utah
14454131,Utah,5,Utah
14470927,"Salt Lake City, UT",1,Utah
14493814,Utah,2,Utah
14526700,"Salt Lake City, Utah",5,Utah
14527235,"Salt Lake City, UT",8,Utah
14530902,"Utah, USA",1,Utah
14532334,"Lehi, Utah",1,Utah
14533117,"Utah, USA",1,Utah
14538186,"Layton, UT",170,Utah
14543247,Utah,8,Utah
14550259,Utah and Idaho,1,Utah
14552175,Utah/Hawaii,11,Utah
14567830,Utah,3,Utah
14593008,"Salt Lake City, UT",26,Utah
14607549,"Salt Lake City, Utah",2,Utah
14617517,"Salt Lake City, UT",20,Utah
14618781,"Utah, USA",1,Utah
14628871,Utah,5,Utah
14629432,Salt Lake City,9,Utah
14631675,Salt Lake City,1,Utah
14632277,"Salt Lake City, Utah, USA",7,Utah
14632610,"Salt Lake City, UT",1474,Utah
14638392,"Salt Lake City, UT",2,Utah
14641762,"St George, UT",4,Utah
14642078,"Provo, UT",2,Utah
14648324,Salt Lake City,1,Utah
14653519,"Salt Lake City, Utah",7,Utah
14663031,"Mos Eisly, Utah",13,Utah
14678264,Salt Lake City,395,Utah
14678880,"Salt Lake City, UT",3,Utah
14682260,"Kanab, UT",4,Utah
14687109,"Salt Lake City, Utah",27,Utah
14688517,"Salt Lake City, UT",1,Utah
14690609,Utah,24,Utah
14703254,"Moab, Utah",2,Utah
14705958,"Salt Lake City, UT",7,Utah
14706925,"Salt Lake City, Utah",2,Utah
14707698,"Salt Lake City, UT",2,Utah
14710040,"Riverton, UT",2,Utah
14716615,"Salt Lake City, UT",3,Utah
14718870,"Alta / Zion, Utah ",54,Utah
14721916,"Duchesne, Utah",5,Utah
14737294,"Salt Lake City, UT",9,Utah
14746101,SLC,3,Utah
14748338,"Logan, Utah, USA",29,Utah
14748679,"Salt Lake City, Utah",14,Utah
14750201,"Salt Lake City, UT",11,Utah
14752251,"Utah, US",1,Utah
14758158,Salt Lake City,8,Utah
14760912,"Herriman, Utah, USA",11,Utah
14761927,"Salt Lake City, Utah",1,Utah
14769061,S.L.C. Utah,1,Utah
14769601,"Salt Lake City, UT",7,Utah
14777292,UT,1,Utah
14778552,"Unfortunate,UT",31,Utah
14780079,Utah,1,Utah
14788308,"Salt Lake City, Utah",1,Utah
14791542,"logan, utah",2,Utah
14792128,"Salt Lake City, UT",14,Utah
14794914,Utah,1,Utah
14795201,"West Jordan, UT",13,Utah
14800583,Utah,120,Utah
14803414,"Annabella, UT",36,Utah
14806627,somewheres in utah,1,Utah
14810296,"Salt Lake City, Utah",3,Utah
14811665,"Park City, UT",219,Utah
14815975,"Ogden, UT",7,Utah
14823571,Utah,1,Utah
14826498,Utah,3,Utah
14826965,"Saratoga Springs, UT",1,Utah
14832751,Utah,42,Utah
14834145,"West Jordan, UT",14,Utah
14837556,"Utah, USA",3,Utah
14847041,Utah,1,Utah
14847236,"Ogden, UT ",11,Utah
14848769,"Moab, UT",9,Utah
14851480,"Utah, USA",1,Utah
14857898,"Bountiful, UT",1,Utah
14873524,Utah,14,Utah
14878522,UTAH,77,Utah
14880903,"Salt Lake City, Utah",41,Utah
14886149,"Salt Lake City, Utah",6,Utah
14886919,"Salt Lake City, UT",12,Utah
14891493,Utah,66,Utah
14914613,"Salt Lake City, Utah",400,Utah
14924019,Salt Lake City,1,Utah
14930366,Salt Lake City,17,Utah
14934282,"Utah, USA",7,Utah
14936808,"Utah, USA",1,Utah
14947552,"Park City, Utah ",13,Utah
14948262,"Utah, USA",1,Utah
14950891,"Provo, UT",24,Utah
14967316,"Provo, Utah",144,Utah
14975165,Salt Lake City,1,Utah
14976428,"Utah, USA",122,Utah
14992472,"Park City, UT",1,Utah
14995366,"provo, utah",16,Utah
14997262,"Park City, Utah",1,Utah
14999237,"Salt Lake City, UT",2,Utah
15013530,Utah,47,Utah
15021041,"Salt Lake City, UT, USA",17,Utah
15030293,Utah,1,Utah
15030854,"Provo, UT",4,Utah
15034590,"Utah, USA",1,Utah
15047653,"Orem, UT",3,Utah
15050354,"Salt Lake City, UT",473,Utah
15052361,"Salt Lake City, Utah",2,Utah
15053728,"Salt Lake City, Utah",1,Utah
15054678,"Lehi, UT",16,Utah
15060331,"Salt Lake City, Utah",2,Utah
15061946,"Utah, USA",1,Utah
15063127,Utah,104,Utah
15069992,Salt Lake City,5,Utah
15077782,Utah,13,Utah
15090098,Utah,3,Utah
15099438,"Layton, UT",38,Utah
15114680,"Utah, USA",4,Utah
15122146,Utah,15,Utah
15122968,"Salt Lake City, UT",7,Utah
15131309,"Sandy,Utah",1,Utah
15135269,"Utah, USA",1,Utah
15139449,utah,140,Utah
15148696,"Orem, Utah",4,Utah
15149048,"Lehi, UT",2,Utah
15151082,"Utah, USA",1,Utah
15152927,"South Jordan, UT",1,Utah
15158474,"Salt Lake City, UT",1,Utah
15163098,Utah,1,Utah
15166732,"Utah, USA",5,Utah
15170348,"Sandy, Utah",3,Utah
15172311,"Spanish Fork, Utah, USA",5,Utah
15175051,"Salt Lake City, UT",6,Utah
15176199,"Ogden, UT",40,Utah
15177035,"Utah, USA",1,Utah
15181510,UT,2,Utah
15183581,"Salt Lake City, Utah",4,Utah
15184938,"Utah, USA",1,Utah
15191204,"Salt Lake City, UT",9,Utah
15191378,"Provo, UT",2,Utah
15195461,Salt Lake City,1,Utah
15195539,"Salt Lake City, UT",148,Utah
15200676,"Salt Lake City, Utah",70,Utah
15209380,Utah,2,Utah
15211401,"Utah, USA",1,Utah
15213458,"Salt Lake City, Utah",7,Utah
15233270,"Salt Lake City, UT",2,Utah
15240446,"St George, UT",1,Utah
15246449,"South Jordan, UT",30,Utah
15246520,Salt Lake City,315,Utah
15248477,Salt Lake City,6,Utah
15248530,"Salt Lake City, UT",1,Utah
15276345,"Salt Lake City, UT",4,Utah
15276393,"Salt Lake City, UT",2,Utah
15285380,"Salt Lake, Utah",200,Utah
15285542,"Draper, UT",2,Utah
15286537,"Salt Lake City, UT",1,Utah
15291876,Salt Lake City,2,Utah
15301716,"Salt Lake City, UT",1,Utah
15308825,Utah,1,Utah
15326343,"Salt Lake City, UT",9,Utah
15329606,"Salt Lake City, Utah",2,Utah
15331199,Midvale Utah,1,Utah
15334575,"Utah, USA",1,Utah
15336903,"Hurricane, UT",2,Utah
