retweeted_user_id,retweeted_user_location,Count,state
3049,"Rutland, VT",7,Vermont
10312,"Shelburne, VT",45,Vermont
10990,Vermont,3,Vermont
12264,"NEK, VT (previously DFW)",240,Vermont
28253,"Williston, VT",10,Vermont
39063,"Winooski, VT, US",80,Vermont
63853,"Burlington, VT",10,Vermont
612163,Vermont USA,1,Vermont
796500,Vermont,1,Vermont
802641,"Burlington, #Vermont #VT #BTV",4,Vermont
807516,"Brattleboro, VT",1,Vermont
814455,Brooklyn / Vermont,6,Vermont
1006521,"Croton-on Hudson, NYC, VT",44,Vermont
1136391,"Montpelier, VT",1,Vermont
1269681,Vermont,1,Vermont
1305941,Vermont,9,Vermont
1533451,"Burlington, VT",190,Vermont
1770511,"Fairfax, VT",17,Vermont
1842391,"Montpelier, VT",4,Vermont
2065861,"Vermont, USA",2,Vermont
2233851,"Barnet, VT",8,Vermont
3011771,"Mad River Valley, Vermont",208,Vermont
3317531,"Burlington, VT",1,Vermont
3451051,"Burlington, VT",26,Vermont
4121471,minty in vermont,10,Vermont
4532191,VT ,2,Vermont
5385052,"Townshend, Vermont",32,Vermont
5657162,"Burlington, VT",16,Vermont
5693942,"Ripton, Vt.",286,Vermont
5719532,"Vermont, USA",8,Vermont
5845962,"Burlington, VT",2,Vermont
5927442,"Smalltown, Vermont",1,Vermont
6331142,"Vermont, USA",56,Vermont
6425872,"Burlington, VT",2,Vermont
6582782,"Burlington, Vermont",9,Vermont
6597892,"Burlington, Vermont",44,Vermont
6606132,"Vermont, USA",1,Vermont
6646382,Vermont,1,Vermont
6813352,"Brattleboro, VT",12,Vermont
6873102,"Burlington, VT",8,Vermont
7003422,"Burlington, VT",21,Vermont
7312182,"Burlington, VT",4,Vermont
7323602,"Vermont, USA",4,Vermont
7435972,Vermont,50,Vermont
7632622,"Burlington, VT",161,Vermont
7792952,Vermont,15,Vermont
7910572,"Burlington, VT",1,Vermont
8000492,"Vermont, USA",7,Vermont
8411032,Vermont via NYC via DC ,37,Vermont
8488692,"Shelburne, Vermont, USA",3,Vermont
8611202,Vermont,12,Vermont
8727842,Vermont,7,Vermont
9126242,Vermont~Italia~საქართველო,1,Vermont
9301842,Charlotte & Warren VT,1,Vermont
9362212,"Addison County, Vermont",26,Vermont
9522502,"Burlington, Vermont",12,Vermont
9625592,"Burlington, VT",394,Vermont
9681332,"Weston, VT",4,Vermont
9957032,Vermont,6,Vermont
9984862,"Burlington, VT",4,Vermont
10022442,Vermont,34,Vermont
10363352,Vermont,14,Vermont
10495952,"Craftsbury Common, VT",3,Vermont
10508912,"Rutland, Vermont",9,Vermont
10909812,"Vermont, USA",36,Vermont
10996862,"Brattleboro, VT",25,Vermont
11090822,Vermont,31,Vermont
11146322,"Vermont, USA",34,Vermont
11254752,"North Bennington, VT",25,Vermont
11488552,"Vermont, USA",74,Vermont
11643002,Vermont,2,Vermont
11744382,"Vermont, USA",67,Vermont
11810842,"Vermont, USA, Earth",3,Vermont
11879362,Vermont,13,Vermont
11891542,"Williamsville, Vermont",6,Vermont
11914162,"Vermont, USA",2,Vermont
11947062,"Montpelier, VT",1,Vermont
12173822,"vermont, usa",3,Vermont
12322142,Vermont,1,Vermont
12621262,"Vermont, USA",154,Vermont
12670592,"Vermont, USA",24,Vermont
12696972,Boston and Vermont,5,Vermont
12760942,Vermont,2,Vermont
12794062,"Burlington, Vermont",46,Vermont
12842372,Vermont,1,Vermont
12892962,Vermont,6,Vermont
13184142,Vermont,2,Vermont
13472192,"Vermont, USA",79,Vermont
13731602,"Vermont, USA",11,Vermont
13733992,Vermont,6,Vermont
13987062,"Shelburne, VT",2,Vermont
14053123,"South Hero, VT",3,Vermont
14060382,Vermont,32,Vermont
14074498,Windsor CT ,7,Vermont
14106063,Vermont,79,Vermont
14120215,Vermont,20,Vermont
14184346,Vermont,58,Vermont
14191401,"Burlington, Vermont, USA",9,Vermont
14209481,"Burlington, VT",3,Vermont
14209592,Vermont,2,Vermont
14211359,"Vermont, USA",5,Vermont
14229403,"Burlington, VT",3,Vermont
14248784,vermont,5,Vermont
14282996,"Burlington, VT, USA",5,Vermont
14289561,vermont,12,Vermont
14289691,"Burlington, Vermont",149,Vermont
14300790,"Burlington, VT",5,Vermont
14336083,"Springfield, Vermont",186,Vermont
14346275,"Burlington, VT",1,Vermont
14415683,"South Strafford, Vermont",8,Vermont
14420689,Vermont,2,Vermont
14430155,Vermont,13,Vermont
14440277,"US, Vermont",1,Vermont
14447107,"Burlington, VT",38,Vermont
14452851,"Colchester, VT",12,Vermont
14483403,"South Burlington, VT",1,Vermont
14491666,"Burlington, VT",1,Vermont
14495632,"Burlington, VT",1,Vermont
14503997,"Burlington, VT",1,Vermont
14532964,Vermont,3,Vermont
14569837,Vermont,171,Vermont
14574253,"Vermont, USA",233,Vermont
14574920,"Dummerston, Vermont",1,Vermont
14591916,Vermont,1,Vermont
14605116,Vermont,3,Vermont
14616784,"WRJ, Vermont & London, UK",3,Vermont
14639927,"Williston, VT",1,Vermont
14713969,"Burlington, VT",2,Vermont
14718474,"Essex, Vermont",1,Vermont
14719589,"Vermont, USA",38,Vermont
14725687,"Vermont, US",4,Vermont
14730157,Vermont,1,Vermont
14745848,"South Royalton, VT",1,Vermont
14767403,Vermont,2,Vermont
14773821,"Shelburne, VT",68,Vermont
14774125,"Vermont, USA",190,Vermont
14775053,Vermont,4,Vermont
14779559,Vermont,1,Vermont
14790735,"Burlington, VT",16,Vermont
14824752,"Montpelier, VT",1,Vermont
14836544,"Burlington, Vermont",15,Vermont
14857248,VT,38,Vermont
14885411,"Brattleboro, VT",8,Vermont
14887913,"Vermont, USA",3,Vermont
14910442,"Burlington, VT",3,Vermont
14910559,Vermont,20,Vermont
14921068,"Vermont, USA",1,Vermont
14923203,"Burlington, Vermont",52,Vermont
14956230,"Vermont, USA",5,Vermont
14957238,VT,6,Vermont
14959741,vermont,3784,Vermont
14987512,"Vermont, USA",5,Vermont
14996420,Vermont,4,Vermont
15020241,"Burlington, VT",6,Vermont
15020994,Vermont,1,Vermont
15037856,"Vermont, USA",12,Vermont
15041171,"Burlington, VT",7,Vermont
15043985,Vermont,5,Vermont
15056964,Vermont,4,Vermont
15140099,"Burlington, Vermont",11,Vermont
15166297,"Milton, VT",39,Vermont
15168892,"Vermont, USA",1428,Vermont
15171615,Vermont  ,34,Vermont
15180478,"Burlington, VT",1,Vermont
15190376,"St Johnsbury, VT",1,Vermont
15191623,"Vermont, USA",51,Vermont
15193542,"Barre, VT",12,Vermont
15197309,"Bristol, VT",1,Vermont
15208043,"Vermont, USA",4,Vermont
15210161,"Middlebury, VT",1,Vermont
15247902,"Burlington, VT",6,Vermont
15283508,"Brattleboro, VT",4,Vermont
15290200,"South Burlington, VT",10,Vermont
15295809,"Burlington, Vermont",5,Vermont
15304232,"Vermont, USA",175,Vermont
15313229,"Burlington, VT",105,Vermont
15313778,Vermont,56,Vermont
15361558,Vermont,3,Vermont
15364256,"Montpelier, VT, USA",16,Vermont
15369492,Vermont,3,Vermont
15403304,Vermont,30,Vermont
15435270,"South Burlington, VT",187,Vermont
15435312,"Pownal, VT",30,Vermont
15467181,Vermont,24,Vermont
15473413,"Burlington, VT",24,Vermont
15475638,"Vermont, USA",431,Vermont
15481989,"Colchester, VT",70,Vermont
15500419,Vermont,2,Vermont
15516549,"Ludlow, VT",1,Vermont
15518882,"Station 11, Vermont",79,Vermont
15533517,"Burlington, VT",7,Vermont
15538523,"Brattleboro, VT",321,Vermont
15555394,"Essex, VT",18,Vermont
15612165,"Burlington, VT",53,Vermont
15616687,Vermont,1,Vermont
15677282,"Uckfield, UK & Burlington, VT",11,Vermont
15679482,somewhere in VT usually,8,Vermont
15723271,"Vermont, USA",2,Vermont
15746007,Vermont,7,Vermont
15789974,"Tamarindo, Costa Rica. Summers in Vermont.",31,Vermont
15794337,Vermont,4,Vermont
15798005,The Green Mountains of Vermont,6,Vermont
15808140,Vermont,468,Vermont
15842606,Vermont,4,Vermont
15865329,Vermont,1,Vermont
15878229,"Vermont, USA",9,Vermont
15882002,Vermont USA,7,Vermont
15904189,"Charlotte, VT",1,Vermont
15921966,"Burlington, VT",28,Vermont
15938732,Vermont,19,Vermont
15939057,"Vermont, USA",1,Vermont
15940581,"Vermont, USA",3,Vermont
15949572,"Vermont, USA",1,Vermont
15966334,PHL — VT,5,Vermont
15966337,"Vermont, USA",12,Vermont
15982885,Vermont,1,Vermont
15989967,"Vermont, USA",1,Vermont
15997779,"Middlebury, VT",194,Vermont
16004080,Bradford Vermont 05033,1473,Vermont
16006978,"Vermont, USA",1,Vermont
16008725,"Burlington, VT",5,Vermont
