retweeted_user_id,retweeted_user_location,Count,state
562,Virginia,8,Virginia
1596,"Round Hill, VA",2,Virginia
3231,"Virginia, USA",70,Virginia
3365,"Fairfax County, VA",21,Virginia
5497,"Richmond, VA",3,Virginia
6170,"Leesburg, VA",3,Virginia
10226,"Richmond, VA",11,Virginia
10437,"Arlington, VA",18,Virginia
19703,"Richmond, VA",6,Virginia
53983,"Blacksburg, VA",33,Virginia
60883,"Winchester, VA",96,Virginia
351303,"del ray, alexandria, va",1,Virginia
586803,"Richmond, VA",1,Virginia
634433,"Alexandria, VA",7,Virginia
647773,"Alexandria, VA, USA",161,Virginia
649543,"Arlington, VA",1,Virginia
655833,Virginia,19,Virginia
666183,"Richmond, VA",34,Virginia
668033,"Virginia, USA",2,Virginia
685763,"Warrenton, VA",89,Virginia
690913,"Roanoke, VA",3,Virginia
701993,"Manassas, VA",7,Virginia
720733,"Alexandria, VA",37,Virginia
730493,"Manassas, VA",8,Virginia
737663,Virginia,2,Virginia
750823,"Richmond, VA",4,Virginia
755232,"Langley, Virginia",3,Virginia
755258,"Hampton, VA, USA",1,Virginia
755726,"Christiansburg, VA",236,Virginia
758034,RVA,129,Virginia
763725,"Richmond, VA",1,Virginia
764870,"Richmond, VA, USA",1,Virginia
765046,"Reston, VA",15,Virginia
766009,"Blacksburg, VA",2,Virginia
767438,"Williamsburg, VA",3,Virginia
769746,"Richmond, VA",1,Virginia
771409,"Fairfax, VA",1,Virginia
772608,"Ashburn, VA",2,Virginia
777719,"Virginia, USA",71,Virginia
780615,"Richmond, VA",1,Virginia
782931,Virginia,15,Virginia
805095,"Chantilly, Virginia",1,Virginia
807187,"Lorton, VA",7,Virginia
808715,"Arlington, VA",90,Virginia
815144,"Gainesville, VA",1,Virginia
815370,"Richmond, VA ",12,Virginia
820326,"Newport News, VA",1,Virginia
851361,"Alexandria, VA",40,Virginia
857271,"Alexandria, VA",2,Virginia
863571,Northern Virginia,10,Virginia
891991,"Fairfax Station, Virginia",233,Virginia
894001,"Definitely not Langley, VA",23,Virginia
956461,"Manassas, VA",2,Virginia
961241,"Charlottesville, VA",2,Virginia
967231,"Roanoke, VA",1,Virginia
977271,"Chesapeake, VA",4,Virginia
1006261,"Richmond, VA",5,Virginia
1028821,"Alexandria, VA",1,Virginia
1101921,"Prince Edward County, Ontario",80,Virginia
1133821,Northern Virginia,27,Virginia
1174241,"Virginia, USA",1,Virginia
1196431,"Charlottesville, VA",1,Virginia
1203901,Northern Virginia,5,Virginia
1230801,"Scottsville, VA",9,Virginia
1244811,"Richmond, Virginia",34,Virginia
1262171,"Charlottesville, VA",1,Virginia
1264861,"Vienna, VA",23,Virginia
1289291,"Richmond, VA",1,Virginia
1292561,"Salem, VA",528,Virginia
1350251,"Alexandria, VA",1,Virginia
1371391,"Woodbridge, VA",7,Virginia
1439931,"Charlottesville, VA",1,Virginia
1444001,"Winchester, Va",10,Virginia
1450961,"Langley, Va",4,Virginia
1460181,"Alexandria, VA USA",6,Virginia
1504591,"Waverly, VA",4,Virginia
1510621,Virginia,133,Virginia
1565981,va,16,Virginia
1570811,"Sterling, VA",1,Virginia
1584511,"Vienna, VA",1,Virginia
1585551,"Virginia, USA",1,Virginia
1612661,"Harrisonburg, VA",1,Virginia
1622271,"Virginia Beach, VA",14,Virginia
1628841,Isle of Wight,18,Virginia
1634451,Virginia,13,Virginia
1739891,"Alexandria, VA",189,Virginia
1744141,"Alexandria, VA",2,Virginia
1910771,"Charlottesville, VA",8,Virginia
1931631,"McLean, VA",110,Virginia
1968251,"Richmond, VA",24,Virginia
1970781,"Alexandria, Virginia",26,Virginia
2031791,"Bedford, Virginia",1,Virginia
2069831,"Manassas, VA",1,Virginia
2159721,"Stephens City, VA",1,Virginia
2174131,Northern Virginia,49,Virginia
2180301,"Falls Church, VA",75,Virginia
2198931,"Arlington, VA",5,Virginia
2212831,Northern Virginia,1,Virginia
2218121,"Arlington, VA",3,Virginia
2235231,"Charlottesville, VA",3,Virginia
2520761,"Potomac, MD/Linden, VA/NYC",5,Virginia
2524431,"Richmond, VA",96,Virginia
2619661,"Virginia, USA",2,Virginia
2656981,"Virginia, USA",119,Virginia
2740461,"757, VA",1,Virginia
