retweeted_user_id,retweeted_user_location,Count,state
1942,"Oxford, WI",189,Wisconsin
10886,"Madison, WI, USA",8,Wisconsin
12574,Wisconsin,45,Wisconsin
12703,"Milwaukee, Wisconsin",1,Wisconsin
12858,"Eau Claire, WI",2,Wisconsin
45723,"Milwaukee, WI, US",11,Wisconsin
71203,"Madison, WI",11,Wisconsin
164833,"Milwaukee, WI",3,Wisconsin
637473,MKE,25,Wisconsin
649043,"Milwaukee, WI",10,Wisconsin
662913,"Madison, WI",4,Wisconsin
687833,"Madison, WI",25,Wisconsin
688763,"Holmen, WI",1,Wisconsin
712843,"New Berlin, WI",40,Wisconsin
755777,"Wisconsin, USA",3,Wisconsin
756219,"Madison, WI",14,Wisconsin
757962,"Milwaukee, WI",33,Wisconsin
759108,"Hustisford, WI",19,Wisconsin
771648,"Milwaukee, WI",119,Wisconsin
783393,"Whitewater, WI",1,Wisconsin
796196,"Milwaukee, WI, USA",1,Wisconsin
802410,"Wisconsin, USA",5,Wisconsin
804668,"Green Bay, WI",7,Wisconsin
805094,"Wisconsin, USA",91,Wisconsin
807594,"Minnesota, WI",119,Wisconsin
813389,"Janesville, WI",10,Wisconsin
847071,"near Darien, WI, United States",1,Wisconsin
851211,"Wisconsin, USA",441,Wisconsin
896131,MKE,38,Wisconsin
932681,"Madison, WI",5,Wisconsin
1092221,"Milwaukee, WI, United States",18,Wisconsin
1177801,"Madison, WI",3,Wisconsin
1198621,"St Francis, WI",3,Wisconsin
1339031,"Hudson, WI",58,Wisconsin
1420661,Wisconsin,4,Wisconsin
1524931,Wisconsin,7,Wisconsin
1593581,"Appleton, WI",9,Wisconsin
1618591,"Sun Prairie, WI",19,Wisconsin
1655321,"West Allis (Milwaukee), WI",2,Wisconsin
1751311,"Germantown, WI",5,Wisconsin
1799671,"Milwaukee, WI",1,Wisconsin
1810851,"Wisconsin, USA",2,Wisconsin
1823981,"Appleton, WI",1,Wisconsin
1846531,"Waukesha, WI",3,Wisconsin
1899471,"Kiel, WI",3,Wisconsin
1921631,"Marshfield, WI",434,Wisconsin
1965871,"Milwaukee, WI",2,Wisconsin
1977821,"Monona, WI",9,Wisconsin
2079871,Where the buffalo roam.,11,Wisconsin
2182501,"Milwaukee, WI",1,Wisconsin
2224741,"Madison, WI",8,Wisconsin
2231781,"Milwaukee, WI",1,Wisconsin
2247701,"Kenosha, WI",24,Wisconsin
2306611,"Madison, WI",1,Wisconsin
2325381,"Madison, WI",75,Wisconsin
2401551,"Milwaukee, WI, USA",11,Wisconsin
2521001,"Madison, WI",2,Wisconsin
2585581,"Janesville, WI",2,Wisconsin
2606571,MKE,8,Wisconsin
2625761,Wisconsin,1,Wisconsin
2765491,"viroqua, wisconsin.",646,Wisconsin
3066511,"Eau Claire, WI",1,Wisconsin
3277371,"Hobart, WI",7,Wisconsin
3389001,"La Crosse, WI",11,Wisconsin
3451501,"Madison, WI, USA",1,Wisconsin
3627941,"Sheboygan, Wisconsin",5,Wisconsin
3888351,Milwaukee,887,Wisconsin
3919981,Wisconsin,46,Wisconsin
3924211,"Madison, WI",114,Wisconsin
3932241,"Kewaskum, Wisconsin",28,Wisconsin
4060901,"Racine, WI",3,Wisconsin
4246001,"Milwaukee, WI",13,Wisconsin
4267931,"Milwaukee, WI",4,Wisconsin
4271911,"Madison, WI",60,Wisconsin
4320171,"Madison, WI",182,Wisconsin
4438821,"Plover, Wisconsin",1,Wisconsin
4507521,"Wisconsin Dells, Wisconsin",3677,Wisconsin
4545841,"Milwaukee, WI",1,Wisconsin
4634041,Central Wisconsin,2,Wisconsin
4654461,SE Wisconsin,1,Wisconsin
4890481,"Wisconsin, USA",2,Wisconsin
5366462,"Madison, WI",1,Wisconsin
5382752,"Madison, WI",28,Wisconsin
5397442,"Milwaukee, WI",109,Wisconsin
5418412,"Fox Valley, Wisconsin",8,Wisconsin
5435472,"Oshkosh, WI",10,Wisconsin
5512932,"Madison, WI",1,Wisconsin
5533502,"Milwaukee, WI, United States",125,Wisconsin
5571722,"Wisconsin, US",2797,Wisconsin
5694842,"Beaver Dam, WI",2,Wisconsin
5745252,"Wisconsin, USA",5,Wisconsin
5748472,Central Wisconsin,1,Wisconsin
5771282,"Appleton, WI",6,Wisconsin
5820382,"Wisconsin, United States",4,Wisconsin
5834082,Wisconsin,3,Wisconsin
5840602,A rainy forest,2,Wisconsin
5849902,Wisconsin,1,Wisconsin
5872122,"Milwaukee, WI",7,Wisconsin
5934022,"Milwaukee, WI",41,Wisconsin
5979142,"Greenville, WI, USA",4,Wisconsin
6091042,Wisconsin,12,Wisconsin
6141442,"Madison, WI",11,Wisconsin
6168682,"Milwaukee, Wisconsin",144,Wisconsin
6319762,Wisconsin,145,Wisconsin
6444092,"Milwaukee, WI",4,Wisconsin
6448752,"Madison, Wisconsin",23,Wisconsin
6634242,WI,1,Wisconsin
6673792,"Milwaukee, WI",6,Wisconsin
6707102,"Elkhorn, Wisconsin",3,Wisconsin
6734442,"Northwoods, WI",29,Wisconsin
6756102,"Madison, WI ",6,Wisconsin
6819772,"Milwaukee, WI",5,Wisconsin
6958452,"Eau Claire, WI",1,Wisconsin
6985612,Wisconsin,6,Wisconsin
7002482,"Wisconsin, USA",7,Wisconsin
7155922,"Elkhorn, WI",63,Wisconsin
7213052,"Sheboygan, Wisconsin",1,Wisconsin
7284122,Milwaukee,4,Wisconsin
7334512,"La Crosse, WI",1,Wisconsin
7378742,"Milwaukee, WI, USA",1,Wisconsin
7423682,"Milwaukee, WI",19,Wisconsin
7511322,"Madison, WI",4,Wisconsin
7561822,Wisconsin,1,Wisconsin
7575982,"Wisconsin, USA",10,Wisconsin
7612982,"Hatfield, WI",4,Wisconsin
7632932,"Green Bay, WI",1,Wisconsin
7646532,"Madison, WI",35,Wisconsin
7668292,"Madison, WI",6,Wisconsin
7678722,"Milwaukee, WI",13,Wisconsin
7745572,Milwaukee,6,Wisconsin
7754242,"Madison, WI",6,Wisconsin
7810492,"Madison, WI",19,Wisconsin
7832062,"Milwaukee, Wisconsin",1,Wisconsin
7832982,"madison, WI",138,Wisconsin
7840992,WI,3,Wisconsin
7841082,Wisconsin,61,Wisconsin
7867542,"Milwaukee, WI",2,Wisconsin
7960182,"Appleton, WI",7,Wisconsin
7995152,"Almost Madison, WI",22,Wisconsin
8043172,"Accra, Fargo, Abuja, Earth, WI",25,Wisconsin
8059082,WI,1271,Wisconsin
8063982,"Portage, WI",2,Wisconsin
8083682,Wisconsin,45,Wisconsin
8099712,Somewhere in Wisconsin,39,Wisconsin
8107132,"Beloit, WI",1,Wisconsin
8229182,Milwaukee,26,Wisconsin
8252122,"Milwaukee,WI,USA",1377,Wisconsin
8299772,"Green Bay, WI",1,Wisconsin
8331622,"Milwaukee, WI",2,Wisconsin
8346452,"Madison, Wisconsin, USA, Earth",18,Wisconsin
8447352,"Madison, WI",46,Wisconsin
8491882,Wisconsin,15,Wisconsin
8498262,"Wisconsin, USA",1,Wisconsin
8527252,i dunno man its hot out,148,Wisconsin
8565742,"Milwaukee, WI",1,Wisconsin
8659422,"Milwaukee, WI",12,Wisconsin
8665962,"Kenosha, WI",1,Wisconsin
8688722,"Iola, WI",4,Wisconsin
8883822,Wisconsin,21,Wisconsin
8905622,"Wisconsin, USA",2,Wisconsin
8923402,"Madison, WI",1,Wisconsin
9093752,"Milwaukee, WI",7,Wisconsin
9126592,"Menomonie, WI",18,Wisconsin
9145512,Wisconsin,96,Wisconsin
9147942,"Madison, WI",2,Wisconsin
9168122,"Madison, WI, USA",1,Wisconsin
9232292,Milwaukee,22,Wisconsin
9322332,"Green Bay, WI",2,Wisconsin
9377492,"Pewaukee, WI",1,Wisconsin
9396122,Milwaukee,1,Wisconsin
9419412,Wisconsin,26,Wisconsin
9444062,"Wausau, WI",30,Wisconsin
9512982,"Madison, WI",1,Wisconsin
9523662,"East Troy, WI",1,Wisconsin
9544002,"Milwaukee, WI",2,Wisconsin
9587452,Wisconsin,2,Wisconsin
9609532,"Wisconsin, USA",2,Wisconsin
9734192,Wisconsin,1,Wisconsin
9735522,"Madison, WI",72,Wisconsin
9738172,"Milwaukee, WI",230,Wisconsin
9752962,"Eau Claire, WI",2,Wisconsin
9788902,Wisconsin,26,Wisconsin
9800072,"Waukesha, WI",2,Wisconsin
9825682,Wisconsin,2,Wisconsin
9866792,"Milwaukee, WI",2,Wisconsin
9886592,"Wisconsin, USA",6,Wisconsin
9916402,"Madison, Wisconsin, USA",62,Wisconsin
9924822,"Madison, WI",1,Wisconsin
9945462,"La Crosse, WI",4,Wisconsin
9985832,"La Crosse, WI",6,Wisconsin
9990362,Wisconsin,21,Wisconsin
10073992,Wisconsin,1,Wisconsin
10117892,"Madison, WI",74,Wisconsin
10130812,"Oshkosh, WI",43,Wisconsin
10197082,"Racine, WI",18,Wisconsin
10219462,"Sturgeon Bay, WI",8,Wisconsin
10222692,"Milwaukee, WI",9,Wisconsin
10234352,"Oshkosh, WI",1,Wisconsin
10258762,"Milwaukee, Wisconsin",9,Wisconsin
10260682,"Milwaukee, WI",5,Wisconsin
