retweeted_user_id,retweeted_user_location,Count,state
5663042,"Wyoming, MI",5,Wyoming
6142202,"wyoming, Pa.",2,Wyoming
6782442,"Powell, Wyoming",4,Wyoming
7022662,"Jackson Hole, Wyoming",4,Wyoming
8135432,"Gillette, WY",1,Wyoming
8867332,WY,2,Wyoming
9654302,wyoming,1225,Wyoming
10526382,"Sheridan, WY",2,Wyoming
11057642,"Wyoming, USA",1,Wyoming
11320722,"Sheridan, WY",2,Wyoming
11999372,"Sheridan, Wyoming",57,Wyoming
12695672,"Laramie, Wyoming",3,Wyoming
13270032,"Wyoming, MI",3,Wyoming
14115117," From Rock Springs, Wyoming ",1,Wyoming
14199895,City of Goshen,4,Wyoming
14271674,"Wyoming, USA",49,Wyoming
14418148,"Cheyenne, WY",11,Wyoming
14467497,"Cody, Wyoming",4,Wyoming
14516704,"Sweetwater County, WY",3,Wyoming
14572920,"Upton, Wyoming",1,Wyoming
14579526,"Gillette, WY",17,Wyoming
14580296,"Wilson, WY",4,Wyoming
14714889,"Casper, WY, USA",3,Wyoming
14804509,"Wyoming, USA",3932,Wyoming
14818408,"Torrington, WY",2,Wyoming
14960389,Wyoming,26,Wyoming
15051601,"Casper, WY",204,Wyoming
15146649,"Buffalo, WY",4,Wyoming
15172189,"Cody, WY",4,Wyoming
15196135,"Jackson, WY.",1,Wyoming
15201312,"Wyoming, NSW, Australia",2,Wyoming
15294963,"Casper, Wyoming, USA",1,Wyoming
15309699,"Jackson, Wyoming",1,Wyoming
15325606,"Jackson, WY",1,Wyoming
15486204,West BubbleFuc Wyoming,2,Wyoming
15547370,Wyoming,4,Wyoming
15578511,"Cheyenne, WY",3,Wyoming
15857499,"Sheridan, WY, USA",10,Wyoming
15924602,"Laramie, WY",3,Wyoming
15926892,"Jackson Hole, Wyoming",1909,Wyoming
15942147,"Wyoming, MI",2,Wyoming
16011565,"Wyoming, MN",1,Wyoming
16250987,Wyoming,28,Wyoming
16314022,"Cheyenne, WY",6,Wyoming
16336079,Metaverse Multiverse Converse,42,Wyoming
16400169,"Wyoming, USA",1,Wyoming
16441183,"Gillette, Wyoming",7,Wyoming
16477823,Wyoming,240,Wyoming
16522999,Crooked letters,12,Wyoming
16554526,"Rawlins, WY",8,Wyoming
16608787,"Laramie, WY",60,Wyoming
16615410,M I crooked letter ,1,Wyoming
16634330,Wyoming,2,Wyoming
